CU,Name,New,StageIn,Allocate,Exec,StageOut,Done
unit.000223,Euclidean_dist_16282_28945,N/A,436.23063302,N/A,436.643639088,465.599687099,465.741615057
unit.000224,Euclidean_dist_16282_30754,N/A,434.317671061,N/A,434.729127169,464.18077302,464.216165066
unit.000225,Euclidean_dist_16282_32563,N/A,433.764286995,N/A,434.175660133,461.835230112,461.9242661
unit.000226,Euclidean_dist_16282_34372,N/A,432.005861998,N/A,432.413465977,460.592070103,460.800103188
unit.000227,Euclidean_dist_16282_36181,N/A,429.937644005,N/A,430.349197149,458.819283962,458.937829018
unit.000228,Euclidean_dist_16282_37990,N/A,466.199791193,N/A,466.611278057,495.721349001,495.795124054
unit.000229,Euclidean_dist_16282_39799,N/A,461.150636196,N/A,461.576982021,490.038743973,490.321556091
unit.000230,Euclidean_dist_16282_41608,N/A,699.586174965,N/A,700.00031805,729.611119032,729.677852154
unit.000231,Euclidean_dist_16282_43417,N/A,702.246702194,N/A,702.661859035,731.756383181,731.800373077
unit.000232,Euclidean_dist_16282_45226,N/A,702.518336058,N/A,702.95423007,731.811861038,731.846112013
unit.000233,Euclidean_dist_16282_47035,N/A,704.56339407,N/A,704.974768162,734.891420126,734.952673197
unit.000234,Euclidean_dist_16282_48844,N/A,692.532339096,N/A,692.94581604,721.300467014,721.350200176
unit.000235,Euclidean_dist_18091_18091,N/A,696.403725147,N/A,696.82020998,712.728622198,712.771883011
unit.000236,Euclidean_dist_18091_19900,N/A,699.41162014,N/A,699.792891026,729.589204073,729.679335117
unit.000237,Euclidean_dist_18091_21709,N/A,700.386017084,N/A,700.750360966,729.710052967,729.75397706
unit.000238,Euclidean_dist_18091_23518,N/A,707.825167179,N/A,708.24181509,737.065340996,737.27436018
unit.000239,Euclidean_dist_18091_25327,N/A,708.076476097,N/A,708.493085146,737.012035131,737.201233149
unit.000240,Euclidean_dist_18091_27136,N/A,821.668888092,N/A,822.092714071,851.206415176,851.260590076
unit.000241,Euclidean_dist_18091_28945,N/A,819.230849028,N/A,819.647019148,848.128938198,848.172785044
unit.000242,Euclidean_dist_18091_30754,N/A,832.593002081,N/A,832.980476141,862.357351065,862.395938158
unit.000243,Euclidean_dist_18091_32563,N/A,832.31111908,N/A,832.765195131,863.393274069,863.605854988
unit.000244,Euclidean_dist_18091_34372,N/A,814.876845121,N/A,815.280987978,843.710576057,843.775565147
unit.000245,Euclidean_dist_18091_36181,N/A,811.974568129,N/A,812.38232398,843.710777044,843.787515163
unit.000246,Euclidean_dist_18091_37990,N/A,818.827035189,N/A,819.27327919,846.964884996,847.040697098
unit.000247,Euclidean_dist_18091_39799,N/A,816.346462965,N/A,816.765180111,845.878203154,845.944053173
unit.000248,Euclidean_dist_18091_41608,N/A,807.17286396,N/A,807.590785027,836.803894997,836.858278036
unit.000249,Euclidean_dist_18091_43417,N/A,806.620114088,N/A,807.035624027,836.805590153,836.854999065
unit.000250,Euclidean_dist_18091_45226,N/A,168.897817135,N/A,169.313410997,198.62642312,198.677186966
