CU,New,StageIn,Allocate,Exec,StageOut,Done
unit.000124,N/A,21.549,N/A,106.842,162.456,166.261
unit.000125,N/A,34.401,N/A,121.843,177.895,181.123
unit.000126,N/A,48.259,N/A,138.964,196.414,199.466
unit.000127,N/A,0.707,N/A,13.451,69.128,70.425
unit.000128,N/A,220.996,N/A,224.814,287.628,298.611
unit.000129,N/A,243.261,N/A,268.662,332.989,334.557
unit.000130,N/A,318.776,N/A,381.22,444.595,446.424
unit.000131,N/A,244.789,N/A,270.374,332.645,333.549
unit.000132,N/A,333.997,N/A,400.303,462.988,464.897
unit.000133,N/A,224.53,N/A,229.954,297.68,300.079
unit.000134,N/A,239.894,N/A,261.995,323.677,324.592
unit.000135,N/A,318.872,N/A,382.168,444.202,445.515
unit.000136,N/A,243.083,N/A,267.133,329.075,330.633
unit.000137,N/A,227.926,N/A,236.624,300.088,303.934
unit.000138,N/A,221.202,N/A,223.101,287.445,295.861
unit.000139,N/A,234.659,N/A,251.882,314.494,315.824
unit.000140,N/A,249.96,N/A,282.166,342.655,344.405
unit.000141,N/A,254.977,N/A,300.53,362.318,364.253
unit.000142,N/A,281.952,N/A,347.881,411.305,412.218
unit.000143,N/A,313.745,N/A,375.104,437.709,439.63
unit.000144,N/A,251.458,N/A,283.88,345.414,346.331
unit.000145,N/A,275.188,N/A,339.694,403.523,405.445
unit.000146,N/A,276.704,N/A,340.658,402.607,403.508
unit.000147,N/A,312.027,N/A,373.009,434.628,436.778
unit.000148,N/A,303.556,N/A,363.104,427.003,427.909
unit.000149,N/A,305.211,N/A,364.994,428.989,431.765
unit.000150,N/A,312.146,N/A,374.149,436.781,437.705
unit.000151,N/A,229.597,N/A,241.769,303.736,306.925
unit.000152,N/A,224.544,N/A,231.669,298.613,301.923
unit.000153,N/A,322.211,N/A,385.05,447.021,449.268
unit.000154,N/A,234.57,N/A,250.172,310.877,311.797
unit.000155,N/A,328.939,N/A,393.261,454.533,457.145
unit.000156,N/A,306.946,N/A,367.09,428.821,430.756
unit.000157,N/A,249.796,N/A,280.459,341.757,343.396
unit.000158,N/A,276.859,N/A,341.8,403.127,404.44
unit.000159,N/A,280.067,N/A,344.842,408.388,410.294
unit.000160,N/A,315.499,N/A,378.162,440.641,442.581
unit.000161,N/A,268.455,N/A,327.472,390.459,391.724
unit.000162,N/A,261.748,N/A,314.073,375.725,377.003
unit.000163,N/A,266.759,N/A,324.225,384.958,385.875
unit.000164,N/A,273.37,N/A,336.073,397.156,398.781
unit.000165,N/A,259.873,N/A,308.923,370.162,371.068
unit.000166,N/A,251.632,N/A,285.602,346.332,347.246
unit.000167,N/A,264.935,N/A,319.253,380.516,382.103
unit.000168,N/A,236.224,N/A,253.601,316.418,317.743
unit.000169,N/A,310.469,N/A,372.063,433.73,435.758
unit.000170,N/A,268.291,N/A,325.938,386.883,387.801
unit.000171,N/A,263.195,N/A,315.799,377.627,379.017
unit.000172,N/A,313.818,N/A,376.053,437.546,438.621
unit.000173,N/A,305.349,N/A,365.948,427.913,428.818
unit.000174,N/A,298.027,N/A,356.795,418.017,420.1
unit.000175,N/A,270.14,N/A,330.906,392.434,393.736
unit.000176,N/A,308.61,N/A,368.997,431.795,434.75
unit.000177,N/A,325.613,N/A,390.214,451.739,454.202
unit.000178,N/A,328.946,N/A,394.211,455.455,459.085
unit.000179,N/A,333.987,N/A,399.165,462.084,462.985
unit.000180,N/A,322.236,N/A,386.185,447.432,450.276
unit.000181,N/A,320.449,N/A,383.126,445.52,448.355
unit.000182,N/A,244.928,N/A,272.086,334.559,335.461
unit.000183,N/A,236.326,N/A,255.323,316.833,318.748
unit.000184,N/A,246.462,N/A,273.8,336.468,337.376
unit.000185,N/A,330.629,N/A,396.307,457.147,460.069
unit.000186,N/A,237.891,N/A,257.033,318.324,319.756
unit.000187,N/A,238.024,N/A,258.751,320.765,322.669
unit.000188,N/A,241.397,N/A,263.71,326.139,327.611
unit.000189,N/A,229.579,N/A,240.246,301.0,305.946
unit.000190,N/A,232.897,N/A,246.919,308.951,309.868
unit.000191,N/A,263.416,N/A,317.514,379.541,381.096
unit.000192,N/A,222.864,N/A,226.524,295.864,296.773
unit.000193,N/A,254.88,N/A,298.433,358.492,360.251
unit.000194,N/A,226.266,N/A,234.909,299.923,302.928
unit.000195,N/A,332.297,N/A,397.251,459.086,461.075
unit.000196,N/A,332.302,N/A,398.216,459.429,462.081
unit.000197,N/A,335.75,N/A,401.252,462.34,463.887
unit.000198,N/A,320.571,N/A,384.077,445.116,447.431
unit.000199,N/A,323.877,N/A,387.139,448.356,452.293
unit.000200,N/A,327.266,N/A,392.124,452.636,456.136
unit.000201,N/A,317.072,N/A,379.113,441.28,443.588
unit.000202,N/A,317.168,N/A,380.065,440.377,441.568
unit.000203,N/A,300.203,N/A,358.903,420.115,421.945
unit.000204,N/A,308.711,N/A,369.956,431.769,433.741
unit.000205,N/A,256.71,N/A,303.961,364.867,366.18
unit.000206,N/A,248.112,N/A,277.222,337.378,339.358
unit.000207,N/A,285.145,N/A,350.913,412.552,415.078
unit.000208,N/A,248.282,N/A,278.934,338.836,340.366
unit.000209,N/A,271.643,N/A,332.622,394.25,395.751
unit.000210,N/A,253.308,N/A,296.713,356.585,358.207
unit.000211,N/A,315.414,N/A,377.007,438.458,440.637
unit.000212,N/A,280.231,N/A,345.787,405.949,408.386
unit.000213,N/A,246.6,N/A,275.504,336.914,338.352
unit.000214,N/A,307.055,N/A,368.054,428.07,429.733
unit.000215,N/A,298.215,N/A,357.95,419.014,421.043
