['blobDetector_multi-07b3a901-2c1b-4374-a93d-d73f169fa9b6', 'processing', 'memory', 'tcp://10.21.254.26:40084', 47399934392064, [['compute', 1533201371.5739806, 1533201550.7510195]]]
['blobDetector_multi-aa6667a9-796d-4d73-92bf-f7105e48e54d', 'processing', 'memory', 'tcp://10.21.254.29:40794', 47119555507968, [['compute', 1533201371.5830216, 1533201550.7888846]]]
['blobDetector_multi-d6034638-dd6c-4dc7-bad6-dbdb4497d205', 'processing', 'memory', 'tcp://10.21.254.29:35491', 47123378763520, [['compute', 1533201371.588113, 1533201550.834845]]]
['blobDetector_multi-07c5ab25-ac22-4308-a5f4-9e1a8be23356', 'processing', 'memory', 'tcp://10.21.254.26:40361', 47401343674112, [['compute', 1533201371.5742695, 1533201550.8626394]]]
['blobDetector_multi-bbd7b46e-1778-45bf-b01b-882c3edf333c', 'processing', 'memory', 'tcp://10.21.254.29:33820', 47119553406720, [['compute', 1533201371.5857935, 1533201550.8806224]]]
['blobDetector_multi-3146acac-039d-4d81-980d-e9a48c2d77d1', 'processing', 'memory', 'tcp://10.21.254.29:39244', 47120358864640, [['compute', 1533201371.5788875, 1533201551.0786114]]]
['blobDetector_multi-25f902f8-794b-433f-bb2f-1e51f6485a7d', 'processing', 'memory', 'tcp://10.21.254.29:37441', 47120963106560, [['compute', 1533201371.5761547, 1533201551.0971107]]]
['blobDetector_multi-1b6d7675-d28e-47cc-9983-388642541e15', 'processing', 'memory', 'tcp://10.21.254.29:32997', 47121566824192, [['compute', 1533201371.5751877, 1533201551.2840376]]]
['blobDetector_multi-1fe07f86-ba12-49fc-be13-22ccb769991e', 'processing', 'memory', 'tcp://10.21.254.29:34983', 47122372130560, [['compute', 1533201371.575834, 1533201551.347926]]]
['blobDetector_multi-cd4b9c61-06c3-403c-a038-2da5b14b6f61', 'processing', 'memory', 'tcp://10.21.254.26:36039', 47402148972288, [['compute', 1533201371.5859506, 1533201551.3644736]]]
['blobDetector_multi-3614c88b-2187-4ec8-bfd7-c8a220d7b105', 'processing', 'memory', 'tcp://10.21.254.30:34083', 47038486312704, [['compute', 1533201371.5776594, 1533201551.6633735]]]
['blobDetector_multi-e4e4d77d-6d52-4d3a-b7f4-b145d6648c98', 'processing', 'memory', 'tcp://10.21.254.30:35838', 47037278091008, [['compute', 1533201371.5886974, 1533201551.6635313]]]
['blobDetector_multi-0fe0b608-e240-48d2-b3fb-b9a7d3758eea', 'processing', 'memory', 'tcp://10.21.254.26:41893', 47399129085696, [['compute', 1533201371.5747163, 1533201551.6713915]]]
['blobDetector_multi-63664525-8274-4256-9570-8124ec01958b', 'processing', 'memory', 'tcp://10.21.254.30:46526', 47038284723968, [['compute', 1533201371.579657, 1533201551.747245]]]
['blobDetector_multi-9f7ba894-78eb-4b89-9f01-635c9cceb946', 'processing', 'memory', 'tcp://10.21.254.26:43665', 47400739702528, [['compute', 1533201371.5821779, 1533201551.872637]]]
['blobDetector_multi-cdbd186e-2497-47a3-be3d-e4bd700fd0f3', 'processing', 'memory', 'tcp://10.21.254.26:46797', 47399330674432, [['compute', 1533201371.5859463, 1533201552.0299494]]]
['blobDetector_multi-a5f454b0-e80a-4c52-b66b-1800d84bb0b7', 'processing', 'memory', 'tcp://10.21.254.29:36249', 47122171066112, [['compute', 1533201371.5848608, 1533201552.6368008]]]
['blobDetector_multi-00be0526-2dd5-409b-9177-f6096232d43a', 'processing', 'memory', 'tcp://10.21.254.26:33650', 47401746327296, [['compute', 1533201371.5735803, 1533201553.0006623]]]
['blobDetector_multi-49881906-0497-4ffb-b2c9-f97164761b35', 'processing', 'memory', 'tcp://10.21.254.30:35938', 47040901977856, [['compute', 1533201371.5780735, 1533201553.1969204]]]
['blobDetector_multi-0230135f-2057-4667-86b6-09769f9747f1', 'processing', 'memory', 'tcp://10.21.254.26:34215', 47400941020928, [['compute', 1533201371.5732355, 1533201553.3127565]]]
['blobDetector_multi-4f8785a7-cf41-411e-9ba5-bacf324799a6', 'processing', 'memory', 'tcp://10.21.254.30:41202', 47038888703744, [['compute', 1533201371.578599, 1533201553.325089]]]
['blobDetector_multi-d09aa41a-d30a-4510-b2d8-900082a01cfd', 'processing', 'memory', 'tcp://10.21.254.26:39984', 47398122452736, [['compute', 1533201371.5874956, 1533201553.3272095]]]
['blobDetector_multi-1b222cac-7890-4e96-8cf6-46c0d7fa03d5', 'processing', 'memory', 'tcp://10.21.254.26:46068', 47398525105920, [['compute', 1533201371.5752113, 1533201553.3761783]]]
