['blobDetector_multi-6223a1c8-dda3-4462-a6d8-ee51274140e1', 'processing', 'memory', 'tcp://10.21.250.44:41124', 47984922359552, [['compute', 1532977197.591102, 1532977396.7473078]]]
['blobDetector_multi-85d6d2f2-a948-43ec-b737-7c4bc99aece8', 'processing', 'memory', 'tcp://10.21.250.46:45768', 47521334327040, [['compute', 1532977197.5954094, 1532977398.2136295]]]
['blobDetector_multi-1c3fbad4-ab98-4314-b66f-6d39b22c52e1', 'processing', 'memory', 'tcp://10.21.250.42:41621', 47062578132736, [['compute', 1532977197.582596, 1532977398.3089252]]]
['blobDetector_multi-4c26867d-b604-4a9a-b201-a11739006cb5', 'processing', 'memory', 'tcp://10.21.250.42:44306', 47062175479552, [['compute', 1532977197.5886528, 1532977400.009979]]]
['blobDetector_multi-0ddadc98-5588-4701-8e3f-dfc745bb7143', 'processing', 'memory', 'tcp://10.21.250.42:37344', 47062779459328, [['compute', 1532977197.5818682, 1532977401.902811]]]
['blobDetector_multi-1d69ee23-c6a8-497e-bdd4-bdebf3a0b6fc', 'processing', 'memory', 'tcp://10.21.250.42:44458', 47062980785920, [['compute', 1532977197.5828338, 1532977402.1359327]]]
['blobDetector_multi-60367318-c210-4752-b775-da10f05f8035', 'processing', 'memory', 'tcp://10.21.250.42:34676', 47063584765696, [['compute', 1532977197.5945756, 1532977405.7208536]]]
['blobDetector_multi-f689baf6-1d08-411f-b102-f6bf54fd184a', 'processing', 'memory', 'tcp://10.21.250.46:42143', 47519321061120, [['compute', 1532977373.5054004, 1532977542.8910656]]]
['blobDetector_multi-eeea18c8-2a3d-477e-9791-797b26ded586', 'processing', 'memory', 'tcp://10.21.250.46:38920', 47519925040896, [['compute', 1532977370.4828284, 1532977542.9122694]]]
['blobDetector_multi-f5b7bd89-aec9-4118-a7ce-98886d630453', 'processing', 'memory', 'tcp://10.21.250.46:41946', 47520529020672, [['compute', 1532977371.4989185, 1532977544.5473115]]]
['blobDetector_multi-cf0124c9-7334-4c32-91e0-b0ec644a864e', 'processing', 'memory', 'tcp://10.21.250.44:41298', 47982305113856, [['compute', 1532977375.8580792, 1532977545.2522743]]]
['blobDetector_multi-c57d5a65-f1dc-4165-beec-acc5cf560c93', 'processing', 'memory', 'tcp://10.21.250.44:36502', 47984519706368, [['compute', 1532977372.7547407, 1532977546.2294598]]]
['blobDetector_multi-cab94e8b-edd5-4e0d-9c64-ad921bf97242', 'processing', 'memory', 'tcp://10.21.250.44:40206', 47983311746816, [['compute', 1532977368.813734, 1532977546.598793]]]
['blobDetector_multi-e46f2c9d-376c-4dcf-b2cb-164ab317c524', 'processing', 'memory', 'tcp://10.21.250.46:34415', 47522139633408, [['compute', 1532977369.3768632, 1532977547.2886143]]]
['blobDetector_multi-c2cc09c6-de87-4d97-a609-0260ee03536b', 'processing', 'memory', 'tcp://10.21.250.44:35069', 47986331645696, [['compute', 1532977373.146872, 1532977547.759741]]]
['blobDetector_multi-a76f5a29-8a1f-4ebb-a4c4-dea7790b8a61', 'processing', 'memory', 'tcp://10.21.250.41:46069', 47651123132160, [['compute', 1532977371.8433368, 1532977548.2398918]]]
['blobDetector_multi-a67608c8-5012-4e00-a2e9-c1341ba01e58', 'processing', 'memory', 'tcp://10.21.250.41:45068', 47652330829568, [['compute', 1532977370.1706724, 1532977548.4241765]]]
['blobDetector_multi-c2a53f0d-4f38-44e2-bcd0-92a2e02527ca', 'processing', 'memory', 'tcp://10.21.250.44:33067', 47983714400000, [['compute', 1532977374.1245282, 1532977548.46264]]]
['blobDetector_multi-d05167f2-3df3-40e8-bb13-f2eeabd24b5c', 'processing', 'memory', 'tcp://10.21.250.44:42948', 47982707767040, [['compute', 1532977366.3760169, 1532977548.687407]]]
['blobDetector_multi-fe561aac-536a-4695-ae90-88756b58548f', 'processing', 'memory', 'tcp://10.21.250.46:45815', 47519119734528, [['compute', 1532977374.5943913, 1532977549.5037284]]]
['blobDetector_multi-fede920e-4cce-4596-b99c-6f951edfa1dd', 'processing', 'memory', 'tcp://10.21.250.46:46698', 47520931673856, [['compute', 1532977379.9906106, 1532977549.5286696]]]
['blobDetector_multi-eba38e91-35c9-4c12-8066-da5c510d2d02', 'processing', 'memory', 'tcp://10.21.250.46:38443', 47523146266368, [['compute', 1532977372.323544, 1532977549.770028]]]
['blobDetector_multi-c6d80051-6d83-4759-bc2b-69ea44d12c74', 'processing', 'memory', 'tcp://10.21.250.44:38265', 47983915726592, [['compute', 1532977373.0570362, 1532977549.824412]]]
