['blobDetector_multi-896171e7-00c2-464e-85d1-afb4e123f3a0', 'processing', 'memory', 'tcp://10.21.252.248:38701', 47036875437824, [['compute', 1533138590.5734963, 1533138771.4238756]]]
['blobDetector_multi-a1ce6688-ff99-4f0e-8c11-04c6eb94a38f', 'processing', 'memory', 'tcp://10.21.253.35:40150', 47972842764032, [['compute', 1533138590.5767703, 1533138771.4776974]]]
['blobDetector_multi-bd1d8a1d-6033-4194-adf9-61bb0539ccde', 'processing', 'memory', 'tcp://10.21.252.250:40017', 48007605155584, [['compute', 1533138590.5804071, 1533138771.569771]]]
['blobDetector_multi-a89cc120-d65e-4d4b-9bf9-45c3e1c3176f', 'processing', 'memory', 'tcp://10.21.252.250:41720', 48010826385152, [['compute', 1533138590.57816, 1533138771.8290992]]]
['blobDetector_multi-fecfff30-bb72-4e93-bd02-55098062663c', 'processing', 'memory', 'tcp://10.21.253.35:45304', 47973245417216, [['compute', 1533138590.5873585, 1533138771.8526087]]]
['blobDetector_multi-31630577-ef48-4145-9095-df1a4896b5a3', 'processing', 'memory', 'tcp://10.21.252.248:45066', 47035883620096, [['compute', 1533138590.5611231, 1533138771.868375]]]
['blobDetector_multi-891f7dc7-6881-47cf-a718-bd92301829b7', 'processing', 'memory', 'tcp://10.21.252.240:44540', 47722526713600, [['compute', 1533138590.5731044, 1533138771.8980603]]]
['blobDetector_multi-a46281ce-a418-459b-bdee-f7aee9f548cf', 'processing', 'memory', 'tcp://10.21.252.240:41170', 47719909455616, [['compute', 1533138590.5776494, 1533138771.9215875]]]
['blobDetector_multi-7a89b22d-68b5-4efe-9416-3d61e4949d7a', 'processing', 'memory', 'tcp://10.21.253.35:41839', 47971634804480, [['compute', 1533138590.5712807, 1533138771.9983778]]]
['blobDetector_multi-db41df2a-a416-4b92-b291-ea9c226af0e1', 'processing', 'memory', 'tcp://10.21.252.240:39260', 47719506802432, [['compute', 1533138590.5834837, 1533138772.0444918]]]
['blobDetector_multi-015a2721-2dbf-4323-98ef-9110354f164e', 'processing', 'memory', 'tcp://10.21.252.233:35454', 47188675688192, [['compute', 1533138590.500437, 1533138772.046445]]]
['blobDetector_multi-9e5a087a-c09a-4367-b6fe-adc52e38723b', 'processing', 'memory', 'tcp://10.21.252.254:43032', 47280279287552, [['compute', 1533138590.5756161, 1533138772.069916]]]
['blobDetector_multi-2d3faad8-d51e-4a64-aed3-6ad416aef52a', 'processing', 'memory', 'tcp://10.21.252.248:40509', 47037278353152, [['compute', 1533138590.5605686, 1533138772.0879076]]]
['blobDetector_multi-0d7cff08-ecbe-4868-bb81-57b88b2cd309', 'processing', 'memory', 'tcp://10.21.252.233:44725', 47191091857152, [['compute', 1533138590.501787, 1533138772.174409]]]
['blobDetector_multi-b2d22d62-e8ce-4c42-9a2c-915728c5daf3', 'processing', 'memory', 'tcp://10.21.253.35:35637', 47971291064064, [['compute', 1533138590.5794659, 1533138772.177052]]]
['blobDetector_multi-d8815bd8-4511-41b4-aae5-d86f20502747', 'processing', 'memory', 'tcp://10.21.252.248:38129', 47039492695808, [['compute', 1533138590.583157, 1533138772.1835592]]]
['blobDetector_multi-a2d477fc-b7c1-40c9-b0e6-81a4eb63ba3c', 'processing', 'memory', 'tcp://10.21.252.233:35474', 47189481019136, [['compute', 1533138590.5773983, 1533138772.2243314]]]
['blobDetector_multi-8566f3e6-9df5-44e6-bc49-e178e737f7e8', 'processing', 'memory', 'tcp://10.21.252.233:45171', 47187467728640, [['compute', 1533138590.572375, 1533138772.225038]]]
['blobDetector_multi-3fe42779-2031-4ccc-84c8-e32e32918629', 'processing', 'memory', 'tcp://10.21.252.250:39759', 48009618421504, [['compute', 1533138590.5622835, 1533138772.2338765]]]
['blobDetector_multi-cf481813-e270-4681-b3bb-4d55ed8e813b', 'processing', 'memory', 'tcp://10.21.252.254:42438', 47281285920512, [['compute', 1533138590.581951, 1533138772.2442808]]]
