['blobDetector_multi-ba913703-5979-49b5-b97e-ebe07adb3331', 'processing', 'memory', 'tcp://10.21.255.70:41575', 47402484528896, [['compute', 1533014627.8552976, 1533014805.3834126]]]
['blobDetector_multi-327c3380-d00e-4ec3-82a7-c0198d99b104', 'processing', 'memory', 'tcp://10.21.255.58:45027', 47394901227264, [['compute', 1533014627.8384626, 1533014805.3850315]]]
['blobDetector_multi-72227b9f-bfb0-4333-b17d-ca6d98b08cb6', 'processing', 'memory', 'tcp://10.21.255.70:43580', 47402887182080, [['compute', 1533014627.8468087, 1533014805.5860837]]]
['blobDetector_multi-c5c279c1-4db2-4d15-ab3b-72995f62f0ea', 'processing', 'memory', 'tcp://10.21.255.70:42728', 47400872052480, [['compute', 1533014627.8568141, 1533014805.6457841]]]
['blobDetector_multi-73ae9405-245f-419b-94e1-67efe9a31356', 'processing', 'memory', 'tcp://10.21.255.48:33865', 46965538715392, [['compute', 1533014627.8472419, 1533014805.6622748]]]
['blobDetector_multi-75e69941-3143-4cb9-b15f-5f3399bbb16e', 'processing', 'memory', 'tcp://10.21.255.48:41026', 46968558597888, [['compute', 1533014627.8474276, 1533014805.8422396]]]
['blobDetector_multi-2a0957f9-edf0-49d0-a7e6-9b1cfc2a0ba9', 'processing', 'memory', 'tcp://10.21.255.58:32954', 47395706533632, [['compute', 1533014627.8374596, 1533014806.0119925]]]
['blobDetector_multi-a0f1d300-95f2-4bd2-8042-58dbc082837c', 'processing', 'memory', 'tcp://10.21.255.70:38719', 47403088508672, [['compute', 1533014627.8520277, 1533014806.0254467]]]
['blobDetector_multi-ea86af64-2731-4050-a847-dd5c9c109828', 'processing', 'memory', 'tcp://10.21.255.51:36706', 47988613326592, [['compute', 1533014627.8608959, 1533014806.0316179]]]
['blobDetector_multi-9c055ce1-efb9-4e0c-b937-699f1480a92c', 'processing', 'memory', 'tcp://10.21.255.70:33680', 47400704026368, [['compute', 1533014627.8518472, 1533014806.1274884]]]
['blobDetector_multi-2d12dade-3b61-48f4-90e0-bf96fd87aa35', 'processing', 'memory', 'tcp://10.21.255.58:37805', 47398724306688, [['compute', 1533014627.8373842, 1533014806.1360893]]]
