['blobDetector_multi-a7eec952-d232-4284-97d1-efa292a98a62', 'processing', 'memory', 'tcp://10.21.254.252:46802', 47857322383104, [['compute', 1532742906.5871284, 1532743092.6717134]]]
['blobDetector_multi-9b8461c0-ff96-44b1-a6ed-1184b3864846', 'processing', 'memory', 'tcp://10.21.254.252:42820', 47859495892736, [['compute', 1532742901.744197, 1532743093.164766]]]
['blobDetector_multi-b0025217-35c0-4908-9ae0-6b863aaf9291', 'processing', 'memory', 'tcp://10.21.255.7:37281', 47660449146624, [['compute', 1532742911.9400828, 1532743095.2192268]]]
['blobDetector_multi-9145b59c-6ec2-4230-a650-45464813aaf1', 'processing', 'memory', 'tcp://10.21.254.252:35229', 47860099872512, [['compute', 1532742910.8195076, 1532743096.3945947]]]
['blobDetector_multi-bebc41ed-e125-40a6-8220-578cc1960361', 'processing', 'memory', 'tcp://10.21.255.7:42930', 47659844896512, [['compute', 1532742906.275011, 1532743096.765312]]]
['blobDetector_multi-964e0678-c282-4226-ba52-df3a953da180', 'processing', 'memory', 'tcp://10.21.254.252:38565', 47857683953408, [['compute', 1532742911.2383907, 1532743100.1981375]]]
['blobDetector_multi-8d992a04-f017-4f4c-a6c2-02b4717cf2f4', 'processing', 'memory', 'tcp://10.21.254.252:33466', 47860502525696, [['compute', 1532742893.3019545, 1532743101.7549424]]]
['blobDetector_multi-a0a663df-f8b2-4158-a693-dcf71ff12fdf', 'processing', 'memory', 'tcp://10.21.254.252:44328', 47858891912960, [['compute', 1532742909.497339, 1532743103.147006]]]
['blobDetector_multi-a6ed9012-7f3b-4178-a827-e27d37521101', 'processing', 'memory', 'tcp://10.21.254.252:45289', 47858287933184, [['compute', 1532742913.6485035, 1532743103.3005145]]]
['blobDetector_multi-af910389-15de-4b36-8035-6519cb79320e', 'processing', 'memory', 'tcp://10.21.255.7:35734', 47656623671040, [['compute', 1532742907.530252, 1532743110.3825479]]]
['blobDetector_multi-97b49db6-e6bc-4805-9bb1-df9a01d45c72', 'processing', 'memory', 'tcp://10.21.254.252:40274', 47860703852288, [['compute', 1532742923.8464425, 1532743115.6797304]]]
