['blobDetector_multi-745fa711-a577-4824-9f02-51a04da2880a', 'processing', 'memory', 'tcp://10.21.252.93:40215', 47505429526272, [['compute', 1532764921.762337, 1532765117.343677]]]
['blobDetector_multi-3489ca52-9a1c-496e-8506-d719e4cb710c', 'processing', 'memory', 'tcp://10.21.252.93:42850', 47504422893312, [['compute', 1532764921.7493029, 1532765117.4755838]]]
['blobDetector_multi-0acbb9af-6f4a-4c95-b3b1-65ba4db3e8bb', 'processing', 'memory', 'tcp://10.21.251.233:38535', 47771314845440, [['compute', 1532764921.7443871, 1532765118.383384]]]
['blobDetector_multi-641aacac-71e1-4b24-8fd2-edd440c147ab', 'processing', 'memory', 'tcp://10.21.251.233:34810', 47769360697088, [['compute', 1532764921.7589035, 1532765118.8424995]]]
['blobDetector_multi-2bda16c8-7a61-4881-9a2e-c0069e1c3bbd', 'processing', 'memory', 'tcp://10.21.252.93:33497', 47504624219904, [['compute', 1532764921.7481234, 1532765119.0753825]]]
['blobDetector_multi-4efc6c0d-ff30-4f9b-b635-1ceda8a93d84', 'processing', 'memory', 'tcp://10.21.251.253:40646', 47975325800192, [['compute', 1532764921.755017, 1532765119.605424]]]
['blobDetector_multi-7a5665a5-425a-4ef4-949d-2ff9a44060bc', 'processing', 'memory', 'tcp://10.21.252.96:45914', 47194111506176, [['compute', 1532764921.7632132, 1532765119.8817332]]]
['blobDetector_multi-5645c9a6-fd0a-4d39-a3cf-faa97a335952', 'processing', 'memory', 'tcp://10.21.252.96:33648', 47195722118912, [['compute', 1532764921.756492, 1532765120.859632]]]
['blobDetector_multi-41843e6e-cfc9-44fd-834b-522f4ad97a24', 'processing', 'memory', 'tcp://10.21.252.96:41019', 47195520792320, [['compute', 1532764921.753043, 1532765121.47862]]]
['blobDetector_multi-723339e4-9960-40fb-b8a4-394c1aa6e2a9', 'processing', 'memory', 'tcp://10.21.251.253:40311', 47975527130880, [['compute', 1532764921.7608602, 1532765121.7890801]]]
['blobDetector_multi-0577f140-f2a6-4d8e-be2e-45ab67231e76', 'processing', 'memory', 'tcp://10.21.251.233:33386', 47770106885888, [['compute', 1532764921.7435625, 1532765122.7106664]]]
['blobDetector_multi-26e2659e-1521-485c-90ed-ab8e1d1b8d5c', 'processing', 'memory', 'tcp://10.21.251.253:45344', 47971903239936, [['compute', 1532764921.7474344, 1532765124.4677095]]]
['blobDetector_multi-23abd620-8255-4c6e-a2fd-18a401b665ec', 'processing', 'memory', 'tcp://10.21.251.253:43957', 47973715179264, [['compute', 1532764921.7472644, 1532765124.7833934]]]
['blobDetector_multi-79d96938-db3b-460b-a853-bf32e61d9e3e', 'processing', 'memory', 'tcp://10.21.252.96:45433', 47193310107392, [['compute', 1532764921.7629204, 1532765127.4738095]]]
['blobDetector_multi-2369deb8-0baf-44d7-8d99-2cbc09a23c09', 'processing', 'memory', 'tcp://10.21.251.253:40338', 47972104566528, [['compute', 1532764921.7463686, 1532765128.4375796]]]
['blobDetector_multi-9c4a194b-16a1-4bbe-aaf3-d54f447daca3', 'processing', 'memory', 'tcp://10.21.251.233:43160', 47770308212480, [['compute', 1532765091.8480945, 1532765268.2875035]]]
['blobDetector_multi-959f0c84-33a4-4270-aa0c-3cddc1a70609', 'processing', 'memory', 'tcp://10.21.251.233:42152', 47772322526976, [['compute', 1532765099.4764318, 1532765269.106571]]]
['blobDetector_multi-92114177-ad8f-46d9-bae1-e6995a0cbed1', 'processing', 'memory', 'tcp://10.21.251.233:38640', 47772925462272, [['compute', 1532765095.9963093, 1532765269.8951263]]]
['blobDetector_multi-8efa2897-b078-442e-82fe-ff4edf4f609c', 'processing', 'memory', 'tcp://10.21.251.233:37238', 47773325989632, [['compute', 1532765095.7318168, 1532765269.931553]]]
['blobDetector_multi-7d931dc3-ceb5-414e-8875-946d7a07ca62', 'processing', 'memory', 'tcp://10.21.251.233:33126', 47771919087360, [['compute', 1532765094.538094, 1532765270.348994]]]
['blobDetector_multi-9e9da330-3f4d-43b4-9299-b51bfa7ca858', 'processing', 'memory', 'tcp://10.21.251.233:45590', 47769905559296, [['compute', 1532765093.0142605, 1532765270.6168087]]]
['blobDetector_multi-ca36af61-9d2f-4a36-81fc-02761cc52795', 'processing', 'memory', 'tcp://10.21.252.93:33684', 47502610953984, [['compute', 1532765091.6798592, 1532765270.8350441]]]
['blobDetector_multi-d8674cff-db4c-46bf-865e-f6aed486221b', 'processing', 'memory', 'tcp://10.21.252.93:43875', 47503416547072, [['compute', 1532765096.750162, 1532765271.759162]]]
['blobDetector_multi-d1eeabbd-8090-4571-90b8-70292dd4edba', 'processing', 'memory', 'tcp://10.21.252.93:39795', 47503214933760, [['compute', 1532765098.0162487, 1532765272.0404496]]]
['blobDetector_multi-942d4dd3-2d77-47a6-9f89-9ad717af55a0', 'processing', 'memory', 'tcp://10.21.251.233:41553', 47773328377600, [['compute', 1532765098.2160492, 1532765272.7460663]]]
['blobDetector_multi-83d38ea1-dc5d-4c7f-b270-33c95c8feeaf', 'processing', 'memory', 'tcp://10.21.251.233:34429', 47770711127808, [['compute', 1532765097.8892555, 1532765272.9708495]]]
['blobDetector_multi-d40d1b25-1149-4cc2-b872-8e00b428c6db', 'processing', 'memory', 'tcp://10.21.252.93:40553', 47502407763712, [['compute', 1532765092.8775384, 1532765273.0212855]]]
['blobDetector_multi-c5d8662d-82bd-43d9-861d-c6af5da78148', 'processing', 'memory', 'tcp://10.21.252.93:33027', 47505630852864, [['compute', 1532765093.6671379, 1532765273.325558]]]
['blobDetector_multi-d5378ed5-8c66-49d2-8117-492880c44085', 'processing', 'memory', 'tcp://10.21.252.93:41667', 47504221566720, [['compute', 1532765096.597861, 1532765273.5180612]]]
['blobDetector_multi-9e335166-df8b-4246-9d7c-2a0dbeb09da1', 'processing', 'memory', 'tcp://10.21.251.233:44122', 47772120151808, [['compute', 1532765098.3000612, 1532765273.9980922]]]
['blobDetector_multi-d0fdb8ef-3b17-42ed-ac7b-485b705abfcf', 'processing', 'memory', 'tcp://10.21.252.93:39786', 47504825808640, [['compute', 1532765099.0842295, 1532765274.6671436]]]
['blobDetector_multi-9c1bb41f-0874-4c9c-b49b-1f89d8e84512', 'processing', 'memory', 'tcp://10.21.251.233:42670', 47773529437952, [['compute', 1532765099.4554262, 1532765274.8611622]]]
['blobDetector_multi-92400351-52fa-4efc-96d4-10f14f6f2d4c', 'processing', 'memory', 'tcp://10.21.251.233:39061', 47771717498624, [['compute', 1532765100.581925, 1532765275.037023]]]
['blobDetector_multi-ccc3a7f5-5676-416a-9ac3-b2aae6911fb3', 'processing', 'memory', 'tcp://10.21.252.93:38413', 47505228199680, [['compute', 1532765095.377699, 1532765275.0804508]]]
['blobDetector_multi-d72cf161-caf3-486f-89f2-fd199200bcde', 'processing', 'memory', 'tcp://10.21.252.93:41711', 47504020240128, [['compute', 1532765095.7920465, 1532765275.1188505]]]
['blobDetector_multi-ccd9c905-94bb-4128-b6f1-1dc613a5b11a', 'processing', 'memory', 'tcp://10.21.252.93:38978', 47503617562368, [['compute', 1532765096.9747539, 1532765275.409473]]]
['blobDetector_multi-835e2a8e-30a2-45f0-bdbb-f5e11db66dda', 'processing', 'memory', 'tcp://10.21.251.233:33942', 47772724135680, [['compute', 1532765100.6474247, 1532765275.6946437]]]
['blobDetector_multi-db842c5c-aa41-434f-bfef-e40a1391b66b', 'processing', 'memory', 'tcp://10.21.252.93:45521', 47503212832512, [['compute', 1532765096.4908214, 1532765275.8855412]]]
['blobDetector_multi-89597a98-c215-473c-963b-062c90c4ac3b', 'processing', 'memory', 'tcp://10.21.251.233:36836', 47770509539072, [['compute', 1532765106.2269492, 1532765276.0603962]]]
['blobDetector_multi-886dbfd9-a371-40f8-b313-fecb03b1f980', 'processing', 'memory', 'tcp://10.21.251.233:35755', 47769501042432, [['compute', 1532765102.539484, 1532765276.194428]]]
['blobDetector_multi-7b88e291-e24a-463d-bbf9-eeeffecbf587', 'processing', 'memory', 'tcp://10.21.251.233:32983', 47770912192256, [['compute', 1532765101.8212476, 1532765276.3561296]]]
['blobDetector_multi-9e658519-266a-4831-878e-71ded8506913', 'processing', 'memory', 'tcp://10.21.251.233:45055', 47771113518848, [['compute', 1532765105.318677, 1532765276.751327]]]
['blobDetector_multi-9fb216f0-d7a1-4edd-a951-b38355745d2a', 'processing', 'memory', 'tcp://10.21.251.233:46030', 47772522809088, [['compute', 1532765101.4590867, 1532765276.8691237]]]
['blobDetector_multi-ad9f1d9c-8c21-44ee-a12d-69f6556e05c0', 'processing', 'memory', 'tcp://10.21.251.253:36924', 47974721812224, [['compute', 1532765098.2949934, 1532765278.6338174]]]
['blobDetector_multi-cc13caa7-d679-47f6-ad88-601fc8369eb6', 'processing', 'memory', 'tcp://10.21.252.93:37307', 47505026873088, [['compute', 1532765103.1048121, 1532765278.967628]]]
['blobDetector_multi-87792f60-8c53-46be-9c1f-1e0409cb7c06', 'processing', 'memory', 'tcp://10.21.251.233:35733', 47771516172032, [['compute', 1532765100.490158, 1532765278.984356]]]
['blobDetector_multi-c74e5b0f-27a2-46ab-8b24-2453621de019', 'processing', 'memory', 'tcp://10.21.252.93:33159', 47502409627392, [['compute', 1532765101.6447642, 1532765279.082864]]]
['blobDetector_multi-ddec76c4-4a72-429d-b9bc-3f371acc9f64', 'processing', 'memory', 'tcp://10.21.252.93:45785', 47506235102976, [['compute', 1532765101.757096, 1532765279.3366473]]]
['blobDetector_multi-df0c6e89-7ca4-4976-b603-61f6c2fae862', 'processing', 'memory', 'tcp://10.21.252.93:45904', 47503818913536, [['compute', 1532765100.3410208, 1532765279.734967]]]
['blobDetector_multi-cebda1e4-c296-47d1-b49b-920cc82f0d40', 'processing', 'memory', 'tcp://10.21.252.93:39097', 47506436167424, [['compute', 1532765102.7437925, 1532765280.1569185]]]
['blobDetector_multi-e2789202-6d52-4d75-9619-9062f82574fa', 'processing', 'memory', 'tcp://10.21.252.93:46408', 47502223333120, [['compute', 1532765108.9684348, 1532765280.6748407]]]
['blobDetector_multi-ea263f72-ea37-4afd-aa05-2cc42dab87ce', 'processing', 'memory', 'tcp://10.21.252.96:38281', 47195118139136, [['compute', 1532765101.0135078, 1532765283.195623]]]
['blobDetector_multi-cf7ce321-d0ef-4db5-8c00-977c07f1db43', 'processing', 'memory', 'tcp://10.21.252.93:39194', 47506033506048, [['compute', 1532765109.385897, 1532765283.454192]]]
['blobDetector_multi-f1901009-cc8d-4133-bde0-452b4df9dda1', 'processing', 'memory', 'tcp://10.21.252.96:40301', 47197131400960, [['compute', 1532765101.6550782, 1532765284.011991]]]
['blobDetector_multi-f0e07cc2-6fe9-4452-b0cf-b86479a6639d', 'processing', 'memory', 'tcp://10.21.252.96:39789', 47197531932416, [['compute', 1532765101.79895, 1532765284.092653]]]
['blobDetector_multi-8939bdd8-5689-4114-ae6e-295b53d3621a', 'processing', 'memory', 'tcp://10.21.251.233:36696', 47769704232704, [['compute', 1532765114.5441089, 1532765284.105221]]]
['blobDetector_multi-bfece13e-22a6-44df-a624-5149088043ff', 'processing', 'memory', 'tcp://10.21.251.253:46246', 47973312526080, [['compute', 1532765106.301044, 1532765284.455279]]]
['blobDetector_multi-93f50b9a-c7e0-41b2-b01f-34df9065f653', 'processing', 'memory', 'tcp://10.21.251.233:39769', 47769502906112, [['compute', 1532765094.6089823, 1532765285.2029343]]]
['blobDetector_multi-abad6953-c376-4e74-9eef-34d388d82b44', 'processing', 'memory', 'tcp://10.21.251.253:36125', 47971901376256, [['compute', 1532765100.3915992, 1532765285.2564151]]]
['blobDetector_multi-f47aedae-00b6-4cd0-bf55-0340b2b14843', 'processing', 'memory', 'tcp://10.21.252.96:41930', 47195319465728, [['compute', 1532765105.3079386, 1532765285.3272386]]]
