['blobDetector_multi-903f8a01-c92e-4d44-9975-bfc036e41d08', 'processing', 'memory', 'tcp://10.21.255.232:38351', 47217463527168, [['compute', 1533034984.972974, 1533035170.0862951]]]
['blobDetector_multi-96f4c990-d79b-4e58-986f-b01cd57614a3', 'processing', 'memory', 'tcp://10.21.255.232:42845', 47219881572096, [['compute', 1533034977.0832472, 1533035172.7953072]]]
['blobDetector_multi-91686f01-f018-4e5d-b5d6-e7e1daf89ea0', 'processing', 'memory', 'tcp://10.21.255.232:38403', 47217288419072, [['compute', 1533035003.658157, 1533035186.9201992]]]
['blobDetector_multi-a634459c-665a-4459-9ed1-4eeefe3db1c5', 'processing', 'memory', 'tcp://10.21.255.232:33278', 47218874676992, [['compute', 1533035130.4828846, 1533035302.4151876]]]
['blobDetector_multi-ac589099-b698-4420-9b57-8a63966d6494', 'processing', 'memory', 'tcp://10.21.255.232:37776', 47221290866432, [['compute', 1533035131.9078777, 1533035309.4610965]]]
['blobDetector_multi-aa587804-9c97-4997-918e-60466faeb34a', 'processing', 'memory', 'tcp://10.21.255.232:35682', 47218270697216, [['compute', 1533035140.238495, 1533035316.370454]]]
['blobDetector_multi-b926e0c5-5419-4dea-959c-6d3eb5fe7d39', 'processing', 'memory', 'tcp://10.21.255.232:39989', 47220285019904, [['compute', 1533035133.6019754, 1533035316.3959403]]]
['blobDetector_multi-ba6ac9cf-9528-4b8e-8b72-84293f6d8db8', 'processing', 'memory', 'tcp://10.21.255.232:40163', 47218673612544, [['compute', 1533035141.8861506, 1533035322.3639314]]]
['blobDetector_multi-c14412f0-61e1-480b-8e0b-15074f83b066', 'processing', 'memory', 'tcp://10.21.255.232:45454', 47221089277696, [['compute', 1533035139.1399124, 1533035325.1474185]]]
['blobDetector_multi-a43ea90e-3b9d-4712-a928-c2653d53c15e', 'processing', 'memory', 'tcp://10.21.255.232:32886', 47220686628608, [['compute', 1533035149.96091, 1533035326.019352]]]
['blobDetector_multi-a6fdbfd7-905a-4dc3-b2bd-749fa6c94414', 'processing', 'memory', 'tcp://10.21.255.232:33819', 47220887934720, [['compute', 1533035150.9052594, 1533035327.2596176]]]
['blobDetector_multi-a4c3df96-343f-452a-b3d3-767a068cfab6', 'processing', 'memory', 'tcp://10.21.255.232:32975', 47219478656768, [['compute', 1533035148.6196558, 1533035328.6886127]]]
['blobDetector_multi-bdbc37b6-06c6-4d41-bba8-74dc1b9e2781', 'processing', 'memory', 'tcp://10.21.255.232:43601', 47217868044032, [['compute', 1533035149.120854, 1533035329.897455]]]
['blobDetector_multi-a9d208fb-97ac-4eec-8191-156be1662995', 'processing', 'memory', 'tcp://10.21.255.232:34483', 47219277330176, [['compute', 1533035151.753923, 1533035332.120535]]]
['blobDetector_multi-ac1c0089-dc78-4a04-b729-1a9b7f08a5a8', 'processing', 'memory', 'tcp://10.21.255.232:36424', 47217465390848, [['compute', 1533035153.9719398, 1533035332.569877]]]
['blobDetector_multi-c1e51d12-7d01-42fd-82ad-e1b7a3cdb833', 'processing', 'memory', 'tcp://10.21.255.232:45772', 47218472023808, [['compute', 1533035154.6867483, 1533035334.2617602]]]
['blobDetector_multi-a642639f-5802-4496-9bf7-8a7089475382', 'processing', 'memory', 'tcp://10.21.255.232:33754', 47219076003584, [['compute', 1533035160.5617194, 1533035336.0424013]]]
['blobDetector_multi-be725922-0b73-4f5f-9d0a-80c2f114068b', 'processing', 'memory', 'tcp://10.21.255.232:45116', 47217286317824, [['compute', 1533035153.797561, 1533035336.248062]]]
['blobDetector_multi-bab66f6b-c01f-4b7f-b3ec-a156223192c1', 'processing', 'memory', 'tcp://10.21.255.232:42839', 47221491926784, [['compute', 1533035155.3022358, 1533035337.693245]]]
['blobDetector_multi-b04ac0f2-b053-4a1c-9a99-4cbb87405b37', 'processing', 'memory', 'tcp://10.21.255.232:39244', 47220082636544, [['compute', 1533035151.258299, 1533035338.453602]]]
['blobDetector_multi-c5ff43d7-9431-4992-affa-9101492e1c1a', 'processing', 'memory', 'tcp://10.21.255.232:46085', 47220485281536, [['compute', 1533035156.4682577, 1533035342.2885358]]]
['blobDetector_multi-ad66cf35-269c-4e11-a525-a412f8a0a957', 'processing', 'memory', 'tcp://10.21.255.232:38351', 47217463527168, [['compute', 1533035170.0891669, 1533035344.915395]]]
['blobDetector_multi-ad5db569-46c0-44c2-bd5c-a6515c3e959e', 'processing', 'memory', 'tcp://10.21.255.232:38027', 47219679983360, [['compute', 1533035167.0277977, 1533035348.4796917]]]
['blobDetector_multi-bb97e0a3-c182-4c29-bf13-7b5999a5dc97', 'processing', 'memory', 'tcp://10.21.255.232:43550', 47218069370624, [['compute', 1533035144.4640486, 1533035349.6862748]]]
['blobDetector_multi-babacbf5-4614-41cf-a14d-092cee6688da', 'processing', 'memory', 'tcp://10.21.255.232:42845', 47219881572096, [['compute', 1533035172.799636, 1533035351.2908149]]]
