['blobDetector_multi-9b951668-b21e-44db-92b7-7b009bbd580e', 'processing', 'memory', 'tcp://10.21.248.140:42014', 47929758873344, [['compute', 1533221010.1652858, 1533221196.1298788]]]
['blobDetector_multi-d671ab36-5228-4a71-9aaf-c7b73be2652c', 'processing', 'memory', 'tcp://10.21.248.140:37498', 47931369486080, [['compute', 1533221010.1730366, 1533221196.2360184]]]
['blobDetector_multi-3802a3cc-7f09-4009-8299-735126e170ee', 'processing', 'memory', 'tcp://10.21.248.139:46695', 47716899038976, [['compute', 1533221010.1527622, 1533221196.259316]]]
['blobDetector_multi-61d08496-d0a4-40bb-a55a-bbda7063d460', 'processing', 'memory', 'tcp://10.21.248.145:34950', 46916280809216, [['compute', 1533221010.1590111, 1533221196.3050663]]]
['blobDetector_multi-4009bae6-2aa4-4ec6-84cd-d4489d9deaa7', 'processing', 'memory', 'tcp://10.21.248.140:42189', 47928601024256, [['compute', 1533221010.1538787, 1533221196.2126715]]]
['blobDetector_multi-257f6eef-014d-45d0-8a5d-f81e0db02d88', 'processing', 'memory', 'tcp://10.21.248.131:45172', 47573813454592, [['compute', 1533221010.1493492, 1533221196.351957]]]
['blobDetector_multi-2ebe3852-a6f5-494c-9203-f14ec3d03aa4', 'processing', 'memory', 'tcp://10.21.248.139:40908', 47718701496064, [['compute', 1533221010.1519756, 1533221196.3770876]]]
['blobDetector_multi-feddee05-d104-43e5-a786-b8037f2b302b', 'processing', 'memory', 'tcp://10.21.248.147:45836', 47272494659328, [['compute', 1533221010.180264, 1533221196.5270782]]]
['blobDetector_multi-fc2a81ed-70ed-4cf8-b0f7-d395d5e94d11', 'processing', 'memory', 'tcp://10.21.248.147:41020', 47272092006144, [['compute', 1533221010.1796784, 1533221196.5679176]]]
['blobDetector_multi-e9c6c133-5022-4087-ba03-5c2372d58b23', 'processing', 'memory', 'tcp://10.21.248.140:39506', 47928953566976, [['compute', 1533221010.176495, 1533221196.606761]]]
['blobDetector_multi-08511fff-7ca3-43a3-aae4-dad67255884a', 'processing', 'memory', 'tcp://10.21.248.129:40839', 47132304242432, [['compute', 1533221010.1467853, 1533221196.6791945]]]
['blobDetector_multi-be403ff9-3117-4577-b459-da19f7daae37', 'processing', 'memory', 'tcp://10.21.248.131:43336', 47571196212992, [['compute', 1533221010.169099, 1533221196.7747712]]]
['blobDetector_multi-85991b6c-bb16-4b72-bd35-46cc80d91b13', 'processing', 'memory', 'tcp://10.21.248.147:43198', 47274306598656, [['compute', 1533221010.1622725, 1533221196.8819606]]]
['blobDetector_multi-9199546a-4fe8-4c81-b8f2-dbf1ddb4b40f', 'processing', 'memory', 'tcp://10.21.248.131:33790', 47572001519360, [['compute', 1533221010.1634371, 1533221196.892471]]]
['blobDetector_multi-6ad47fb0-3e84-438e-87f0-92b825db1bef', 'processing', 'memory', 'tcp://10.21.248.145:40510', 46917086377728, [['compute', 1533221010.1599703, 1533221196.9162033]]]
['blobDetector_multi-46363820-3db6-48ee-b713-4ddaaf563699', 'processing', 'memory', 'tcp://10.21.248.142:36867', 47765746910976, [['compute', 1533221010.1549056, 1533221196.9317765]]]
['blobDetector_multi-c409bdc0-03a7-4c68-a405-eaf014a4830f', 'processing', 'memory', 'tcp://10.21.248.142:35828', 47768762582784, [['compute', 1533221010.16966, 1533221196.93301]]]
['blobDetector_multi-e9471d38-51dc-495a-ac7b-00f641ec75ab', 'processing', 'memory', 'tcp://10.21.248.129:40214', 47132102915840, [['compute', 1533221010.1754746, 1533221196.9371796]]]
['blobDetector_multi-83b0f198-ef3d-40a8-8aa4-b42fe9bbcb03', 'processing', 'memory', 'tcp://10.21.248.147:41257', 47273904207616, [['compute', 1533221010.1620917, 1533221196.9381847]]]
['blobDetector_multi-49136cd8-3377-4853-adf7-37ee549de51b', 'processing', 'memory', 'tcp://10.21.248.142:40850', 47767755949824, [['compute', 1533221010.156726, 1533221197.0012138]]]
