['blobDetector_multi-71acaed5-32f6-4624-a3fa-0db8f042809e', 'processing', 'memory', 'tcp://10.21.254.253:42741', 47794534508288, [['compute', 1532936121.1301277, 1532936302.6502006]]]
['blobDetector_multi-81ed9f30-6e69-4867-83f6-7e2a882d1193', 'processing', 'memory', 'tcp://10.21.254.253:46365', 47791137134336, [['compute', 1532936120.6128347, 1532936305.1297956]]]
['blobDetector_multi-7ea6409e-6aba-417b-b09d-daf568bebdf2', 'processing', 'memory', 'tcp://10.21.254.253:45168', 47793125226240, [['compute', 1532936120.9945195, 1532936305.6092856]]]
['blobDetector_multi-6ace7daa-6042-41b7-9f62-a02b385fb1c5', 'processing', 'memory', 'tcp://10.21.254.253:37623', 47793930532608, [['compute', 1532936121.040019, 1532936306.5086448]]]
['blobDetector_multi-68ee1476-7c94-4bb9-9633-4f0832b2b2bf', 'processing', 'memory', 'tcp://10.21.254.253:36853', 47791715940096, [['compute', 1532936124.3960562, 1532936309.340449]]]
['blobDetector_multi-700acb60-d8ca-4a8f-be75-ea1159fa7deb', 'processing', 'memory', 'tcp://10.21.254.253:41137', 47794131863296, [['compute', 1532936126.7499714, 1532936313.7410145]]]
['blobDetector_multi-6dc74197-9ad9-4f0f-b58f-645682564d8f', 'processing', 'memory', 'tcp://10.21.254.253:37784', 47794937161472, [['compute', 1532936129.3566332, 1532936317.0378764]]]
['blobDetector_multi-616634ab-24f7-48c5-a50f-8ac850fb431f', 'processing', 'memory', 'tcp://10.21.254.253:33843', 47791135033088, [['compute', 1532936115.0731366, 1532936317.8786006]]]
['blobDetector_multi-74d1bf14-703a-4094-a3ed-88cbc20cea36', 'processing', 'memory', 'tcp://10.21.254.253:43253', 47792118593280, [['compute', 1532936130.0386145, 1532936321.5963874]]]
['blobDetector_multi-6ef8c737-1a66-461a-b980-54102e211f3d', 'processing', 'memory', 'tcp://10.21.254.253:38629', 47791514613504, [['compute', 1532936140.620189, 1532936323.605926]]]
['blobDetector_multi-74fe03eb-e235-4dad-98f2-6ee7cb7d1496', 'processing', 'memory', 'tcp://10.21.254.253:43659', 47792319919872, [['compute', 1532936142.6167035, 1532936325.9506795]]]
