['blobDetector_multi-e9212d61-292e-4f10-bc4b-9cd5d97b273d', 'processing', 'memory', 'tcp://10.21.253.46:36535', 47465499760384, [['compute', 1533284735.0509613, 1533284910.0924952]]]
['blobDetector_multi-c378e385-a78c-479e-a277-5185c2ae0d15', 'processing', 'memory', 'tcp://10.21.253.45:37962', 47278129702656, [['compute', 1533284728.9811761, 1533284910.271054]]]
['blobDetector_multi-ca5737d0-793a-48f7-8b02-6cc44b580829', 'processing', 'memory', 'tcp://10.21.253.45:39260', 47279541356288, [['compute', 1533284728.516159, 1533284910.6752021]]]
['blobDetector_multi-fe431e11-994c-45e2-a265-ca1295c2279a', 'processing', 'memory', 'tcp://10.21.253.46:44994', 47463285421824, [['compute', 1533284734.7162, 1533284910.986926]]]
['blobDetector_multi-fb00b831-40cc-4cbb-870a-15192483330b', 'processing', 'memory', 'tcp://10.21.253.46:43532', 47462882506496, [['compute', 1533284730.2746072, 1533284911.0371962]]]
['blobDetector_multi-ef4a5ddb-76ab-4954-8915-4e13e39fac3d', 'processing', 'memory', 'tcp://10.21.253.46:37709', 47465097094912, [['compute', 1533284736.975601, 1533284911.93729]]]
['blobDetector_multi-f3c5c8b7-13a3-4bbe-be9f-d87dda5879aa', 'processing', 'memory', 'tcp://10.21.253.46:40975', 47464090466048, [['compute', 1533284737.872105, 1533284912.055748]]]
['blobDetector_multi-c2b5b3ee-e93a-48e6-a870-076dd9437f07', 'processing', 'memory', 'tcp://10.21.253.45:37342', 47275714021120, [['compute', 1533284728.7762978, 1533284912.431439]]]
['blobDetector_multi-ed30e50f-5f98-480d-a3cf-05459115b0ed', 'processing', 'memory', 'tcp://10.21.253.46:37353', 47464493381376, [['compute', 1533284732.5121384, 1533284912.6313393]]]
['blobDetector_multi-f4d92bb3-c6ef-411a-a135-eb53bbf2d571', 'processing', 'memory', 'tcp://10.21.253.46:41281', 47463083833088, [['compute', 1533284735.168742, 1533284913.449836]]]
['blobDetector_multi-ffd80ea2-e616-4d4a-96c5-5c1f94a56416', 'processing', 'memory', 'tcp://10.21.253.46:45297', 47463889139456, [['compute', 1533284738.5751457, 1533284913.7057235]]]
['blobDetector_multi-f947343b-eda3-4989-9a03-543fdd13ab5d', 'processing', 'memory', 'tcp://10.21.253.46:43028', 47466103727872, [['compute', 1533284731.02459, 1533284913.926053]]]
['blobDetector_multi-fcfc6a4f-6bd3-4ce7-8443-7e48e07d24f7', 'processing', 'memory', 'tcp://10.21.253.46:44951', 47461921548032, [['compute', 1533284735.0395305, 1533284913.9684486]]]
['blobDetector_multi-9a34270c-46d4-4fd4-862d-2c7b14452457', 'processing', 'memory', 'tcp://10.21.253.15:45196', 47397130295040, [['compute', 1533284728.8781815, 1533284914.0547066]]]
['blobDetector_multi-dcd3f8fd-13e7-418b-ba6a-6f0dec9f872d', 'processing', 'memory', 'tcp://10.21.253.45:41216', 47276924106496, [['compute', 1533284732.7494135, 1533284914.0714924]]]
['blobDetector_multi-98a94f03-bbdf-46a9-8384-bd399161487d', 'processing', 'memory', 'tcp://10.21.253.15:44835', 47400538371840, [['compute', 1533284731.4283936, 1533284914.2638996]]]
['blobDetector_multi-e3216459-34c3-49fc-850a-21685f49f2dd', 'processing', 'memory', 'tcp://10.21.253.45:44080', 47279742420736, [['compute', 1533284732.5854452, 1533284914.3129253]]]
['blobDetector_multi-ab22dc3d-aa89-4b0d-bc43-8fad6e7e16cb', 'processing', 'memory', 'tcp://10.21.253.22:38750', 47449897142016, [['compute', 1533284730.0091631, 1533284914.45922]]]
['blobDetector_multi-9dba0a62-a19c-4bcd-9996-40a2ecfb70fd', 'processing', 'memory', 'tcp://10.21.253.15:46803', 47399934392064, [['compute', 1533284728.312089, 1533284915.188154]]]
['blobDetector_multi-ef0ee887-5405-4c65-8c5d-18f1686e9e6d', 'processing', 'memory', 'tcp://10.21.253.46:37671', 47465902667520, [['compute', 1533284737.3481393, 1533284915.3858433]]]
['blobDetector_multi-d28692db-cfb7-4b86-b410-b0a6213f9d4c', 'processing', 'memory', 'tcp://10.21.253.45:39445', 47278333155072, [['compute', 1533284740.7359347, 1533284916.5308506]]]
['blobDetector_multi-b9b1cf70-a810-42ee-aefd-3c3765a404c4', 'processing', 'memory', 'tcp://10.21.253.45:32945', 47278937110272, [['compute', 1533284739.0386155, 1533284917.0124044]]]
['blobDetector_multi-e15b331e-7121-428b-abcc-da4b4834a574', 'processing', 'memory', 'tcp://10.21.253.45:42316', 47277729150720, [['compute', 1533284739.115932, 1533284917.15711]]]
['blobDetector_multi-c11e6d75-5b14-43d2-9b54-69738e5d7827', 'processing', 'memory', 'tcp://10.21.253.45:36950', 47278534432512, [['compute', 1533284737.9869704, 1533284917.7601576]]]
['blobDetector_multi-f598e311-9b84-4a82-a5d2-227e52355dc6', 'processing', 'memory', 'tcp://10.21.253.46:42569', 47462479853312, [['compute', 1533284742.7818584, 1533284918.5447505]]]
['blobDetector_multi-8294d172-6413-479d-a8b2-31279c0e3c23', 'processing', 'memory', 'tcp://10.21.253.15:37393', 47399733327616, [['compute', 1533284735.682579, 1533284918.831379]]]
['blobDetector_multi-de4314ee-c7f4-4b82-bf62-a3499746fb59', 'processing', 'memory', 'tcp://10.21.253.45:41798', 47275715884800, [['compute', 1533284748.7219713, 1533284918.8458672]]]
['blobDetector_multi-89c35cd3-4015-46b0-a4e3-a6ac4f74348e', 'processing', 'memory', 'tcp://10.21.253.15:41110', 47401343686400, [['compute', 1533284733.1602755, 1533284919.0309396]]]
['blobDetector_multi-8c7bf7e5-9d51-4843-8513-273cc234d0ab', 'processing', 'memory', 'tcp://10.21.253.15:42322', 47397317146368, [['compute', 1533284736.836124, 1533284919.0394459]]]
