['blobDetector_multi-7020c1e2-ca62-4882-946f-f7ea4c6318c9', 'processing', 'memory', 'tcp://10.21.255.83:39172', 47073033590528, [['compute', 1532856229.0967028, 1532856408.0709507]]]
['blobDetector_multi-71dcfbc1-22cc-44a0-81c0-ec000a9d9f5f', 'processing', 'memory', 'tcp://10.21.255.83:42336', 47074993272576, [['compute', 1532856229.097529, 1532856408.0905921]]]
['blobDetector_multi-f5349008-c39e-4d32-8062-3983e3a07bae', 'processing', 'memory', 'tcp://10.21.255.83:44638', 47076805203712, [['compute', 1532856229.1161613, 1532856408.1635253]]]
['blobDetector_multi-b175de80-0182-4803-b9d4-c44aa92ddf7d', 'processing', 'memory', 'tcp://10.21.255.68:41599', 47186595309312, [['compute', 1532856229.106565, 1532856408.269521]]]
['blobDetector_multi-750e0eff-2a2d-44be-a9ab-943a924e1071', 'processing', 'memory', 'tcp://10.21.255.83:44017', 47076201240320, [['compute', 1532856229.09708, 1532856408.285458]]]
['blobDetector_multi-832e8b1e-4253-4ca0-8c91-df24eceec481', 'processing', 'memory', 'tcp://10.21.255.98:42378', 47157067400960, [['compute', 1532856229.0991309, 1532856408.3415377]]]
['blobDetector_multi-04e5957f-731a-479a-8165-7bace0f95685', 'processing', 'memory', 'tcp://10.21.255.47:36563', 47494088390400, [['compute', 1532856229.081113, 1532856408.377089]]]
['blobDetector_multi-d5831773-a114-498f-b118-433d1cfade95', 'processing', 'memory', 'tcp://10.21.255.68:38332', 47184984700672, [['compute', 1532856229.1120698, 1532856408.455561]]]
['blobDetector_multi-c3575b05-000d-4c77-9144-9df9559a0206', 'processing', 'memory', 'tcp://10.21.255.47:46735', 47492477515520, [['compute', 1532856229.108541, 1532856408.472977]]]
['blobDetector_multi-cb8bd745-fba3-4303-af3b-a5bb22c5ba5c', 'processing', 'memory', 'tcp://10.21.255.76:46351', 47545360348928, [['compute', 1532856229.1098292, 1532856408.4793632]]]
['blobDetector_multi-396d5672-57ce-4e60-8d4c-0c452a555908', 'processing', 'memory', 'tcp://10.21.255.72:36402', 47439125968640, [['compute', 1532856229.0880196, 1532856408.5259585]]]
['blobDetector_multi-ec196c2b-b191-4d05-b2ba-bdaed0a968d2', 'processing', 'memory', 'tcp://10.21.255.72:46417', 47438119323392, [['compute', 1532856229.115287, 1532856408.561634]]]
['blobDetector_multi-0358fa4d-9002-4c69-adbc-43c0bfc298ad', 'processing', 'memory', 'tcp://10.21.255.47:34748', 47494692108032, [['compute', 1532856229.0811903, 1532856408.5944583]]]
['blobDetector_multi-13f98e1d-a2eb-4ca8-95f5-a4c056850114', 'processing', 'memory', 'tcp://10.21.255.50:36462', 47208204367616, [['compute', 1532856229.0828476, 1532856408.6921306]]]
['blobDetector_multi-92025e77-53d5-4349-8068-49b5100ccd46', 'processing', 'memory', 'tcp://10.21.255.72:43798', 47437918009088, [['compute', 1532856229.102876, 1532856408.7658389]]]
['blobDetector_multi-d555b8e1-66fa-4071-bf1f-5675117c278d', 'processing', 'memory', 'tcp://10.21.255.47:36840', 47491515238144, [['compute', 1532856229.1119375, 1532856408.8824453]]]
['blobDetector_multi-bd43c866-4801-4e9d-957a-7a8df4823121', 'processing', 'memory', 'tcp://10.21.255.83:43182', 47075194599168, [['compute', 1532856229.1079342, 1532856408.9259481]]]
['blobDetector_multi-fca31a76-51a6-4167-befb-322a2a46239b', 'processing', 'memory', 'tcp://10.21.255.98:46677', 47156262369024, [['compute', 1532856229.1170151, 1532856409.087021]]]
['blobDetector_multi-6ae0a49e-305c-4aa2-a377-5033a28967d9', 'processing', 'memory', 'tcp://10.21.255.83:35352', 47073179469568, [['compute', 1532856229.09634, 1532856409.228651]]]
['blobDetector_multi-694085b3-a7b9-4fae-8140-c535f45067f7', 'processing', 'memory', 'tcp://10.21.255.83:32825', 47074389554944, [['compute', 1532856229.095894, 1532856409.2561202]]]
['blobDetector_multi-251084aa-7810-4b3a-8f9f-47c06011ae4d', 'processing', 'memory', 'tcp://10.21.255.50:45808', 47206996408064, [['compute', 1532856229.0846126, 1532856409.3110316]]]
['blobDetector_multi-2d704eb3-3545-4dc0-b61a-95773d75e435', 'processing', 'memory', 'tcp://10.21.255.68:40601', 47186997970688, [['compute', 1532856229.086151, 1532856409.3224568]]]
['blobDetector_multi-ac44dabf-1ed5-4a03-b714-cff52502f6d0', 'processing', 'memory', 'tcp://10.21.255.98:43159', 47154047514368, [['compute', 1532856229.105738, 1532856409.375572]]]
['blobDetector_multi-2250e996-fabc-4c3a-a99c-dc3c82ea951f', 'processing', 'memory', 'tcp://10.21.255.50:44424', 47206191363840, [['compute', 1532856229.0840316, 1532856409.4336946]]]
['blobDetector_multi-b0782cf5-e69d-4563-92d7-24ab26042551', 'processing', 'memory', 'tcp://10.21.255.68:37447', 47184380720896, [['compute', 1532856229.1063495, 1532856409.4747875]]]
['blobDetector_multi-ea85db0e-0824-479b-a355-c6e4ee6081f0', 'processing', 'memory', 'tcp://10.21.255.68:45540', 47187601946368, [['compute', 1532856229.1147854, 1532856409.5031683]]]
['blobDetector_multi-1beab509-59e0-48e5-a25c-634099084a9b', 'processing', 'memory', 'tcp://10.21.255.50:42050', 47205587121920, [['compute', 1532856229.089201, 1532856409.560714]]]
['blobDetector_multi-950ff356-4a65-4a48-87ca-0a2ea11cf5aa', 'processing', 'memory', 'tcp://10.21.255.75:43702', 47853591361280, [['compute', 1532856229.1035542, 1532856409.5673182]]]
['blobDetector_multi-168db673-efd0-4dda-b3f5-3a979cb6201a', 'processing', 'memory', 'tcp://10.21.255.50:38597', 47204983142144, [['compute', 1532856229.0828443, 1532856409.5698674]]]
['blobDetector_multi-8ac66c03-aaa3-4a53-a62d-2cec81520bcd', 'processing', 'memory', 'tcp://10.21.255.68:34946', 47183573550848, [['compute', 1532856229.1015215, 1532856409.5759516]]]
['blobDetector_multi-8dbfd906-40db-4be1-8a5d-6b99b9c1fe12', 'processing', 'memory', 'tcp://10.21.255.68:38926', 47185186027264, [['compute', 1532856229.1015296, 1532856409.5801246]]]
['blobDetector_multi-0b7e9168-d625-4f93-b87b-a3bd9f8990d3', 'processing', 'memory', 'tcp://10.21.255.47:40341', 47493081495296, [['compute', 1532856229.0819268, 1532856409.615445]]]
