2017-07-28 15:00:47.951378  svmem(total=134778585088, available=127169613824, percent=5.6, used=7303680000, free=126628294656, active=2638020608, inactive=312610816, buffers=0, cached=846610432, shared=37572608) sswap(total=1073737728, used=0, free=1073737728, percent=0.0, sin=0, sout=0)
2017-07-28 15:00:48.151923  svmem(total=134778585088, available=127153893376, percent=5.7, used=7319400448, free=126612574208, active=2647781376, inactive=312610816, buffers=0, cached=846610432, shared=37572608) sswap(total=1073737728, used=0, free=1073737728, percent=0.0, sin=0, sout=0)
2017-07-28 15:00:48.352502  svmem(total=134778585088, available=127156383744, percent=5.7, used=7316418560, free=126614073344, active=2647982080, inactive=312610816, buffers=0, cached=848093184, shared=37572608) sswap(total=1073737728, used=0, free=1073737728, percent=0.0, sin=0, sout=0)
2017-07-28 15:00:48.553029  svmem(total=134778585088, available=127149064192, percent=5.7, used=7323492352, free=126606258176, active=2650574848, inactive=312610816, buffers=0, cached=848834560, shared=37572608) sswap(total=1073737728, used=0, free=1073737728, percent=0.0, sin=0, sout=0)
2017-07-28 15:00:48.753558  svmem(total=134778585088, available=127144431616, percent=5.7, used=7328768000, free=126599512064, active=2658488320, inactive=312573952, buffers=0, cached=850305024, shared=37572608) sswap(total=1073737728, used=0, free=1073737728, percent=0.0, sin=0, sout=0)
2017-07-28 15:00:48.954097  svmem(total=134778585088, available=127137632256, percent=5.7, used=7335567360, free=126592712704, active=2660585472, inactive=312573952, buffers=0, cached=850305024, shared=37572608) sswap(total=1073737728, used=0, free=1073737728, percent=0.0, sin=0, sout=0)
2017-07-28 15:00:49.154630  svmem(total=134778585088, available=127130832896, percent=5.7, used=7342366720, free=126585913344, active=2666876928, inactive=312573952, buffers=0, cached=850305024, shared=37572608) sswap(total=1073737728, used=0, free=1073737728, percent=0.0, sin=0, sout=0)
2017-07-28 15:00:49.355211  svmem(total=134778585088, available=127127617536, percent=5.7, used=7344103424, free=126581211136, active=2674675712, inactive=312573952, buffers=0, cached=853270528, shared=37572608) sswap(total=1073737728, used=0, free=1073737728, percent=0.0, sin=0, sout=0)
2017-07-28 15:00:49.555780  svmem(total=134778585088, available=127121313792, percent=5.7, used=7350902784, free=126574411776, active=2677268480, inactive=312573952, buffers=0, cached=853270528, shared=37572608) sswap(total=1073737728, used=0, free=1073737728, percent=0.0, sin=0, sout=0)
2017-07-28 15:00:49.756307  svmem(total=134778585088, available=127110725632, percent=5.7, used=7362482176, free=126562340864, active=2692476928, inactive=312602624, buffers=0, cached=853762048, shared=37572608) sswap(total=1073737728, used=0, free=1073737728, percent=0.0, sin=0, sout=0)
2017-07-28 15:00:49.956861  svmem(total=134778585088, available=127108726784, percent=5.7, used=7364481024, free=126560342016, active=2695942144, inactive=312602624, buffers=0, cached=853762048, shared=37572608) sswap(total=1073737728, used=0, free=1073737728, percent=0.0, sin=0, sout=0)
2017-07-28 15:00:50.157495  svmem(total=134778585088, available=127101292544, percent=5.7, used=7371915264, free=126552907776, active=2698039296, inactive=312602624, buffers=0, cached=853762048, shared=37572608) sswap(total=1073737728, used=0, free=1073737728, percent=0.0, sin=0, sout=0)
2017-07-28 15:00:50.358049  svmem(total=134778585088, available=127096475648, percent=5.7, used=7375749120, free=126546108416, active=2707177472, inactive=312602624, buffers=0, cached=856727552, shared=37572608) sswap(total=1073737728, used=0, free=1073737728, percent=0.0, sin=0, sout=0)
