CU,Name,New,StageIn,Allocate,Exec,StageOut,Done
unit.000024,Mapper-1-8,N/A,84.522660017,N/A,90.0479061604,113.027347088,113.064048052
unit.000025,Mapper-1-9,N/A,83.3796200752,N/A,88.8401861191,119.637181044,119.673716068
unit.000026,Mapper-1-10,N/A,82.2898240089,N/A,85.8224020004,119.707911015,119.744680166
unit.000027,Mapper-1-11,N/A,88.5299050808,N/A,91.8599500656,134.276931047,134.313951015
unit.000028,Mapper-1-12,N/A,87.4314491749,N/A,91.1586852074,134.065539122,134.101896048
unit.000029,Mapper-1-13,N/A,85.8108251095,N/A,90.0508680344,133.994637012,134.03108716
unit.000030,Mapper-1-14,N/A,82.3809502125,N/A,86.0244591236,111.847079992,111.883402109
unit.000031,Mapper-1-15,N/A,81.2875301838,N/A,85.0188190937,112.95579505,112.992933035
unit.000032,Mapper-1-16,N/A,86.4288260937,N/A,90.0537641048,135.373122215,135.410189152
unit.000033,Reducer-1,N/A,139.28650403,N/A,142.091609001,148.226649046,149.476414204
unit.000034,Mapper-2-1,N/A,154.728693008,N/A,163.157649994,192.601731062,192.641328096
unit.000035,Mapper-2-2,N/A,156.911705017,N/A,165.270736217,193.740307093,193.776903152
unit.000036,Mapper-2-3,N/A,158.686065197,N/A,164.568402052,192.552410126,192.597474098
unit.000037,Mapper-2-4,N/A,155.873219013,N/A,163.487316132,193.668761015,193.705951214
unit.000038,Mapper-2-5,N/A,151.748697996,N/A,155.217441082,188.314789057,188.352599144
unit.000039,Mapper-2-6,N/A,158.644629002,N/A,164.368791103,194.820254087,194.856908083
unit.000040,Mapper-2-7,N/A,152.757130146,N/A,156.224287033,188.315311193,188.353056192
unit.000041,Mapper-2-8,N/A,157.297121048,N/A,164.365954161,183.057799101,183.09634614
unit.000042,Mapper-2-9,N/A,152.854017019,N/A,156.325723171,177.769981146,177.808397055
unit.000043,Mapper-2-10,N/A,151.838799,N/A,155.318498135,177.767926216,177.807071209
unit.000044,Mapper-2-11,N/A,159.87255621,N/A,168.081494093,203.198520184,203.234611034
unit.000045,Mapper-2-12,N/A,153.904460192,N/A,161.398420095,190.461095095,190.497509003
unit.000046,Mapper-2-13,N/A,155.009337187,N/A,163.359242201,183.058353186,183.095833063
unit.000047,Mapper-2-14,N/A,153.867390156,N/A,161.348147154,203.213784218,203.251027107
unit.000048,Mapper-2-15,N/A,156.009449005,N/A,162.554562092,193.713316202,193.74962306
unit.000049,Mapper-2-16,N/A,159.83052516,N/A,164.571905136,203.143320084,203.179638147
unit.000050,Reducer-2,N/A,206.097244024,N/A,208.786609173,214.757984161,215.989245176
unit.000051,Mapper-3-1,N/A,227.373594999,N/A,233.169103146,269.454573154,269.493007183
unit.000052,Mapper-3-2,N/A,224.787929058,N/A,232.162532091,268.345193148,268.385390043
unit.000053,Mapper-3-3,N/A,219.625581026,N/A,222.712695122,252.380040169,252.416929007
unit.000054,Mapper-3-4,N/A,225.071013212,N/A,232.564846039,275.826697111,275.863981009
unit.000055,Mapper-3-5,N/A,226.227944136,N/A,232.6657722,270.57053113,270.607167006
unit.000056,Mapper-3-6,N/A,221.647122145,N/A,224.622308016,253.503284216,253.539894104
unit.000057,Mapper-3-7,N/A,220.671948195,N/A,223.818228006,256.764522076,256.801231146
unit.000058,Mapper-3-8,N/A,223.687664032,N/A,227.739317179,257.871236086,257.933504105
unit.000059,Mapper-3-9,N/A,222.922111034,N/A,226.53285408,261.081209183,261.122279167
unit.000060,Mapper-3-10,N/A,221.783127069,N/A,225.326325178,256.690937042,256.729037046
unit.000061,Mapper-3-11,N/A,222.672717094,N/A,225.728929043,256.763789177,256.79996109
unit.000062,Mapper-3-12,N/A,220.635459185,N/A,223.716979027,253.487253189,253.526371002
unit.000063,Mapper-3-13,N/A,226.654567003,N/A,232.668510199,270.572703123,270.611158133
unit.000064,Mapper-3-14,N/A,227.944786072,N/A,233.571801186,275.827340126,275.864493132
unit.000065,Mapper-3-15,N/A,223.923135996,N/A,230.755524158,270.494246006,270.538539171
unit.000066,Mapper-3-16,N/A,219.535073042,N/A,222.614446163,256.691155195,256.730173111
unit.000067,Reducer-3,N/A,279.000313044,N/A,281.698554039,287.330289125,288.646128178
unit.000068,Mapper-4-1,N/A,297.835277081,N/A,304.121922016,323.43623209,323.603063107
unit.000069,Mapper-4-2,N/A,298.993402004,N/A,304.676376104,344.261605024,344.301212072
unit.000070,Mapper-4-3,N/A,294.206524134,N/A,299.04609704,330.325394154,330.374466181
unit.000071,Mapper-4-4,N/A,294.925298214,N/A,301.759206057,344.17257309,344.222763062
unit.000072,Mapper-4-5,N/A,291.680194139,N/A,294.724173069,329.214987993,329.255500078
unit.000073,Mapper-4-6,N/A,293.780794144,N/A,296.736406088,330.421308041,330.461805105
unit.000074,Mapper-4-7,N/A,293.060489178,N/A,296.434406042,315.746994019,315.78502202
unit.000075,Mapper-4-8,N/A,299.13132,N/A,305.078269005,332.657904148,332.698856115
unit.000076,Mapper-4-9,N/A,292.632894039,N/A,295.730229139,330.384757042,330.423302174
unit.000077,Mapper-4-10,N/A,292.062306166,N/A,295.125352144,324.991008043,325.028970003
unit.000078,Mapper-4-11,N/A,296.071982145,N/A,303.773554087,331.501928091,331.54857111
unit.000079,Mapper-4-12,N/A,295.353192091,N/A,303.770988226,344.363543034,344.400678158
unit.000080,Mapper-4-13,N/A,297.072375059,N/A,304.073147058,332.627387047,332.663505077
unit.000081,Mapper-4-14,N/A,298.223031044,N/A,303.468621016,323.435774088,323.602284193
