CU,Name,New,StageIn,Allocate,Exec,StageOut,Done
unit.000343,Euclidean_dist_102563_107961,-47.8128008842,15.9972159863,16.2041220665,16.4015140533,279.191760063,282.356719017
unit.000344,Euclidean_dist_102563_113359,-47.8103878498,16.4045190811,16.6609301567,16.8084580898,280.127452135,282.38202405
unit.000345,Euclidean_dist_102563_118757,-47.8081548214,16.8114640713,17.0185420513,17.2166290283,322.041412115,322.871479034
unit.000346,Euclidean_dist_102563_124155,-47.8046419621,74.3003900051,74.5040950775,74.7063131332,326.896679163,328.390200138
unit.000347,Euclidean_dist_102563_129553,-47.8011138439,64.0081579685,64.2222130299,64.4162449837,321.058027983,324.09416914
unit.000348,Euclidean_dist_102563_134951,-47.7958488464,65.9084100723,66.1125891209,66.3260140419,312.55490303,313.387449026
unit.000349,Euclidean_dist_102563_140349,-47.7922358513,27.2156631947,27.4234120846,27.6273341179,287.360704184,288.89896512
unit.000350,Euclidean_dist_107961_107961,-47.7883498669,28.2330291271,28.4412560463,28.6488239765,156.654344082,157.299201012
unit.000351,Euclidean_dist_107961_113359,-47.7844347954,28.9022471905,29.0629451275,29.2642982006,305.631223202,306.228821039
unit.000352,Euclidean_dist_107961_118757,-47.782022953,29.2564861774,29.4686741829,29.6739490032,296.219400167,297.299810171
unit.000353,Euclidean_dist_107961_124155,-47.7781360149,29.664014101,29.9226310253,30.0765249729,292.13172698,293.681936026
unit.000354,Euclidean_dist_107961_129553,-47.7628128529,102.507381201,102.710983038,268.005437136,540.607609034,541.645152092
unit.000355,Euclidean_dist_107961_134951,-47.7554898262,31.2953929901,31.5020341873,31.6992712021,291.828332186,292.464176178
unit.000356,Euclidean_dist_107961_140349,-47.7491598129,90.0775589943,90.2811100483,196.190564156,452.472573042,453.672872066
unit.000357,Euclidean_dist_113359_113359,-47.7468838692,30.0713350773,30.2800590992,30.4853110313,160.132393122,161.423601151
unit.000358,Euclidean_dist_113359_118757,-47.7446188927,35.165692091,35.3734140396,35.5710980892,304.700548172,306.230215073
unit.000359,Euclidean_dist_113359_124155,-47.7424588203,19.8767399788,20.0807800293,20.2831029892,275.129743099,276.440080166
unit.000360,Euclidean_dist_113359_129553,-47.7402188778,31.956936121,32.1099340916,32.3102960587,301.544953108,303.482457161
unit.000361,Euclidean_dist_113359_134951,-47.7368969917,125.26456809,125.468190193,278.199273109,530.646296978,531.753794193
unit.000362,Euclidean_dist_113359_140349,-47.7347300053,32.9754350185,33.1308691502,33.328179121,294.367901087,296.055011034
unit.000363,Euclidean_dist_118757_118757,-47.7325389385,33.5351450443,33.7418060303,33.9412992001,163.300569057,164.48195219
unit.000364,Euclidean_dist_118757_124155,-47.73031497,33.9965109825,34.1509561539,34.3484420776,297.186228991,298.501145124
unit.000365,Euclidean_dist_118757_129553,-47.7281470299,34.351457119,34.5584170818,34.7560851574,303.126517057,304.964755058
unit.000366,Euclidean_dist_118757_134951,-47.7226879597,34.7591052055,35.0143342018,35.1626501083,299.320482969,299.94214201
unit.000367,Euclidean_dist_118757_140349,-47.720348835,35.3703429699,35.5771951675,35.7756531239,305.327025175,306.373222113
unit.000368,Euclidean_dist_124155_124155,-47.7181208134,35.7786500454,36.0350570679,36.1807789803,169.529791117,170.655702114
unit.000369,Euclidean_dist_124155_129553,-47.7158658504,36.1837911606,36.3907101154,36.58832407,336.58714509,337.273737192
unit.000370,Euclidean_dist_124155_134951,-47.713187933,36.3876440525,36.5944139957,36.7918450832,305.938438177,307.675418139
unit.000371,Euclidean_dist_124155_140349,-47.7110369205,36.797935009,37.0525591373,37.2005741596,309.101188183,310.521242142
unit.000372,Euclidean_dist_129553_129553,-47.7087848186,37.203646183,37.4106881618,37.6075901985,196.182748079,197.520725012
unit.000373,Euclidean_dist_129553_134951,-47.7058398724,18.236877203,18.4438891411,18.6413769722,325.588809013,327.062007189
unit.000374,Euclidean_dist_129553_140349,-47.699723959,20.6959121227,20.9077019691,21.1085669994,280.473852158,282.388450146
unit.000375,Euclidean_dist_134951_134951,-47.6902999878,22.1230111122,22.3350071907,22.5409209728,155.225423098,156.2452631
unit.000376,Euclidean_dist_134951_140349,-47.6782100201,39.889291048,40.092993021,40.2951631546,313.500910997,314.858461142
unit.000377,Euclidean_dist_140349_140349,-47.6714777946,40.6848180294,40.8884530067,41.0905990601,193.316956997,194.364907026
unit.000378,ConnComp,568.823070049,575.835142136,576.395837069,576.771305084,741.861916065,749.382604122
