,Duration,Framework,Nodes,Optimization
310,30715800.0,MPIC++,2,2
311,30733800.0,MPIC++,2,2
312,30735100.0,MPIC++,2,2
313,30710700.0,MPIC++,2,2
314,30701100.0,MPIC++,2,2
315,30712600.0,MPIC++,2,2
316,30697400.0,MPIC++,2,2
317,30696100.0,MPIC++,2,2
318,30702400.0,MPIC++,2,2
319,30699000.0,MPIC++,2,2
320,30707600.0,MPIC++,2,2
321,30719900.0,MPIC++,2,2
322,30707000.0,MPIC++,2,2
323,30689100.0,MPIC++,2,2
324,30778500.0,MPIC++,2,2
325,30742000.0,MPIC++,2,2
326,30713500.0,MPIC++,2,2
327,30742300.0,MPIC++,2,2
328,30700400.0,MPIC++,2,2
329,30707400.0,MPIC++,2,2
330,30702200.0,MPIC++,2,2
331,30788600.0,MPIC++,2,2
332,33953900.0,MPIC++,2,2
333,30749300.0,MPIC++,2,2
334,30717100.0,MPIC++,2,2
335,30722400.0,MPIC++,2,2
336,30735900.0,MPIC++,2,2
337,30757900.0,MPIC++,2,2
338,30721600.0,MPIC++,2,2
339,30816600.0,MPIC++,2,2
340,30706200.0,MPIC++,2,2
341,30718200.0,MPIC++,2,2
342,30711700.0,MPIC++,2,2
343,30704900.0,MPIC++,2,2
344,30705600.0,MPIC++,2,2
345,30716200.0,MPIC++,2,2
346,30725200.0,MPIC++,2,2
347,30810000.0,MPIC++,2,2
348,30749800.0,MPIC++,2,2
349,30719300.0,MPIC++,2,2
350,30734900.0,MPIC++,2,2
351,30712700.0,MPIC++,2,2
352,30706200.0,MPIC++,2,2
353,30718800.0,MPIC++,2,2
354,30721400.0,MPIC++,2,2
355,30705800.0,MPIC++,2,2
356,30712700.0,MPIC++,2,2
357,30712800.0,MPIC++,2,2
358,30709900.0,MPIC++,2,2
359,30724100.0,MPIC++,2,2
360,30740400.0,MPIC++,2,2
361,30788500.0,MPIC++,2,2
362,30704600.0,MPIC++,2,2
363,30713800.0,MPIC++,2,2
364,30721700.0,MPIC++,2,2
365,30778200.0,MPIC++,2,2
366,30699400.0,MPIC++,2,2
367,30706000.0,MPIC++,2,2
368,30716900.0,MPIC++,2,2
369,30701000.0,MPIC++,2,2
370,30705600.0,MPIC++,2,2
371,30718100.0,MPIC++,2,2
372,30802300.0,MPIC++,2,2
373,30755500.0,MPIC++,2,2
374,30722200.0,MPIC++,2,2
375,30720500.0,MPIC++,2,2
376,30714500.0,MPIC++,2,2
377,30700500.0,MPIC++,2,2
378,30688900.0,MPIC++,2,2
379,30717100.0,MPIC++,2,2
380,30713100.0,MPIC++,2,2
381,30708200.0,MPIC++,2,2
382,30706400.0,MPIC++,2,2
383,30733000.0,MPIC++,2,2
384,30715500.0,MPIC++,2,2
385,30835000.0,MPIC++,2,2
386,33935500.0,MPIC++,2,2
387,30734900.0,MPIC++,2,2
388,30704300.0,MPIC++,2,2
389,30718000.0,MPIC++,2,2
390,30709600.0,MPIC++,2,2
391,30691200.0,MPIC++,2,2
392,30710600.0,MPIC++,2,2
393,30748100.0,MPIC++,2,2
394,30710100.0,MPIC++,2,2
395,30726900.0,MPIC++,2,2
396,30754400.0,MPIC++,2,2
397,30731100.0,MPIC++,2,2
398,30742900.0,MPIC++,2,2
399,33962400.0,MPIC++,2,2
400,30711800.0,MPIC++,2,2
401,30721700.0,MPIC++,2,2
402,30699000.0,MPIC++,2,2
403,30698700.0,MPIC++,2,2
404,30725800.0,MPIC++,2,2
405,30706100.0,MPIC++,2,2
406,33943700.0,MPIC++,2,2
407,30803100.0,MPIC++,2,2
408,30783200.0,MPIC++,2,2
409,33906400.0,MPIC++,2,2
410,30704300.0,MPIC++,2,2
411,30723900.0,MPIC++,2,2
412,30704600.0,MPIC++,2,2
413,30786400.0,MPIC++,2,2
414,30700200.0,MPIC++,2,2
415,30716600.0,MPIC++,2,2
416,30706600.0,MPIC++,2,2
417,30787500.0,MPIC++,2,2
418,30715200.0,MPIC++,2,2
419,30700600.0,MPIC++,2,2
420,30708500.0,MPIC++,2,2
421,30727900.0,MPIC++,2,2
422,30724100.0,MPIC++,2,2
423,30721400.0,MPIC++,2,2
424,30715600.0,MPIC++,2,2
425,30701100.0,MPIC++,2,2
426,30714500.0,MPIC++,2,2
427,30702300.0,MPIC++,2,2
428,30713900.0,MPIC++,2,2
429,30706800.0,MPIC++,2,2
430,30723300.0,MPIC++,2,2
431,30736100.0,MPIC++,2,2
432,30732200.0,MPIC++,2,2
433,30723200.0,MPIC++,2,2
434,30762900.0,MPIC++,2,2
435,30723200.0,MPIC++,2,2
436,30705700.0,MPIC++,2,2
437,30701700.0,MPIC++,2,2
438,30729800.0,MPIC++,2,2
439,30821100.0,MPIC++,2,2
440,30709600.0,MPIC++,2,2
441,30714700.0,MPIC++,2,2
442,30726900.0,MPIC++,2,2
443,30704200.0,MPIC++,2,2
444,30753300.0,MPIC++,2,2
445,30735100.0,MPIC++,2,2
446,30717100.0,MPIC++,2,2
447,33958100.0,MPIC++,2,2
448,30723200.0,MPIC++,2,2
449,33944600.0,MPIC++,2,2
450,30714300.0,MPIC++,2,2
451,30719500.0,MPIC++,2,2
452,30759600.0,MPIC++,2,2
453,30709200.0,MPIC++,2,2
454,30722500.0,MPIC++,2,2
455,30715000.0,MPIC++,2,2
456,30734700.0,MPIC++,2,2
457,30714700.0,MPIC++,2,2
458,30715300.0,MPIC++,2,2
459,30707000.0,MPIC++,2,2
460,30689600.0,MPIC++,2,2
461,30696600.0,MPIC++,2,2
462,30676900.0,MPIC++,2,2
463,30709000.0,MPIC++,2,2
464,30704300.0,MPIC++,2,2
465,30701100.0,MPIC++,2,2
466,30708200.0,MPIC++,2,2
467,30794600.0,MPIC++,2,2
468,30726200.0,MPIC++,2,2
469,30726300.0,MPIC++,2,2
470,30736800.0,MPIC++,2,2
471,30804100.0,MPIC++,2,2
472,30712900.0,MPIC++,2,2
473,30714000.0,MPIC++,2,2
474,30712500.0,MPIC++,2,2
475,30695200.0,MPIC++,2,2
476,30721800.0,MPIC++,2,2
477,30706400.0,MPIC++,2,2
478,30706200.0,MPIC++,2,2
479,30734900.0,MPIC++,2,2
480,30743400.0,MPIC++,2,2
481,30713000.0,MPIC++,2,2
482,30724100.0,MPIC++,2,2
483,30728000.0,MPIC++,2,2
484,30701600.0,MPIC++,2,2
485,30743400.0,MPIC++,2,2
486,30707500.0,MPIC++,2,2
487,30760000.0,MPIC++,2,2
488,30735800.0,MPIC++,2,2
489,30708300.0,MPIC++,2,2
490,30712000.0,MPIC++,2,2
491,33957300.0,MPIC++,2,2
492,30754500.0,MPIC++,2,2
493,30749700.0,MPIC++,2,2
494,30729600.0,MPIC++,2,2
495,30779400.0,MPIC++,2,2
496,30714500.0,MPIC++,2,2
497,30798900.0,MPIC++,2,2
498,30731700.0,MPIC++,2,2
499,30896600.0,MPIC++,2,2
500,30780700.0,MPIC++,2,2
501,30761500.0,MPIC++,2,2
502,30881300.0,MPIC++,2,2
503,30726800.0,MPIC++,2,2
504,30890100.0,MPIC++,2,2
505,30721400.0,MPIC++,2,2
506,30765700.0,MPIC++,2,2
507,30742400.0,MPIC++,2,2
508,30691300.0,MPIC++,2,2
509,30741200.0,MPIC++,2,2
510,30810100.0,MPIC++,2,2
511,30718700.0,MPIC++,2,2
512,30708400.0,MPIC++,2,2
513,30719200.0,MPIC++,2,2
514,30725100.0,MPIC++,2,2
515,30731500.0,MPIC++,2,2
516,30761900.0,MPIC++,2,2
517,30726500.0,MPIC++,2,2
518,30708400.0,MPIC++,2,2
519,30809700.0,MPIC++,2,2
520,30854800.0,MPIC++,2,2
521,30718700.0,MPIC++,2,2
522,30722200.0,MPIC++,2,2
523,30731700.0,MPIC++,2,2
524,30756700.0,MPIC++,2,2
525,30720100.0,MPIC++,2,2
526,30708500.0,MPIC++,2,2
527,30726000.0,MPIC++,2,2
528,30726600.0,MPIC++,2,2
529,30728000.0,MPIC++,2,2
530,30711600.0,MPIC++,2,2
531,30718700.0,MPIC++,2,2
532,30708400.0,MPIC++,2,2
533,30704200.0,MPIC++,2,2
534,30703000.0,MPIC++,2,2
535,30710900.0,MPIC++,2,2
536,30766800.0,MPIC++,2,2
537,30699300.0,MPIC++,2,2
538,30712800.0,MPIC++,2,2
539,30720400.0,MPIC++,2,2
540,30777400.0,MPIC++,2,2
541,30739200.0,MPIC++,2,2
542,30724200.0,MPIC++,2,2
543,30744800.0,MPIC++,2,2
544,30707800.0,MPIC++,2,2
545,30710800.0,MPIC++,2,2
546,30716600.0,MPIC++,2,2
547,30700400.0,MPIC++,2,2
548,30721200.0,MPIC++,2,2
549,30771200.0,MPIC++,2,2
550,30712000.0,MPIC++,2,2
551,30805600.0,MPIC++,2,2
552,30785300.0,MPIC++,2,2
553,30717700.0,MPIC++,2,2
