CU,Name,New,StageIn,Allocate,Exec,StageOut,Done,Read,Exec,Write
unit.000130,Mapper-0-131,N/A,1.067,N/A,3.474,15.964,15.965,0.028372,1.121619,0.001585

unit.000131,Mapper-0-132,N/A,1.071,N/A,3.503,13.852,13.853,0.027942,1.039982,0.001545

unit.000132,Mapper-0-133,N/A,1.073,N/A,3.522,13.852,13.854,0.028313,1.067245,0.00169

unit.000133,Mapper-0-134,N/A,1.075,N/A,3.542,13.855,13.856,0.028331,1.05,0.001602

unit.000134,Mapper-0-135,N/A,1.068,N/A,3.484,13.85,13.852,0.031867,1.020863,0.002031

unit.000135,Mapper-0-136,N/A,1.08,N/A,3.594,14.88,14.882,0.031093,0.993366,0.001603

unit.000136,Mapper-0-137,N/A,1.099,N/A,3.856,14.893,14.895,0.030978,0.991897,0.012421

unit.000137,Mapper-0-138,N/A,1.086,N/A,3.657,15.974,15.976,0.031942,1.01131,0.001739

unit.000138,Mapper-0-139,N/A,1.087,N/A,3.682,15.978,15.98,0.031762,0.983418,0.006058

unit.000139,Mapper-0-140,N/A,1.145,N/A,4.498,14.928,14.93,0.031139,0.978756,0.002549

unit.000140,Mapper-0-141,N/A,1.093,N/A,3.77,14.889,14.891,0.032052,0.990494,0.001742

unit.000141,Mapper-0-142,N/A,1.094,N/A,3.808,14.891,14.892,0.032235,1.018802,0.001611

unit.000142,Mapper-0-143,N/A,1.097,N/A,3.845,15.984,15.986,0.03608,1.022799,0.002175

unit.000143,Mapper-0-144,N/A,1.101,N/A,3.893,14.894,14.896,0.034063,0.972912,0.00218

unit.000144,Mapper-0-145,N/A,1.103,N/A,3.917,14.897,14.898,0.033983,0.989949,0.001924

unit.000145,Mapper-0-146,N/A,1.105,N/A,3.941,14.897,14.899,0.034138,0.983015,0.007005

unit.000146,Mapper-0-147,N/A,1.108,N/A,3.983,15.993,15.994,0.034163,1.015825,0.004855

unit.000147,Mapper-0-148,N/A,1.11,N/A,4.01,15.993,15.995,0.043776,1.009614,0.0017

unit.000148,Mapper-0-149,N/A,1.212,N/A,5.243,14.95,14.952,0.031127,1.010105,0.001642

unit.000149,Mapper-0-150,N/A,1.026,N/A,1.974,11.716,11.721,0.026186,0.971473,0.001519

unit.000150,Mapper-0-151,N/A,1.119,N/A,4.147,15.998,16.001,0.029598,1.115347,0.001579

unit.000151,Mapper-0-152,N/A,1.121,N/A,4.177,15.999,16.0,0.029452,1.231548,0.001531

unit.000152,Mapper-0-153,N/A,1.124,N/A,4.21,16.002,16.003,0.029711,1.147721,0.001516

unit.000153,Mapper-0-154,N/A,1.126,N/A,4.269,14.91,14.912,0.02965,1.204448,0.001676

unit.000154,Mapper-0-155,N/A,1.128,N/A,4.29,16.002,16.004,0.02924,1.009654,0.001644

unit.000155,Mapper-0-156,N/A,1.131,N/A,4.356,16.004,16.006,0.03522,1.133882,0.001534

unit.000156,Mapper-0-157,N/A,1.134,N/A,4.387,14.918,14.92,0.030507,1.009955,0.005609

unit.000157,Mapper-0-158,N/A,1.137,N/A,4.421,14.921,14.923,0.029652,0.992436,0.001753

unit.000158,Mapper-0-159,N/A,1.14,N/A,4.453,14.923,14.925,0.030453,1.029536,0.001728

unit.000159,Mapper-0-160,N/A,1.133,N/A,4.377,14.918,14.919,0.035524,1.295782,0.002055

unit.000160,Mapper-0-161,N/A,1.344,N/A,7.265,17.156,17.158,0.024654,1.016674,0.003856

unit.000161,Mapper-0-162,N/A,0.924,N/A,1.016,11.663,11.664,0.027936,1.00528,0.002119

unit.000162,Mapper-0-163,N/A,1.143,N/A,4.487,16.008,16.009,0.046639,1.044378,0.001575

unit.000163,Mapper-0-164,N/A,1.325,N/A,6.946,18.253,18.255,0.029122,0.975818,0.00214

unit.000164,Mapper-0-165,N/A,0.946,N/A,1.209,11.68,11.682,0.031737,1.003059,0.001635

unit.000165,Mapper-0-166,N/A,0.965,N/A,1.418,11.692,11.694,0.024528,1.306556,0.001931

unit.000166,Mapper-0-167,N/A,0.973,N/A,1.5,12.762,12.764,0.028784,0.958974,0.00154

unit.000167,Mapper-0-168,N/A,0.979,N/A,1.564,11.703,11.704,0.026152,0.95891,0.002221

unit.000168,Mapper-0-169,N/A,0.926,N/A,1.035,11.666,11.667,0.024581,1.009141,0.002315

unit.000169,Mapper-0-170,N/A,0.929,N/A,1.055,11.668,11.67,0.024508,1.01742,0.003239

unit.000170,Mapper-0-171,N/A,0.932,N/A,1.075,11.671,11.673,0.024315,1.035352,0.004141

unit.000171,Mapper-0-172,N/A,0.933,N/A,1.084,11.672,11.674,0.02435,1.007113,0.001808

unit.000172,Mapper-0-173,N/A,1.027,N/A,1.992,12.803,12.804,0.025442,1.037354,0.00178

unit.000173,Mapper-0-174,N/A,0.936,N/A,1.115,11.674,11.677,0.032726,1.017585,0.001782

unit.000174,Mapper-0-175,N/A,0.938,N/A,1.134,11.677,11.678,0.033337,0.994765,0.001674

unit.000175,Mapper-0-176,N/A,0.94,N/A,1.144,12.743,12.746,0.032598,1.098684,0.001547

unit.000176,Mapper-0-177,N/A,1.066,N/A,3.447,13.849,13.851,0.032575,1.031017,0.001965

unit.000177,Mapper-0-178,N/A,0.944,N/A,1.183,11.679,11.681,0.034422,0.981673,0.001663

unit.000178,Mapper-0-179,N/A,0.945,N/A,1.199,12.747,12.753,0.037918,1.288511,0.001821

unit.000179,Mapper-0-180,N/A,0.949,N/A,1.252,11.682,11.683,0.034297,0.998931,0.001693

unit.000180,Mapper-0-181,N/A,0.95,N/A,1.271,11.682,11.684,0.03505,0.955656,0.002462

unit.000181,Mapper-0-182,N/A,0.942,N/A,1.163,11.677,11.679,0.035024,0.970829,0.001713

unit.000182,Mapper-0-183,N/A,0.953,N/A,1.291,11.684,11.686,0.029999,0.992036,0.002321

unit.000183,Mapper-0-184,N/A,1.153,N/A,4.582,16.013,16.015,0.040305,1.13344,0.001573

unit.000184,Mapper-0-185,N/A,1.157,N/A,4.618,14.935,14.937,0.04026,0.966892,0.001511

unit.000185,Mapper-0-186,N/A,1.16,N/A,4.665,16.022,16.023,0.062148,1.294786,0.001899

unit.000186,Mapper-0-187,N/A,0.959,N/A,1.351,11.687,11.689,0.028571,0.969459,0.004851

unit.000187,Mapper-0-188,N/A,1.17,N/A,4.798,14.94,14.942,0.027328,1.020538,0.003989

unit.000188,Mapper-0-189,N/A,0.962,N/A,1.37,11.69,11.691,0.032781,1.017134,0.001611

unit.000189,Mapper-0-190,N/A,0.963,N/A,1.38,12.759,12.76,0.031797,1.186061,0.001624

unit.000190,Mapper-0-191,N/A,0.964,N/A,1.39,11.69,11.692,0.028921,0.972087,0.00195

unit.000191,Mapper-0-192,N/A,1.215,N/A,5.277,16.049,16.05,0.038266,1.167208,0.001755

unit.000192,Mapper-0-193,N/A,0.966,N/A,1.449,13.831,13.833,0.029396,0.9843,0.001594

unit.000193,Mapper-0-194,N/A,0.967,N/A,1.463,11.693,11.695,0.029857,0.986399,0.001555

unit.000194,Mapper-0-195,N/A,0.969,N/A,1.472,11.695,11.696,0.033967,0.959305,0.001616

unit.000195,Mapper-0-196,N/A,0.97,N/A,1.481,12.761,12.763,0.034456,0.988201,0.003917

unit.000196,Mapper-0-197,N/A,0.972,N/A,1.491,11.695,11.697,0.034066,0.981439,0.002277

unit.000197,Mapper-0-198,N/A,0.973,N/A,1.509,11.697,11.702,0.034827,0.959289,0.001764

unit.000198,Mapper-0-199,N/A,0.974,N/A,1.519,12.764,12.766,0.034942,0.96887,0.00852

unit.000199,Mapper-0-200,N/A,0.975,N/A,1.527,11.7,11.701,0.035517,0.975572,0.001646

unit.000200,Mapper-0-201,N/A,0.976,N/A,1.536,12.765,12.767,0.035613,0.987088,0.00675

unit.000201,Mapper-0-202,N/A,0.977,N/A,1.546,11.702,11.704,0.036275,0.976585,0.001655

unit.000202,Mapper-0-203,N/A,0.978,N/A,1.556,12.767,12.768,0.034237,0.980165,0.001748

unit.000203,Mapper-0-204,N/A,0.98,N/A,1.575,12.767,12.77,0.035459,0.999855,0.001785

unit.000204,Mapper-0-205,N/A,0.981,N/A,1.584,11.705,11.706,0.036264,0.984852,0.012073

unit.000205,Mapper-0-206,N/A,0.983,N/A,1.593,13.833,13.835,0.036125,0.955897,0.001783

unit.000206,Mapper-0-207,N/A,0.984,N/A,1.602,11.705,11.707,0.038837,0.956858,0.007616

unit.000207,Mapper-0-208,N/A,0.987,N/A,1.621,12.77,12.772,0.037819,0.980635,0.001583

unit.000208,Mapper-0-209,N/A,0.988,N/A,1.631,12.772,12.777,0.038014,0.977634,0.001654

unit.000209,Mapper-0-210,N/A,0.99,N/A,1.64,12.776,12.778,0.049365,1.070433,0.001656

unit.000210,Mapper-0-211,N/A,0.991,N/A,1.649,12.779,12.78,0.038475,1.006535,0.001743

unit.000211,Mapper-0-212,N/A,0.992,N/A,1.658,12.779,12.781,0.03879,1.01706,0.001569

unit.000212,Mapper-0-213,N/A,0.993,N/A,1.667,12.781,12.783,0.038797,1.010894,0.001554

unit.000213,Mapper-0-214,N/A,0.994,N/A,1.677,13.834,13.836,0.03913,1.013709,0.001709

unit.000214,Mapper-0-215,N/A,0.995,N/A,1.686,12.781,12.784,0.039394,1.031488,0.001635

unit.000215,Mapper-0-216,N/A,0.996,N/A,1.695,12.784,12.785,0.039375,1.001925,0.001587

unit.000216,Mapper-0-217,N/A,0.997,N/A,1.705,12.784,12.788,0.039523,0.984661,0.0017

unit.000217,Mapper-0-218,N/A,0.998,N/A,1.714,12.788,12.79,0.039587,1.086477,0.001579

unit.000218,Mapper-0-219,N/A,0.999,N/A,1.723,12.789,12.791,0.040088,1.301852,0.001724

unit.000219,Mapper-0-220,N/A,1.001,N/A,1.733,13.836,13.838,0.040104,1.265804,0.00168

unit.000220,Mapper-0-221,N/A,1.002,N/A,1.742,12.791,12.794,0.040078,0.96589,0.002281

unit.000221,Mapper-0-222,N/A,0.92,N/A,0.985,11.658,11.66,0.03208,0.977011,0.005515

unit.000222,Mapper-0-223,N/A,0.918,N/A,0.966,11.655,11.657,0.032451,0.998015,0.001857

unit.000223,Mapper-0-224,N/A,1.011,N/A,1.809,12.797,12.798,0.033393,0.946643,0.002011

unit.000224,Mapper-0-225,N/A,1.286,N/A,6.161,18.226,18.228,0.048291,1.298033,0.001726

unit.000225,Mapper-0-226,N/A,1.288,N/A,6.194,18.229,18.23,0.023634,1.020395,0.001557

unit.000226,Mapper-0-227,N/A,1.29,N/A,6.236,17.084,17.086,0.021575,0.966928,0.001494

unit.000227,Mapper-0-228,N/A,1.292,N/A,6.269,17.084,17.087,0.022006,0.961972,0.010695

unit.000228,Mapper-0-229,N/A,1.293,N/A,6.318,17.087,17.09,0.021905,0.958887,0.001583

unit.000229,Mapper-0-230,N/A,1.296,N/A,6.36,18.236,18.238,0.021987,0.980475,0.002216

unit.000230,Mapper-0-231,N/A,1.297,N/A,6.385,18.238,18.24,0.021827,0.965486,0.001892

unit.000231,Mapper-0-232,N/A,1.299,N/A,6.41,18.239,18.241,0.022027,0.987042,0.00449

unit.000232,Mapper-0-233,N/A,1.301,N/A,6.459,17.096,17.1,0.022046,0.95738,0.001845

unit.000233,Mapper-0-234,N/A,1.303,N/A,6.485,18.241,18.243,0.027067,0.979636,0.001621

unit.000234,Mapper-0-235,N/A,1.304,N/A,6.533,17.104,17.106,0.027593,0.990185,0.001914

unit.000235,Mapper-0-236,N/A,1.308,N/A,6.59,17.107,17.109,0.027663,0.965856,0.001834

unit.000236,Mapper-0-237,N/A,1.31,N/A,6.635,17.111,17.113,0.027554,1.009768,0.001556

unit.000237,Mapper-0-238,N/A,1.311,N/A,6.735,17.111,17.114,0.027428,1.00018,0.006695

unit.000238,Mapper-0-239,N/A,1.315,N/A,6.781,18.246,18.248,0.027567,0.994812,0.001762

unit.000239,Mapper-0-240,N/A,1.317,N/A,6.81,17.119,17.121,0.036039,0.997817,0.006939

unit.000240,Mapper-0-241,N/A,1.111,N/A,4.032,14.902,14.903,0.027938,0.983025,0.001687

unit.000241,Mapper-0-242,N/A,1.321,N/A,6.901,17.126,17.128,0.025018,0.977439,0.001532

unit.000242,Mapper-0-243,N/A,1.32,N/A,6.872,17.123,17.125,0.025042,1.002237,0.002217

unit.000243,Mapper-0-244,N/A,1.324,N/A,6.929,17.126,17.129,0.025195,1.013114,0.003753

unit.000244,Mapper-0-245,N/A,1.135,N/A,4.397,16.005,16.007,0.026485,0.990408,0.00158

unit.000245,Mapper-0-246,N/A,1.328,N/A,6.988,17.13,17.132,0.025693,1.222999,0.001705

