CU,Name,New,StageIn,Allocate,Exec,StageOut,Done,Read,Exec,Write
unit.000107,Mapper-0-108,N/A,0.865,N/A,2.098,14.688,14.689,0.026019,1.901353,0.003169

unit.000108,Mapper-0-109,N/A,0.868,N/A,2.127,12.543,12.545,0.021014,1.964641,0.003356

unit.000109,Mapper-0-110,N/A,0.871,N/A,2.176,12.546,12.548,0.064149,1.954288,0.003362

unit.000110,Mapper-0-111,N/A,0.874,N/A,2.249,13.611,13.614,0.021052,1.912483,0.003598

unit.000111,Mapper-0-112,N/A,0.876,N/A,2.314,13.612,13.613,0.019194,1.956448,0.003496

unit.000112,Mapper-0-113,N/A,0.878,N/A,2.343,15.754,15.756,0.019342,1.858872,0.003919

unit.000113,Mapper-0-114,N/A,0.881,N/A,2.377,13.626,13.628,0.019173,1.980462,0.003678

unit.000114,Mapper-0-115,N/A,0.883,N/A,2.434,14.699,14.702,0.034408,1.943968,0.003383

unit.000115,Mapper-0-116,N/A,0.886,N/A,2.486,14.702,14.705,0.019216,2.298568,0.00356

unit.000116,Mapper-0-117,N/A,0.85,N/A,1.78,12.526,12.528,0.030588,1.943452,0.008461

unit.000117,Mapper-0-118,N/A,0.889,N/A,2.557,14.705,14.707,0.016323,1.90285,0.003443

unit.000118,Mapper-0-119,N/A,0.88,N/A,2.363,14.696,14.699,0.019177,1.98151,0.003463

unit.000119,Mapper-0-120,N/A,0.894,N/A,2.617,14.708,14.71,0.016455,1.904477,0.017424

unit.000120,Mapper-0-121,N/A,0.899,N/A,2.666,13.642,13.644,0.016268,1.960684,0.003347

unit.000121,Mapper-0-122,N/A,0.901,N/A,2.698,14.714,14.717,0.016414,2.195501,0.003359

unit.000122,Mapper-0-123,N/A,0.903,N/A,2.717,14.717,14.718,0.016651,2.006603,0.00428

unit.000123,Mapper-0-124,N/A,0.905,N/A,2.748,15.759,15.761,0.025948,1.988756,0.004534

unit.000124,Mapper-0-125,N/A,0.907,N/A,2.778,14.723,14.725,0.016649,1.926944,0.003965

unit.000125,Mapper-0-126,N/A,0.909,N/A,2.811,14.726,14.728,0.016803,1.983222,0.003722

unit.000126,Mapper-0-127,N/A,0.912,N/A,2.841,14.729,14.731,0.024985,1.977877,0.003559

unit.000127,Mapper-0-128,N/A,0.913,N/A,2.862,15.763,15.765,0.01674,2.027809,0.003626

unit.000128,Mapper-0-129,N/A,0.917,N/A,2.903,14.733,14.735,0.014949,1.902604,0.003426

unit.000129,Mapper-0-130,N/A,0.919,N/A,2.974,14.736,14.738,0.01513,1.960647,0.003382

unit.000130,Mapper-0-131,N/A,0.923,N/A,3.03,14.739,14.74,0.016116,1.939942,0.004138

unit.000131,Mapper-0-132,N/A,0.896,N/A,2.636,14.711,14.713,0.016367,2.015624,0.003432

unit.000132,Mapper-0-133,N/A,0.743,N/A,0.765,12.431,12.433,0.041144,2.029006,0.003822

unit.000133,Mapper-0-134,N/A,0.748,N/A,0.795,12.434,12.436,0.041321,1.947421,0.004425

unit.000134,Mapper-0-135,N/A,0.752,N/A,0.834,12.437,12.439,0.041033,1.977794,0.003621

unit.000135,Mapper-0-136,N/A,0.755,N/A,0.852,12.438,12.439,0.041173,1.924291,0.003552

unit.000136,Mapper-0-137,N/A,0.758,N/A,0.881,12.44,12.442,0.042977,1.934311,0.004266

unit.000137,Mapper-0-138,N/A,0.762,N/A,0.91,12.443,12.444,0.041267,1.945457,0.005331

unit.000138,Mapper-0-139,N/A,0.763,N/A,0.929,14.652,14.654,0.023289,2.017067,0.003513

unit.000139,Mapper-0-140,N/A,0.767,N/A,0.958,14.655,14.656,0.020264,2.563912,0.003637

unit.000140,Mapper-0-141,N/A,0.749,N/A,0.805,14.647,14.649,0.044146,1.978775,0.011539

unit.000141,Mapper-0-142,N/A,0.848,N/A,1.752,13.601,13.602,0.039411,2.239366,0.003329

unit.000142,Mapper-0-143,N/A,0.921,N/A,3.007,14.738,14.74,0.016228,1.973666,0.009572

unit.000143,Mapper-0-144,N/A,0.78,N/A,1.096,12.452,12.453,0.023559,1.988231,0.003394

unit.000144,Mapper-0-145,N/A,0.783,N/A,1.125,13.577,13.578,0.014531,1.952306,0.005826

unit.000145,Mapper-0-146,N/A,0.786,N/A,1.154,13.577,13.579,0.031969,2.681434,0.003704

unit.000146,Mapper-0-147,N/A,0.789,N/A,1.194,12.457,12.459,0.01437,1.92269,0.003678

unit.000147,Mapper-0-148,N/A,0.792,N/A,1.252,14.663,14.665,0.023051,1.949266,0.003546

unit.000148,Mapper-0-149,N/A,0.795,N/A,1.279,13.58,13.581,0.038222,1.937687,0.003457

unit.000149,Mapper-0-150,N/A,0.798,N/A,1.307,12.464,12.466,0.038301,2.012387,0.003568

unit.000150,Mapper-0-151,N/A,0.802,N/A,1.336,12.467,12.469,0.038274,1.958664,0.003539

unit.000151,Mapper-0-152,N/A,0.804,N/A,1.358,13.582,13.584,0.038299,1.940015,0.003438

unit.000152,Mapper-0-153,N/A,0.807,N/A,1.418,12.488,12.49,0.038242,1.945547,0.003498

unit.000153,Mapper-0-154,N/A,0.813,N/A,1.457,13.583,13.584,0.040044,2.426114,0.003666

unit.000154,Mapper-0-155,N/A,0.818,N/A,1.494,12.498,12.499,0.041105,1.977958,0.003457

unit.000155,Mapper-0-156,N/A,0.822,N/A,1.523,13.585,13.595,0.041146,1.977058,0.003431

unit.000156,Mapper-0-157,N/A,0.827,N/A,1.552,12.515,12.517,0.041503,1.959108,0.004108

unit.000157,Mapper-0-158,N/A,0.829,N/A,1.572,12.517,12.519,0.041396,1.993274,0.003453

unit.000158,Mapper-0-159,N/A,0.844,N/A,1.713,13.598,13.6,0.015771,1.928312,0.004094

unit.000159,Mapper-0-160,N/A,0.835,N/A,1.628,13.596,13.597,0.01719,1.989249,0.003161
