CU,Name,New,StageIn,Allocate,Exec,StageOut,Done
unit.000149,Euclidean_dist_9046_43417,N/A,132.849431038,N/A,133.27345109,163.728399038,163.752395153
unit.000150,Euclidean_dist_9046_45226,N/A,201.000962019,N/A,201.631294012,230.054551125,230.095346212
unit.000151,Euclidean_dist_9046_47035,N/A,199.63176012,N/A,200.055143118,228.973673105,229.000066042
unit.000152,Euclidean_dist_9046_48844,N/A,62.2814280987,N/A,62.6886851788,90.9553601742,90.9692621231
unit.000153,Euclidean_dist_10855_10855,N/A,61.3337202072,N/A,61.7413790226,78.2265090942,78.2387111187
unit.000154,Euclidean_dist_10855_12664,N/A,64.1446561813,N/A,64.537787199,93.080791235,93.1927602291
unit.000155,Euclidean_dist_10855_14473,N/A,62.5326030254,N/A,62.9410421848,94.2758200169,94.2901711464
unit.000156,Euclidean_dist_10855_16282,N/A,63.0976030827,N/A,63.4925150871,91.9940721989,92.0103302002
unit.000157,Euclidean_dist_10855_18091,N/A,63.3326251507,N/A,63.7409582138,92.0082380772,92.021364212
unit.000158,Euclidean_dist_10855_19900,N/A,181.428197145,N/A,181.860336065,211.700748205,211.762163162
unit.000159,Euclidean_dist_10855_21709,N/A,180.871674061,N/A,181.313049078,209.548549175,209.590586185
unit.000160,Euclidean_dist_10855_23518,N/A,180.074753046,N/A,180.497321129,209.488358021,209.518481016
unit.000161,Euclidean_dist_10855_25327,N/A,180.620904207,N/A,181.033967018,210.648296118,210.676441193
unit.000162,Euclidean_dist_10855_27136,N/A,212.660691023,N/A,213.021884203,242.131424189,242.169567108
unit.000163,Euclidean_dist_10855_28945,N/A,208.51167202,N/A,208.783996105,237.652327061,237.702461004
unit.000164,Euclidean_dist_10855_30754,N/A,205.204660177,N/A,205.624415159,234.378311157,234.409781218
unit.000165,Euclidean_dist_10855_32563,N/A,207.425419092,N/A,207.915054083,235.515333176,235.556937218
unit.000166,Euclidean_dist_10855_34372,N/A,206.096276045,N/A,206.812713146,235.472114086,235.517830133
unit.000167,Euclidean_dist_10855_36181,N/A,205.766563177,N/A,206.43447423,235.446097136,235.495031118
unit.000168,Euclidean_dist_10855_37990,N/A,46.4862780571,N/A,46.8982942104,76.0995931625,76.1171691418
unit.000169,Euclidean_dist_10855_39799,N/A,40.5702190399,N/A,40.9766762257,68.7960982323,68.8072080612
unit.000170,Euclidean_dist_10855_41608,N/A,151.320865154,N/A,151.73033905,180.996928215,181.023641109
unit.000171,Euclidean_dist_10855_43417,N/A,152.290306091,N/A,152.688217163,182.038315058,182.079743147
unit.000172,Euclidean_dist_10855_45226,N/A,150.597957134,N/A,151.019514084,179.883183002,179.917171001
unit.000173,Euclidean_dist_10855_47035,N/A,149.743249178,N/A,150.156632185,178.863802195,178.879887104
unit.000174,Euclidean_dist_10855_48844,N/A,149.207870007,N/A,149.621006012,178.822548151,178.853383064
unit.000175,Euclidean_dist_12664_12664,N/A,148.78832221,N/A,149.233079195,164.851474047,164.89291811
unit.000176,Euclidean_dist_12664_14473,N/A,148.383072138,N/A,148.813363075,180.924874067,181.000619173
unit.000177,Euclidean_dist_12664_16282,N/A,147.501808167,N/A,147.917311192,176.752193213,176.774069071
unit.000178,Euclidean_dist_12664_18091,N/A,40.1709070206,N/A,40.5773181915,69.8324251175,69.8438160419
unit.000179,Euclidean_dist_12664_19900,N/A,39.7662410736,N/A,40.1745531559,68.7876040936,68.8038511276
unit.000180,Euclidean_dist_12664_21709,N/A,159.303689003,N/A,159.743397236,191.584379196,191.609258175
unit.000181,Euclidean_dist_12664_23518,N/A,161.328310013,N/A,161.838239193,192.617130041,192.740310192
unit.000182,Euclidean_dist_12664_25327,N/A,157.298864126,N/A,157.840197086,189.420181036,189.444659233
unit.000183,Euclidean_dist_12664_27136,N/A,159.551540136,N/A,159.989289045,190.466110229,190.532957077
unit.000184,Euclidean_dist_12664_28945,N/A,163.283227205,N/A,163.623195171,193.922186136,193.94038415
unit.000185,Euclidean_dist_12664_30754,N/A,163.596222162,N/A,163.99075222,192.754406214,192.790435076
unit.000186,Euclidean_dist_12664_32563,N/A,161.682919025,N/A,162.025079012,190.466282129,190.503934145
unit.000187,Euclidean_dist_12664_34372,N/A,164.127817154,N/A,164.541153193,195.044423103,195.068175077
unit.000188,Euclidean_dist_12664_36181,N/A,157.788985014,N/A,158.303984165,188.338058233,188.370086193
unit.000189,Euclidean_dist_12664_37990,N/A,158.407833099,N/A,158.704413176,188.348631144,188.385892153
unit.000190,Euclidean_dist_12664_39799,N/A,89.2894220352,N/A,89.6977491379,117.641221046,117.670997143
unit.000191,Euclidean_dist_12664_41608,N/A,89.868224144,N/A,90.2773790359,118.693383217,118.717054129
unit.000192,Euclidean_dist_12664_43417,N/A,136.811909199,N/A,137.283163071,168.012358189,168.043206215
unit.000193,Euclidean_dist_12664_45226,N/A,136.241991043,N/A,136.671854019,166.996131182,167.013174057
unit.000194,Euclidean_dist_12664_47035,N/A,87.3609850407,N/A,87.7826142311,117.64471221,117.66963315
