,Duration,Framework,Nodes
580,6041,Spark,2
581,6057,Spark,2
582,6067,Spark,2
583,6107,Spark,2
584,6114,Spark,2
585,6125,Spark,2
586,6132,Spark,2
587,6137,Spark,2
588,6137,Spark,2
589,6150,Spark,2
590,6149,Spark,2
591,6155,Spark,2
592,6156,Spark,2
593,6171,Spark,2
594,6173,Spark,2
595,6185,Spark,2
596,6188,Spark,2
597,6190,Spark,2
598,6217,Spark,2
599,6406,Spark,2
600,6410,Spark,2
601,6436,Spark,2
602,6439,Spark,2
603,6443,Spark,2
604,6455,Spark,2
605,6457,Spark,2
606,6464,Spark,2
607,6466,Spark,2
608,6470,Spark,2
609,6473,Spark,2
610,6479,Spark,2
611,6481,Spark,2
612,6484,Spark,2
613,6485,Spark,2
614,6491,Spark,2
615,6533,Spark,2
616,6590,Spark,2
617,6690,Spark,2
618,6747,Spark,2
619,6807,Spark,2
620,6873,Spark,2
621,6890,Spark,2
622,7054,Spark,2
623,7328,Spark,2
624,6041,Spark,2
625,6044,Spark,2
626,6045,Spark,2
627,6047,Spark,2
628,6050,Spark,2
629,6050,Spark,2
630,6097,Spark,2
631,6101,Spark,2
632,6112,Spark,2
633,6115,Spark,2
634,6119,Spark,2
635,6120,Spark,2
636,6122,Spark,2
637,6125,Spark,2
638,6128,Spark,2
639,6131,Spark,2
640,6146,Spark,2
641,6145,Spark,2
642,6148,Spark,2
643,6151,Spark,2
644,6177,Spark,2
645,6178,Spark,2
646,6239,Spark,2
647,6400,Spark,2
648,6405,Spark,2
649,6406,Spark,2
650,6408,Spark,2
651,6445,Spark,2
652,6449,Spark,2
653,6473,Spark,2
654,6480,Spark,2
655,6491,Spark,2
656,6499,Spark,2
657,6507,Spark,2
658,6547,Spark,2
659,6522,Spark,2
660,6533,Spark,2
661,6535,Spark,2
662,6541,Spark,2
663,6541,Spark,2
664,6548,Spark,2
665,6552,Spark,2
666,6554,Spark,2
667,6560,Spark,2
668,6579,Spark,2
669,6597,Spark,2
670,6604,Spark,2
671,6979,Spark,2
672,5963,Spark,2
673,5965,Spark,2
674,5969,Spark,2
675,5969,Spark,2
676,5996,Spark,2
677,6001,Spark,2
678,6005,Spark,2
679,6053,Spark,2
680,6056,Spark,2
681,6086,Spark,2
682,6089,Spark,2
683,6093,Spark,2
684,6093,Spark,2
685,6097,Spark,2
686,6109,Spark,2
687,6226,Spark,2
