['watershed_multi-303ba1d9-9c82-4384-b2a8-89da1ca8f697', 'processing', 'memory', 'tcp://10.21.251.147:39438', 47955528681216, [['deserialize', 1527438471.770137, 1527438475.473027], ['compute', 1527438475.476179, 1527440854.054934]]]
['watershed_multi-f966c46b-b89e-4eb5-8c83-c972d02dcfe1', 'processing', 'memory', 'tcp://10.21.251.173:37649', 47407317415680, [['deserialize', 1527438471.804845, 1527438479.733647], ['compute', 1527438479.771904, 1527440854.2449498]]]
['watershed_multi-894c831d-6061-401f-a397-97745c286bff', 'processing', 'memory', 'tcp://10.21.251.147:45490', 47953918326528, [['deserialize', 1527438471.7863, 1527438475.590636], ['compute', 1527438475.59381, 1527440854.661537]]]
['watershed_multi-74823f11-dc68-42e0-972d-0c6a6a275ef5', 'processing', 'memory', 'tcp://10.21.251.173:39806', 47405504427776, [['deserialize', 1527438471.785165, 1527438478.266096], ['compute', 1527438478.2665474, 1527440854.9656994]]]
['watershed_multi-44ae1fa8-4709-4ff5-b891-fb44ee070d94', 'processing', 'memory', 'tcp://10.21.251.169:39784', 47138008495872, [['deserialize', 1527438471.777062, 1527438474.829562], ['compute', 1527438474.8309746, 1527440855.2227216]]]
['watershed_multi-ffe4e838-afdc-4da3-bca7-2607d0741037', 'processing', 'memory', 'tcp://10.21.251.170:45332', 47814868498176, [['deserialize', 1527438499.657448, 1527438514.208218], ['compute', 1527438514.9077687, 1527440855.9932628]]]
['watershed_multi-fe82785d-8791-420f-82d3-a13c03c1ad36', 'processing', 'memory', 'tcp://10.21.251.169:37402', 47139216455424, [['deserialize', 1527438498.607948, 1527438510.543706], ['compute', 1527438511.0619905, 1527440856.0726755]]]
['watershed_multi-a55c8f30-cd29-4491-ad06-dbb84695227c', 'processing', 'memory', 'tcp://10.21.251.147:46072', 47952711911168, [['deserialize', 1527438471.791201, 1527438475.473017], ['compute', 1527438475.4768262, 1527440855.9512331]]]
['watershed_multi-a8230517-d3cb-4ecc-a06b-d701e107bb5e', 'processing', 'memory', 'tcp://10.21.251.170:32996', 47816680437504, [['deserialize', 1527438471.793579, 1527438475.110782], ['compute', 1527438475.11195, 1527440855.853568]]]
['watershed_multi-ebcfebee-6440-4f9c-816e-f6c45bd40b29', 'processing', 'memory', 'tcp://10.21.251.170:37223', 47814279812864, [['deserialize', 1527438471.802957, 1527438475.110878], ['compute', 1527438475.1125753, 1527440856.0210915]]]
['watershed_multi-c9c2015b-2fbf-40f1-9713-bb4bed63fce9', 'processing', 'memory', 'tcp://10.21.251.173:44017', 47406712387328, [['deserialize', 1527438471.799567, 1527438478.803945], ['compute', 1527438478.8327374, 1527440857.2258995]]]
['watershed_multi-3c530685-696a-4f6a-87ac-7281df92a515', 'processing', 'memory', 'tcp://10.21.251.169:34547', 47137603716864, [['deserialize', 1527438471.774028, 1527438474.754127], ['compute', 1527438474.7557664, 1527440857.2268345]]]
['watershed_multi-6a8d0dd2-1be0-4c26-90e8-c1b867adb29d', 'processing', 'memory', 'tcp://10.21.251.173:33477', 47405163423488, [['deserialize', 1527438471.783735, 1527438478.238036], ['compute', 1527438478.2390108, 1527440858.3165767]]]
['watershed_multi-1ffc88de-8aab-4ab2-bcc3-5ad56e58994b', 'processing', 'memory', 'tcp://10.21.251.146:35621', 47625554392832, [['deserialize', 1527438471.768747, 1527438475.010302], ['compute', 1527438475.011978, 1527440858.547052]]]
['watershed_multi-8fa739ba-c041-4b5b-a5a0-4a9bd229b27e', 'processing', 'memory', 'tcp://10.21.251.170:46264', 47817888401152, [['deserialize', 1527438471.789813, 1527438475.111512], ['compute', 1527438475.1133752, 1527440858.7777963]]]
