['watershed_multi-40e37752-36bd-4b85-855a-940b25a0e888', 'processing', 'memory', 'tcp://10.21.250.123:43490', 47087072868096, [['deserialize', 1527423182.721637, 1527423185.386574], ['compute', 1527423185.3851416, 1527425644.0000246]]]
['watershed_multi-f4aeb9ab-113b-40d7-ba63-bce928902eac', 'processing', 'memory', 'tcp://10.21.250.156:39057', 47496974857984, [['deserialize', 1527423182.731245, 1527423188.09572], ['compute', 1527423188.096708, 1527425644.320579]]]
['watershed_multi-8c963ab9-f740-442f-9eb6-defb8f0b8444', 'processing', 'memory', 'tcp://10.21.250.123:39327', 47088280827648, [['deserialize', 1527423182.727144, 1527423185.386574], ['compute', 1527423185.3850653, 1527425646.5846772]]]
['watershed_multi-e387abaf-f0da-42aa-8058-6f19d851df84', 'processing', 'memory', 'tcp://10.21.250.123:40469', 47084858275584, [['deserialize', 1527423182.731969, 1527423185.471679], ['compute', 1527423185.4705734, 1527425648.1239624]]]
['watershed_multi-80d7ea9f-7452-4d44-918b-aaa2d8e95dba', 'processing', 'memory', 'tcp://10.21.250.156:45209', 47500799014656, [['deserialize', 1527423182.724086, 1527423188.026638], ['compute', 1527423188.0270586, 1527425648.7281137]]]
['watershed_multi-9c9f3743-bd44-4980-8ca4-97d70e60625c', 'processing', 'memory', 'tcp://10.21.250.124:38132', 47535223736064, [['deserialize', 1527423182.727642, 1527423185.615856], ['compute', 1527423185.6144965, 1527425651.5105963]]]
['watershed_multi-2ad7c44b-179b-4523-b1c9-86be15019fec', 'processing', 'memory', 'tcp://10.21.250.123:33737', 47086670214912, [['deserialize', 1527423182.720225, 1527423185.386576], ['compute', 1527423185.3852699, 1527425651.6402488]]]
['watershed_multi-ecab8bf8-4dd9-4ee1-8d4b-cca8af301687', 'processing', 'memory', 'tcp://10.21.250.124:38389', 47535626389248, [['deserialize', 1527423182.732412, 1527423185.615788], ['compute', 1527423185.5929985, 1527425653.4221106]]]
['watershed_multi-55d6ec48-98b6-4e78-93c1-89f3ac459fc2', 'processing', 'memory', 'tcp://10.21.250.124:38841', 47536230377216, [['deserialize', 1527423182.724158, 1527423185.615781], ['compute', 1527423185.617122, 1527425653.769458]]]
['watershed_multi-438c4539-002c-4726-b0e9-73d01c385d09', 'processing', 'memory', 'tcp://10.21.250.123:44627', 47088077399808, [['deserialize', 1527423182.721896, 1527423185.386615], ['compute', 1527423185.38554, 1527425654.069252]]]
['watershed_multi-7d026e2c-d4c0-4fd6-86f1-e8484a9ca2dc', 'processing', 'memory', 'tcp://10.21.250.156:42906', 47499993708288, [['deserialize', 1527423182.723509, 1527423188.574971], ['compute', 1527423188.5907195, 1527425654.2495503]]]
['watershed_multi-4b039aa9-3e01-4aed-87a0-49bbf91c2458', 'processing', 'memory', 'tcp://10.21.250.124:35981', 47532406212352, [['deserialize', 1527423182.722354, 1527423185.615977], ['compute', 1527423185.61599, 1527425654.5776148]]]
['watershed_multi-b48ac937-9cb0-4c21-92e8-ac64b69605c9', 'processing', 'memory', 'tcp://10.21.250.156:42209', 47498181768960, [['deserialize', 1527423182.72659, 1527423188.231373], ['compute', 1527423188.231857, 1527425654.9773731]]]
['watershed_multi-67c17de3-a43d-4dd2-898f-2b11a9eff61d', 'processing', 'memory', 'tcp://10.21.250.156:32963', 47497175136000, [['deserialize', 1527423182.722183, 1527423188.147142], ['compute', 1527423188.147837, 1527425655.829156]]]
['watershed_multi-3c9f82f3-3424-48dc-911d-4a19ddd986cf', 'processing', 'memory', 'tcp://10.21.250.123:41216', 47086871803648, [['deserialize', 1527423182.72116, 1527423185.386665], ['compute', 1527423185.3851213, 1527425656.3742483]]]
['watershed_multi-eae9c84f-5fdb-4392-8d30-ac9c4979dcf5', 'processing', 'memory', 'tcp://10.21.250.124:36062', 47533210470144, [['deserialize', 1527423182.73242, 1527423185.708757], ['compute', 1527423185.7074835, 1527425656.5534985]]]
['watershed_multi-f708d1a5-cdb4-4ffb-a0e3-ae599e23e57c', 'processing', 'memory', 'tcp://10.21.250.156:41373', 47496971683584, [['deserialize', 1527423182.731505, 1527423188.127357], ['compute', 1527423188.1282594, 1527425658.1406994]]]
['watershed_multi-4f94fea3-1d55-4af3-87da-d1febed395fb', 'processing', 'memory', 'tcp://10.21.250.124:36278', 47536431707904, [['deserialize', 1527423182.7225, 1527423185.615787], ['compute', 1527423185.6162405, 1527425661.7066445]]]
['watershed_multi-65ce84d7-540c-4882-be40-581ca0a17673', 'processing', 'memory', 'tcp://10.21.250.124:45015', 47532606490368, [['deserialize', 1527423182.724197, 1527423185.680507], ['compute', 1527423185.6791725, 1527425661.7695425]]]
