['watershed_multi-2edf3153-a19d-4faa-a07a-affb22ccfb04', 'processing', 'memory', 'tcp://10.21.255.48:34254', 47768093619968, [['deserialize', 1527372324.787734, 1527372328.001455], ['compute', 1527372328.0022097, 1527374758.6037908]]]
['watershed_multi-4d351598-c339-4620-a920-0514bb0dee12', 'processing', 'memory', 'tcp://10.21.255.53:33549', 47847751841536, [['deserialize', 1527372324.790763, 1527372333.683336], ['compute', 1527372333.713894, 1527374759.92941]]]
['watershed_multi-984ee252-561a-45eb-a916-6de2b91b8545', 'processing', 'memory', 'tcp://10.21.255.46:46518', 47776012465920, [['deserialize', 1527372324.794036, 1527372328.942481], ['compute', 1527372328.9432757, 1527374761.4435966]]]
['watershed_multi-d0b75ca2-1e55-4a9c-8c2e-8634dce77f42', 'processing', 'memory', 'tcp://10.21.255.46:33354', 47777623082752, [['deserialize', 1527372324.799114, 1527372328.91157], ['compute', 1527372328.9135437, 1527374761.6375315]]]
['watershed_multi-13023b83-f7d1-482d-b922-859f69dd7b9f', 'processing', 'memory', 'tcp://10.21.255.46:33414', 47777220425472, [['deserialize', 1527372324.785376, 1527372328.911566], ['compute', 1527372328.9122925, 1527374762.1740625]]]
['watershed_multi-c47eb319-aefe-4f6e-a77b-a358625ad034', 'processing', 'memory', 'tcp://10.21.255.53:43078', 47848154494720, [['deserialize', 1527372324.797267, 1527372331.077916], ['compute', 1527372331.0782733, 1527374762.7663105]]]
['watershed_multi-bf341081-1263-4ca5-b9f5-beb1a74d2ddd', 'processing', 'memory', 'tcp://10.21.255.48:37966', 47767489902336, [['deserialize', 1527372324.796474, 1527372328.001537], ['compute', 1527372328.0045748, 1527374767.2635376]]]
['watershed_multi-43c76304-9a0c-405d-b2a9-ba642db80972', 'processing', 'memory', 'tcp://10.21.255.48:43940', 47766885660416, [['deserialize', 1527372324.789437, 1527372328.010583], ['compute', 1527372328.011257, 1527374768.475314]]]
['watershed_multi-e849c34f-36f8-48c8-a9d5-1594609a1815', 'processing', 'memory', 'tcp://10.21.255.48:44586', 47768294958848, [['deserialize', 1527372324.800644, 1527372328.001457], ['compute', 1527372328.0048199, 1527374769.533036]]]
['watershed_multi-45c260df-6cd1-4163-a08c-fb77bb99c608', 'processing', 'memory', 'tcp://10.21.255.48:46645', 47765476374272, [['deserialize', 1527372324.790186, 1527372328.06639], ['compute', 1527372328.0670943, 1527374772.3882244]]]
['watershed_multi-c944c56e-4bb7-4ef0-944a-b07a642e45cb', 'processing', 'memory', 'tcp://10.21.255.53:33979', 47845738575616, [['deserialize', 1527372324.798004, 1527372331.190454], ['compute', 1527372331.190896, 1527374772.90362]]]
['watershed_multi-bfcb1066-3b59-43cd-9d0a-eb1f7044a1c8', 'processing', 'memory', 'tcp://10.21.255.48:44936', 47767690966784, [['deserialize', 1527372324.796555, 1527372328.001456], ['compute', 1527372328.002743, 1527374773.639637]]]
['watershed_multi-3b02b8e5-84db-41e7-82d3-a4a562eab958', 'processing', 'memory', 'tcp://10.21.255.48:40324', 47764894168832, [['deserialize', 1527372324.788506, 1527372328.003292], ['compute', 1527372328.0050292, 1527374776.0061882]]]
['watershed_multi-06da6c84-c837-43b7-b21b-35ffd4c6c94d', 'processing', 'memory', 'tcp://10.21.255.39:37348', 47795138492160, [['deserialize', 1527372324.783113, 1527372328.093519], ['compute', 1527372328.0944495, 1527374776.0387707]]]
['watershed_multi-8cfff8ee-cdb3-433c-ac94-633e89c32d21', 'processing', 'memory', 'tcp://10.21.255.39:40128', 47793930532608, [['deserialize', 1527372324.792602, 1527372328.161864], ['compute', 1527372328.1630092, 1527374777.307959]]]
['watershed_multi-caffee9c-5fd0-4739-b33b-941547bdca54', 'processing', 'memory', 'tcp://10.21.255.39:33739', 47796346459904, [['deserialize', 1527372324.797724, 1527372328.09308], ['compute', 1527372328.097736, 1527374777.7686589]]]
['watershed_multi-0d92f86d-8ddd-4e88-9b09-90a196a5e7a3', 'processing', 'memory', 'tcp://10.21.255.39:44422', 47793525753600, [['deserialize', 1527372324.784382, 1527372328.092949], ['compute', 1527372328.0950086, 1527374780.6209445]]]
['watershed_multi-2e45363c-97e0-47d8-950e-93eee7e8a47d', 'processing', 'memory', 'tcp://10.21.255.48:33158', 47766080616192, [['deserialize', 1527372324.787536, 1527372328.094275], ['compute', 1527372328.0949588, 1527374782.440513]]]
['watershed_multi-39c74bd7-77e5-4b58-820e-9eb722665702', 'processing', 'memory', 'tcp://10.21.255.48:37854', 47765073721088, [['deserialize', 1527372324.788158, 1527372328.001454], ['compute', 1527372328.0027225, 1527374784.0410504]]]
['watershed_multi-ef1bfdee-c0f0-40ff-8474-25eb1c933eab', 'processing', 'memory', 'tcp://10.21.255.53:36320', 47845335922432, [['deserialize', 1527372324.801319, 1527372331.136577], ['compute', 1527372331.1370873, 1527374787.2904882]]]
['watershed_multi-ae67ed4d-66d8-4b4d-ad49-3115f6f4ae8d', 'processing', 'memory', 'tcp://10.21.255.53:42042', 47847147861760, [['deserialize', 1527372324.795527, 1527372331.110859], ['compute', 1527372331.1115549, 1527374790.8805408]]]
['watershed_multi-e88b5508-84b8-4a69-9078-4edc49b22893', 'processing', 'memory', 'tcp://10.21.255.53:33534', 47846342555392, [['deserialize', 1527372324.801156, 1527372331.199569], ['compute', 1527372331.200016, 1527374792.174043]]]
['watershed_multi-f203cf78-b343-4f5a-9c1d-f18154f9bb51', 'processing', 'memory', 'tcp://10.21.255.53:40031', 47846745208576, [['deserialize', 1527372324.801703, 1527372331.633252], ['compute', 1527372331.7547116, 1527374794.2422075]]]
['watershed_multi-781ba331-3889-4600-a71c-4764681e3fef', 'processing', 'memory', 'tcp://10.21.255.53:44223', 47848557410048, [['deserialize', 1527372324.79242, 1527372331.011142], ['compute', 1527372331.0115466, 1527374795.4149315]]]
['watershed_multi-a0d64a1a-5e03-44e9-af42-7fd85e6e2261', 'processing', 'memory', 'tcp://10.21.255.48:34865', 47765879027456, [['deserialize', 1527372324.794238, 1527372328.069021], ['compute', 1527372328.0696402, 1527374797.0007532]]]
['watershed_multi-a580de0a-b848-452a-be5b-f7c83e328f68', 'processing', 'memory', 'tcp://10.21.255.48:43491', 47766281680640, [['deserialize', 1527372324.794574, 1527372328.107166], ['compute', 1527372328.1081605, 1527374798.0533116]]]
['watershed_multi-a750da5c-8ecf-403e-8e61-6003c3ffaa19', 'processing', 'memory', 'tcp://10.21.255.48:45426', 47768697865984, [['deserialize', 1527372324.794756, 1527372328.004928], ['compute', 1527372328.0059319, 1527374798.1267128]]]
['watershed_multi-c8b59ba3-cd62-4c12-8296-7762d95f5a4a', 'processing', 'memory', 'tcp://10.21.255.48:36640', 47767892293376, [['deserialize', 1527372324.797494, 1527372328.001516], ['compute', 1527372328.004848, 1527374798.8500772]]]
