['watershed_multi-207932f7-d110-405f-974d-935655d7133c', 'processing', 'memory', 'tcp://10.21.251.26:42669', 47882044471040, [['deserialize', 1527361494.064662, 1527361496.845922], ['compute', 1527361496.84566, 1527363909.828389]]]
['watershed_multi-cf237acb-e731-4127-84f9-fda14eda7859', 'processing', 'memory', 'tcp://10.21.251.27:45064', 47946559768320, [['deserialize', 1527361494.074829, 1527361500.024784], ['compute', 1527361500.0256424, 1527363910.4925473]]]
['watershed_multi-1fb31d11-900e-4862-a155-cbfbb3771452', 'processing', 'memory', 'tcp://10.21.251.26:42546', 47881843144448, [['deserialize', 1527361494.064489, 1527361496.878403], ['compute', 1527361496.8778403, 1527363914.3546844]]]
['watershed_multi-ede3977e-bcf8-432d-ba55-75bdfe272abf', 'processing', 'memory', 'tcp://10.21.251.2:41513', 46948088284928, [['deserialize', 1527361494.078426, 1527361496.844506], ['compute', 1527361496.844544, 1527363914.9428148]]]
['watershed_multi-a20bc931-15fb-4e01-9e8f-05b1775c6df8', 'processing', 'memory', 'tcp://10.21.251.2:33129', 46950506592000, [['deserialize', 1527361494.073011, 1527361496.844497], ['compute', 1527361496.845821, 1527363916.074175]]]
['watershed_multi-157d24da-e2b5-48d8-81d2-254868b8bc8f', 'processing', 'memory', 'tcp://10.21.251.26:38993', 47881440753408, [['deserialize', 1527361494.063852, 1527361496.889865], ['compute', 1527361496.8891964, 1527363916.5328014]]]
['watershed_multi-d939521e-d14a-45d0-9dc2-a59f3c84dda7', 'processing', 'memory', 'tcp://10.21.251.27:38483', 47946735290112, [['deserialize', 1527361494.076497, 1527361500.002913], ['compute', 1527361500.003879, 1527363916.856111]]]
['watershed_multi-c3215453-ebba-4093-847e-7a3dd74a23d9', 'processing', 'memory', 'tcp://10.21.251.2:34145', 46950908983040, [['deserialize', 1527361494.074982, 1527361496.844511], ['compute', 1527361496.8439908, 1527363917.30915]]]
['watershed_multi-a26800c1-fe70-4550-8a3c-3db4c59bda1d', 'processing', 'memory', 'tcp://10.21.251.2:38777', 46948090410752, [['deserialize', 1527361494.073131, 1527361496.844455], ['compute', 1527361496.8440168, 1527363918.3339148]]]
['watershed_multi-f7bff708-7baf-493d-b3bb-710742f0cd39', 'processing', 'memory', 'tcp://10.21.251.6:41318', 47220686616320, [['deserialize', 1527361494.079075, 1527361496.956103], ['compute', 1527361496.9556072, 1527363919.6380262]]]
['watershed_multi-bb256306-8421-484b-9db7-10f6846223b6', 'processing', 'memory', 'tcp://10.21.251.27:35004', 47949354661632, [['deserialize', 1527361494.073523, 1527361500.014726], ['compute', 1527361500.0151746, 1527363923.6967835]]]
['watershed_multi-c67f8b0b-fe58-4e85-8985-40dc49b97d1d', 'processing', 'memory', 'tcp://10.21.251.6:34212', 47218673350400, [['deserialize', 1527361494.075162, 1527361497.02143], ['compute', 1527361497.021086, 1527363923.821591]]]
['watershed_multi-d431aac1-cf57-4bf8-809f-2243a71b7640', 'processing', 'memory', 'tcp://10.21.251.26:42599', 47880431732480, [['deserialize', 1527361494.076797, 1527361496.820723], ['compute', 1527361496.8206465, 1527363924.0262685]]]
['watershed_multi-b2666588-a838-4ab9-9e55-96e989a03136', 'processing', 'memory', 'tcp://10.21.251.6:42182', 47220082636544, [['deserialize', 1527361494.074005, 1527361496.956174], ['compute', 1527361496.9592927, 1527363926.2243488]]]
['watershed_multi-823cb81c-897d-4638-a205-05a4b94ef238', 'processing', 'memory', 'tcp://10.21.251.6:35847', 47219680245504, [['deserialize', 1527361494.069799, 1527361496.95612], ['compute', 1527361496.955948, 1527363926.506686]]]
