['watershed_multi-9d6a2a6b-0239-4fea-a0be-b1c9219e81ea', 'processing', 'memory', 'tcp://10.21.253.19:42358', 47363360057088, [['deserialize', 1527351320.552521, 1527351328.876199], ['compute', 1527351328.8768485, 1527353755.9271555]]]
['watershed_multi-6467a5e1-081c-4fed-a2e8-1864f889c96d', 'processing', 'memory', 'tcp://10.21.253.19:44390', 47360742815488, [['deserialize', 1527351320.54816, 1527351328.614198], ['compute', 1527351328.6147535, 1527353755.9560385]]]
['watershed_multi-fc48c1cd-5860-4279-a89b-116d727f6b06', 'processing', 'memory', 'tcp://10.21.253.8:46625', 47182837217024, [['deserialize', 1527351320.559295, 1527351324.169383], ['compute', 1527351324.1699371, 1527353755.981972]]]
['watershed_multi-8bbc1b14-7f71-4521-91ab-9b7df7542b96', 'processing', 'memory', 'tcp://10.21.253.8:46387', 47184982574848, [['deserialize', 1527351320.551292, 1527351324.075793], ['compute', 1527351324.078312, 1527353756.601172]]]
['watershed_multi-acc9211b-1db1-4af2-a4b3-93de3b4b3c31', 'processing', 'memory', 'tcp://10.21.253.8:42300', 47183441196800, [['deserialize', 1527351320.553541, 1527351324.182101], ['compute', 1527351324.1827755, 1527353756.6041064]]]
['watershed_multi-586feea9-9bde-47f5-896c-855b9f14aced', 'processing', 'memory', 'tcp://10.21.253.19:42879', 47362554767104, [['deserialize', 1527351320.54766, 1527351328.709907], ['compute', 1527351328.710336, 1527353758.63521]]]
['watershed_multi-bc036297-39b2-471a-a83e-64d18f62469d', 'processing', 'memory', 'tcp://10.21.253.12:43331', 47419999942400, [['deserialize', 1527351320.553755, 1527351323.7888], ['compute', 1527351323.7921095, 1527353759.7129633]]]
['watershed_multi-0197e141-920e-4deb-8eff-2d380d212087', 'processing', 'memory', 'tcp://10.21.253.12:33443', 47420402591488, [['deserialize', 1527351320.540344, 1527351323.78771], ['compute', 1527351323.7886753, 1527353759.7613873]]]
['watershed_multi-eb486a04-66af-4378-af0a-28f1a54f3000', 'processing', 'memory', 'tcp://10.21.253.19:43032', 47359181416192, [['deserialize', 1527351320.557652, 1527351328.513736], ['compute', 1527351328.5146954, 1527353759.8276875]]]
['watershed_multi-f3958d0f-3e97-431d-9ab4-7f6a7cb2adab', 'processing', 'memory', 'tcp://10.21.253.8:35872', 47185385228032, [['deserialize', 1527351320.558701, 1527351324.075789], ['compute', 1527351324.0780478, 1527353761.3431907]]]
