['watershed_multi-36c94689-8bb1-445d-8e9e-f36ee31525a1', 'processing', 'memory', 'tcp://10.21.250.233:41111', 47822723565312, [['deserialize', 1527405458.548886, 1527405461.699178], ['compute', 1527405461.699764, 1527407825.7379692]]]
['watershed_multi-7690512a-82bd-4429-9262-4eb1f3d36f23', 'processing', 'memory', 'tcp://10.21.250.222:41584', 47503080716032, [['deserialize', 1527405458.561742, 1527405461.775184], ['compute', 1527405461.7756655, 1527407826.2004235]]]
['watershed_multi-699ff46b-0868-4917-a3af-f164f6d04aa9', 'processing', 'memory', 'tcp://10.21.250.238:36001', 47358058460928, [['deserialize', 1527405458.559003, 1527405464.959071], ['compute', 1527405464.9598613, 1527407826.0783544]]]
['watershed_multi-c884b8bd-c8f3-4350-a70a-3e70d512b3ea', 'processing', 'memory', 'tcp://10.21.250.238:34847', 47358662440704, [['deserialize', 1527405458.571664, 1527405465.02452], ['compute', 1527405465.0258455, 1527407826.2180204]]]
['watershed_multi-6ed80e0e-1458-4f9f-a55c-ec4fbc60c5e8', 'processing', 'memory', 'tcp://10.21.250.238:39764', 47356045195008, [['deserialize', 1527405458.559802, 1527405465.057756], ['compute', 1527405465.066089, 1527407826.469298]]]
['watershed_multi-32e8f057-53ea-479e-837b-37cfaf296009', 'processing', 'memory', 'tcp://10.21.250.231:44024', 47527038576384, [['deserialize', 1527405458.544941, 1527405461.921029], ['compute', 1527405461.921616, 1527407827.058607]]]
['watershed_multi-146d9c48-1b39-40af-a3e3-a806577c1a5c', 'processing', 'memory', 'tcp://10.21.250.229:34961', 46932923807488, [['deserialize', 1527405458.540283, 1527405461.952826], ['compute', 1527405461.9559085, 1527407827.0108085]]]
['watershed_multi-318c2260-153a-4596-8bc3-ac85e874bd93', 'processing', 'memory', 'tcp://10.21.250.231:40558', 47524016555776, [['deserialize', 1527405458.544427, 1527405461.921847], ['compute', 1527405461.9226375, 1527407828.2063215]]]
['watershed_multi-98b8c255-0b6c-49e0-9b5f-7e8eda3e8d3d', 'processing', 'memory', 'tcp://10.21.250.235:37593', 47463353317120, [['deserialize', 1527405458.565478, 1527405462.047419], ['compute', 1527405462.04744, 1527407828.999993]]]
['watershed_multi-73100549-0a01-40ef-b207-ade7927b5eba', 'processing', 'memory', 'tcp://10.21.250.222:35404', 47501470103296, [['deserialize', 1527405458.561371, 1527405461.768299], ['compute', 1527405461.7700946, 1527407831.0310585]]]
['watershed_multi-2d128e75-e95c-40fe-ab3d-ba45cc9c3d3f', 'processing', 'memory', 'tcp://10.21.250.231:37629', 47528043087616, [['deserialize', 1527405458.543898, 1527405461.921033], ['compute', 1527405461.922358, 1527407830.969432]]]
['watershed_multi-de84e827-e837-456e-9d6a-e72149590a2e', 'processing', 'memory', 'tcp://10.21.250.234:33927', 47109554337536, [['deserialize', 1527405458.576154, 1527405462.128729], ['compute', 1527405462.1287205, 1527407832.6655185]]]
['watershed_multi-c8536e9f-429a-47ce-8aaa-b83a8550ef23', 'processing', 'memory', 'tcp://10.21.250.235:39112', 47463754921728, [['deserialize', 1527405458.571842, 1527405462.123005], ['compute', 1527405462.1228845, 1527407832.7951186]]]
['watershed_multi-6a860d53-3591-4321-a9a9-858cd917e1c2', 'processing', 'memory', 'tcp://10.21.250.238:36906', 47355674310400, [['deserialize', 1527405458.559214, 1527405464.944588], ['compute', 1527405464.9451914, 1527407833.0165694]]]
['watershed_multi-96e92a2f-294a-4ce2-abdf-7757f7f03eae', 'processing', 'memory', 'tcp://10.21.250.234:40559', 47107947112192, [['deserialize', 1527405458.564696, 1527405462.092033], ['compute', 1527405462.0928247, 1527407833.6570406]]]
['watershed_multi-c8aac619-69fa-4c8d-ad3a-1b6e1a54d6ec', 'processing', 'memory', 'tcp://10.21.250.238:46004', 47357655807744, [['deserialize', 1527405458.571829, 1527405464.832816], ['compute', 1527405464.8332522, 1527407834.1292431]]]
['watershed_multi-2ea5b0dc-a98e-4943-8b2a-daa3e4a7107a', 'processing', 'memory', 'tcp://10.21.250.231:38580', 47525226641152, [['deserialize', 1527405458.543969, 1527405462.03144], ['compute', 1527405462.03241, 1527407834.762113]]]
['watershed_multi-8bdf866f-de50-43ea-86cd-433cbeaefe27', 'processing', 'memory', 'tcp://10.21.250.234:32875', 47109151946496, [['deserialize', 1527405458.564299, 1527405462.189675], ['compute', 1527405462.1895735, 1527407835.0528655]]]
