['watershed_multi-0cbeac94-58d0-4e77-b815-585b4dd0f1bc', 'processing', 'memory', 'tcp://10.21.249.40:40331', 47404095141632, [['deserialize', 1527374847.217217, 1527374850.688716], ['compute', 1527374850.6918879, 1527377222.0453007]]]
['watershed_multi-c6b9c426-f0d0-467e-aff5-f8e29f10cf25', 'processing', 'memory', 'tcp://10.21.249.44:40565', 47228135712512, [['deserialize', 1527374847.245085, 1527374850.400665], ['compute', 1527374850.4019036, 1527377222.0700254]]]
['watershed_multi-33da87b6-55f1-4f1a-9dcc-ecb19a80e373', 'processing', 'memory', 'tcp://10.21.249.44:45875', 47226927740672, [['deserialize', 1527374847.223275, 1527374850.402578], ['compute', 1527374850.402843, 1527377222.08783]]]
['watershed_multi-c91ec79b-bfd5-49c9-909c-555d4673a2d5', 'processing', 'memory', 'tcp://10.21.249.46:34498', 47048619489024, [['deserialize', 1527374847.245226, 1527374850.573457], ['compute', 1527374850.573752, 1527377224.050469]]]
['watershed_multi-d6982416-0761-4852-9acc-a7b59c641450', 'processing', 'memory', 'tcp://10.21.249.53:46365', 47848890566400, [['deserialize', 1527374847.24701, 1527374850.365436], ['compute', 1527374850.36693, 1527377224.758183]]]
['watershed_multi-8344ef85-91b3-4ba6-ac1f-b41c6974f20c', 'processing', 'memory', 'tcp://10.21.249.59:43433', 47784535291648, [['deserialize', 1527374847.234999, 1527374853.781457], ['compute', 1527374853.7821686, 1527377224.8712056]]]
['watershed_multi-6d2410c1-1583-4519-bbc5-742b5bc6c749', 'processing', 'memory', 'tcp://10.21.249.56:41365', 47551866734336, [['deserialize', 1527374847.23418, 1527374850.548097], ['compute', 1527374850.5483272, 1527377224.9520001]]]
['watershed_multi-fccda0be-fae6-4226-b705-b3e617ee164c', 'processing', 'memory', 'tcp://10.21.249.56:41419', 47552875755264, [['deserialize', 1527374856.054753, 1527374868.039046], ['compute', 1527374868.0688677, 1527377225.0781846]]]
['watershed_multi-26241d58-1c81-4b0c-a752-26b254d3aaf6', 'processing', 'memory', 'tcp://10.21.249.44:38572', 47228941268736, [['deserialize', 1527374847.221914, 1527374850.400654], ['compute', 1527374850.4005675, 1527377226.1065385]]]
['watershed_multi-ea132f73-1336-4d0f-81e0-c7d4c367bef6', 'processing', 'memory', 'tcp://10.21.249.46:39933', 47049223468800, [['deserialize', 1527374847.250979, 1527374850.573427], ['compute', 1527374850.5735674, 1527377226.5041704]]]
