Pilot Startuptime:33.7161531448CU,Name,New,StageIn,Allocate,Exec,StageOut,Done,Read,Exec,Write
unit.000141,Mapper-1-45,N/A,408.341709852,N/A,408.360764027,826.403259993,826.414412022,0.032546,232.645322,0.003367
unit.000142,Mapper-1-46,N/A,430.634611845,N/A,430.77590394,839.749101877,839.760831833,0.029466,213.287682,0.002019
unit.000143,Mapper-1-47,N/A,405.043847799,N/A,405.065975904,817.108362913,818.265357971,0.030596,222.064915,0.002733
unit.000144,Mapper-1-48,N/A,399.701970816,N/A,399.716512918,675.744108915,675.758080959,0.032352,186.683598,0.004537
unit.000145,Mapper-1-49,N/A,410.784583807,N/A,410.814461946,897.792971849,897.804608822,0.06113,252.887946,0.002394
unit.000146,Mapper-1-50,N/A,409.152752876,N/A,409.249392986,812.373694897,813.042477846,0.029331,216.575805,0.002481
unit.000147,Mapper-1-51,N/A,427.076901913,N/A,427.093019009,850.017266989,850.028761864,0.030877,224.345979,0.002912
unit.000148,Mapper-1-52,N/A,415.680890799,N/A,415.747354031,841.812189817,841.824354887,0.028862,231.910983,0.002501
unit.000149,Mapper-1-53,N/A,399.999971867,N/A,400.017206907,612.745277882,612.758754969,0.029619,174.40713,0.002886
unit.000150,Mapper-1-54,N/A,401.419368982,N/A,401.497393847,528.489631891,528.501756907,0.028939,123.988785,0.002795
unit.000151,Mapper-1-55,N/A,424.269022942,N/A,424.285529852,862.03826189,862.053162813,0.036779,230.718773,0.002708
unit.000152,Mapper-1-56,N/A,442.189101934,N/A,442.21101284,917.191803932,917.220134974,0.034327,227.301483,0.002103
unit.000153,Mapper-1-57,N/A,424.11993289,N/A,424.135833979,922.32732892,922.339563847,0.029406,246.525967,0.002313
unit.000154,Mapper-1-58,N/A,398.161911964,N/A,398.176375866,525.4436028,525.456228971,0.032108,123.68598,0.002958
unit.000155,Mapper-1-59,N/A,423.381767035,N/A,423.427531958,896.779820919,896.791674852,0.031948,240.135316,0.003151
