,Nodes,Run,ID,Measurement,Duration
304,2,3,5,Communication,3.91006469727e-05
305,2,3,5,Barrier,51.509324789
306,2,3,6,Execution,146.842152834
307,2,3,6,Communication,4.91142272949e-05
308,2,3,6,Barrier,51.7397210598
309,2,3,7,Execution,146.821531057
310,2,3,7,Communication,4.60147857666e-05
311,2,3,7,Barrier,51.7605860233
312,2,3,8,Execution,146.936650038
313,2,3,8,Communication,7.9870223999e-05
314,2,3,8,Barrier,51.645031929
315,2,3,9,Execution,146.971193075
316,2,3,9,Communication,3.69548797607e-05
317,2,3,9,Barrier,51.6095309258
318,2,3,10,Execution,146.773483992
319,2,3,10,Communication,4.88758087158e-05
320,2,3,10,Barrier,51.8084058762
321,2,3,11,Execution,146.741811037
322,2,3,11,Communication,3.69548797607e-05
323,2,3,11,Barrier,51.8399429321
324,2,3,12,Execution,145.69799304
325,2,3,12,Communication,5.10215759277e-05
326,2,3,12,Barrier,52.8843610287
327,2,3,13,Execution,145.717272043
328,2,3,13,Communication,3.60012054443e-05
329,2,3,13,Barrier,52.8653419018
330,2,3,14,Execution,145.671878099
331,2,3,14,Communication,5.10215759277e-05
332,2,3,14,Barrier,52.9109649658
333,2,3,15,Execution,145.759667158
334,2,3,15,Communication,3.69548797607e-05
335,2,3,15,Barrier,52.8231589794
336,2,3,16,Execution,145.651780844
337,2,3,16,Communication,0.000116109848022
338,2,3,16,Barrier,52.9309620857
339,2,3,17,Execution,54.8235781193
340,2,3,17,Communication,2.98023223877e-05
341,2,3,17,Barrier,4.88758087158e-05
342,2,3,18,Execution,145.815499067
343,2,3,18,Communication,5.31673431396e-05
344,2,3,18,Barrier,52.7673389912
345,2,3,19,Execution,145.719867945
346,2,3,19,Communication,5.57899475098e-05
347,2,3,19,Barrier,52.863173008
348,2,3,20,Execution,145.69294095
349,2,3,20,Communication,5.19752502441e-05
350,2,3,20,Barrier,52.8897299767
351,2,3,21,Execution,145.873694897
352,2,3,21,Communication,3.60012054443e-05
353,2,3,21,Barrier,52.7089672089
354,2,3,22,Execution,145.862059832
355,2,3,22,Communication,5.10215759277e-05
356,2,3,22,Barrier,52.720593214
357,2,3,23,Execution,145.78018713
358,2,3,23,Communication,4.31537628174e-05
359,2,3,23,Barrier,52.8025178909
360,2,3,24,Execution,141.71709013
361,2,3,24,Communication,9.48905944824e-05
362,2,3,24,Barrier,56.6546900272
363,2,3,25,Execution,141.647572994
364,2,3,25,Communication,3.79085540771e-05
365,2,3,25,Barrier,56.7242729664
366,2,3,26,Execution,141.635316849
367,2,3,26,Communication,4.6968460083e-05
368,2,3,26,Barrier,56.7328231335
369,2,3,27,Execution,141.584489107
370,2,3,27,Communication,4.91142272949e-05
371,2,3,27,Barrier,56.7873411179
