['getitem-c928a4c01d7bbd7bbdce1f1eb7d3d262', 'processing', 'memory', 'tcp://129.114.90.206:55169', 47053804279552, [('compute', 1495740589.403622, 1495740589.403646)]]
['getitem-6248b814e00d957a77fbc22e301bbf42', 'processing', 'memory', 'tcp://129.114.90.206:55169', 47053804279552, [('compute', 1495740589.40439, 1495740589.404398)]]
['getitem-8fc839b9216cc489ebeb3094ec20c597', 'processing', 'memory', 'tcp://129.114.90.206:55169', 47053804279552, [('compute', 1495740589.405054, 1495740589.405061)]]
['getitem-d8ec1544beb88018f74bad2b2b37eddb', 'processing', 'memory', 'tcp://129.114.90.206:55169', 47053804279552, [('compute', 1495740589.405784, 1495740589.40579)]]
['block_rmsd-cee833014defd539e3932d8fe8f72288', 'processing', 'memory', 'tcp://129.114.90.205:42362', 47267737278208, [('compute', 1495740543.792478, 1495740589.44373)]]
['getitem-8f257560231616b31e7702af563c4cca', 'processing', 'memory', 'tcp://129.114.90.205:42362', 47267737278208, [('compute', 1495740589.4476712, 1495740589.447679)]]
['getitem-299d398f66c856514bafd804b5e23e46', 'processing', 'memory', 'tcp://129.114.90.205:42362', 47267737278208, [('compute', 1495740589.448487, 1495740589.448506)]]
['getitem-c54a5b042788a17f307c462edf926c13', 'processing', 'memory', 'tcp://129.114.90.205:42362', 47267737278208, [('compute', 1495740589.448992, 1495740589.4490001)]]
['getitem-37f78a782ade6693f4e1c2457ad9b325', 'processing', 'memory', 'tcp://129.114.90.205:42362', 47267737278208, [('compute', 1495740589.4495642, 1495740589.449572)]]
['getitem-a1915d8a136a3eef5d4a3f85829861a3', 'processing', 'memory', 'tcp://129.114.90.205:42362', 47267737278208, [('compute', 1495740589.4500842, 1495740589.450092)]]
['block_rmsd-a90b40ce4536bcb181c4642cae49e141', 'processing', 'memory', 'tcp://129.114.90.205:43919', 47267737278208, [('compute', 1495740543.794247, 1495740589.502734)]]
['getitem-14e3c62596a93463dcbc8a86ad7615ae', 'processing', 'memory', 'tcp://129.114.90.205:43919', 47267737278208, [('compute', 1495740589.507013, 1495740589.507021)]]
['getitem-dc05c90e90b37dfed7427c90f23381ce', 'processing', 'memory', 'tcp://129.114.90.205:43919', 47267737278208, [('compute', 1495740589.507838, 1495740589.507847)]]
['getitem-b0c70ebc1de56e4edd56e2011e9a480a', 'processing', 'memory', 'tcp://129.114.90.205:43919', 47267737278208, [('compute', 1495740589.508397, 1495740589.508405)]]
['getitem-56490a78f964ce5c65d6fcfcb1fef5b5', 'processing', 'memory', 'tcp://129.114.90.205:43919', 47267737278208, [('compute', 1495740589.508968, 1495740589.508979)]]
['getitem-8c34dfdf74b09dc0eb1486be687b14dc', 'processing', 'memory', 'tcp://129.114.90.205:43919', 47267737278208, [('compute', 1495740589.509883, 1495740589.50989)]]
['amax-997c21a7-3412-4214-9b27-4a01c85b6627', 'processing', 'memory', 'tcp://129.114.90.205:54201', 47267737278208, [('transfer', 1495740589.509715, 1495740589.517586), ('transfer', 1495740589.512975, 1495740589.51768), ('transfer', 1495740589.509399, 1495740589.517741), ('transfer', 1495740589.5113559, 1495740589.517805), ('transfer', 1495740589.51004, 1495740589.517863), ('transfer', 1495740589.512593, 1495740589.51792), ('transfer', 1495740589.511055, 1495740589.517976), ('transfer', 1495740589.510735, 1495740589.518031), ('transfer', 1495740589.511648, 1495740589.518086), ('transfer', 1495740589.513261, 1495740589.518142), ('transfer', 1495740589.51228, 1495740589.518197), ('transfer', 1495740589.513546, 1495740589.518252), ('transfer', 1495740589.514144, 1495740589.518641), ('transfer', 1495740589.513856, 1495740589.518704), ('transfer', 1495740589.511951, 1495740589.519726), ('compute', 1495740589.520398, 1495740589.52054)]]
['sum-9e8ae93a-5610-4c9d-b4cb-dbb7084eeff2', 'processing', 'memory', 'tcp://129.114.90.205:55760', 47267737278208, [('transfer', 1495740589.515312, 1495740589.519568), ('transfer', 1495740589.511313, 1495740589.51967), ('transfer', 1495740589.515711, 1495740589.522403), ('transfer', 1495740589.51599, 1495740589.522475), ('transfer', 1495740589.510291, 1495740589.5247362), ('transfer', 1495740589.510682, 1495740589.524806), ('transfer', 1495740589.511632, 1495740589.5248652), ('transfer', 1495740589.512023, 1495740589.5249221), ('transfer', 1495740589.512414, 1495740589.5249782), ('transfer', 1495740589.514103, 1495740589.525033), ('transfer', 1495740589.514935, 1495740589.525185), ('transfer', 1495740589.513356, 1495740589.5252461), ('transfer', 1495740589.513737, 1495740589.52536), ('transfer', 1495740589.50913, 1495740589.525419), ('transfer', 1495740589.5145621, 1495740589.533), ('compute', 1495740589.5338721, 1495740589.533978)]]
['amax-3f38c4b2-09f3-422f-8214-2eb4ec053d37', 'processing', 'memory', 'tcp://129.114.90.153:35206', 47879174719232, [('transfer', 1495740589.525499, 1495740589.535445), ('transfer', 1495740589.523698, 1495740589.5356221), ('transfer', 1495740589.524302, 1495740589.535691), ('transfer', 1495740589.5279222, 1495740589.535754), ('transfer', 1495740589.523997, 1495740589.5358162), ('transfer', 1495740589.522453, 1495740589.535877), ('transfer', 1495740589.521522, 1495740589.535939), ('transfer', 1495740589.525192, 1495740589.5360081), ('transfer', 1495740589.524609, 1495740589.536068), ('transfer', 1495740589.5258791, 1495740589.536127), ('transfer', 1495740589.524902, 1495740589.536186), ('transfer', 1495740589.522778, 1495740589.53625), ('transfer', 1495740589.527609, 1495740589.53691), ('transfer', 1495740589.528206, 1495740589.5369852), ('transfer', 1495740589.5261722, 1495740589.538083), ('compute', 1495740589.5388682, 1495740589.540231)]]
['truediv-0394e9c9b7b458c308ff8d295c82cdf4', 'processing', 'memory', 'tcp://129.114.90.205:55760', 47267737278208, [('compute', 1495740589.539849, 1495740589.53989)]]
['sum-040f9574-1cae-4abd-93fc-78c3caf43d0b', 'processing', 'memory', 'tcp://129.114.90.154:47575', 47744891332352, [('transfer', 1495740589.532805, 1495740589.537988), ('transfer', 1495740589.530387, 1495740589.538106), ('transfer', 1495740589.532224, 1495740589.5381691), ('transfer', 1495740589.531642, 1495740589.5382361), ('transfer', 1495740589.530061, 1495740589.538297), ('transfer', 1495740589.5307, 1495740589.538358), ('transfer', 1495740589.533766, 1495740589.5384161), ('transfer', 1495740589.532519, 1495740589.538475), ('transfer', 1495740589.533108, 1495740589.538534), ('transfer', 1495740589.53462, 1495740589.538866), ('transfer', 1495740589.534051, 1495740589.538943), ('transfer', 1495740589.531931, 1495740589.539537), ('transfer', 1495740589.533471, 1495740589.539604), ('transfer', 1495740589.530991, 1495740589.539953), ('transfer', 1495740589.534339, 1495740589.7476811), ('compute', 1495740589.7486491, 1495740589.748739)]]
['truediv-c1290c4a0745bda1c633b1bb9f5df78f', 'processing', 'memory', 'tcp://129.114.90.154:47575', 47744891332352, [('compute', 1495740589.753958, 1495740589.754005)]]
['vstack-a8a7e761-5d98-47a1-8d83-967389d43d01', 'processing', 'memory', 'tcp://129.114.90.154:58341', 47744891332352, [('transfer', 1495740589.518815, 1495740589.538223), ('transfer', 1495740589.52122, 1495740589.538876), ('transfer', 1495740589.522436, 1495740589.540618), ('transfer', 1495740589.52078, 1495740589.555544), ('transfer', 1495740589.5168831, 1495740589.560452), ('transfer', 1495740589.521609, 1495740589.753002), ('transfer', 1495740589.518365, 1495740590.180154), ('transfer', 1495740589.521993, 1495740590.18721), ('transfer', 1495740589.520397, 1495740590.187506), ('transfer', 1495740589.52002, 1495740590.190945), ('transfer', 1495740589.517996, 1495740590.982775), ('transfer', 1495740589.5176191, 1495740590.987196), ('transfer', 1495740589.519205, 1495740590.98749), ('transfer', 1495740589.5157, 1495740591.182039), ('transfer', 1495740589.519568, 1495740591.602487), ('compute', 1495740591.603335, 1495740591.632206)]]
['tuple-d6e33ce2-59aa-4803-a795-281d98dcfb6f', 'processing', 'memory', 'tcp://129.114.90.154:58341', 47744891332352, [('transfer', 1495740591.639066, 1495740591.646949), ('transfer', 1495740591.638767, 1495740591.64706), ('transfer', 1495740591.638446, 1495740591.647141), ('transfer', 1495740591.6410291, 1495740591.647244), ('transfer', 1495740591.640747, 1495740591.64732), ('transfer', 1495740591.63965, 1495740591.647394), ('transfer', 1495740591.641583, 1495740591.647487), ('transfer', 1495740591.639944, 1495740591.647562), ('transfer', 1495740591.639367, 1495740591.647656), ('transfer', 1495740591.640222, 1495740591.647757), ('transfer', 1495740591.641304, 1495740591.647832), ('transfer', 1495740591.642684, 1495740591.648226), ('transfer', 1495740591.642417, 1495740591.6483061), ('transfer', 1495740591.642137, 1495740591.648398), ('transfer', 1495740591.641858, 1495740591.648471), ('compute', 1495740591.649702, 1495740591.649767)]]
