['getitem-2b246ac4ffed8c33f62cf6161864f36e', 'processing', 'memory', 'tcp://129.114.90.205:51903', 47267737278208, [('compute', 1495737873.1312158, 1495737873.1312208)]]
['getitem-5bd350afe787b90c2e8cb99aae5d73e7', 'processing', 'memory', 'tcp://129.114.90.205:51903', 47267737278208, [('compute', 1495737873.1318278, 1495737873.1318338)]]
['block_rmsd-3a6adf5ce54090eb50ee8e66a69efc02', 'processing', 'memory', 'tcp://129.114.90.206:55169', 47053804279552, [('compute', 1495737866.9748619, 1495737873.136693)]]
['block_rmsd-5ed8ddda21121be6d09670d6b46b90ad', 'processing', 'memory', 'tcp://129.114.90.154:37880', 47744891332352, [('compute', 1495737866.9771838, 1495737873.148625)]]
['block_rmsd-7f908c332fdadfc12e156aa63cc96417', 'processing', 'memory', 'tcp://129.114.90.205:39452', 47267737278208, [('compute', 1495737866.976371, 1495737873.145219)]]
['block_rmsd-0f0e079e7937850bce60670b3bf5eff3', 'processing', 'memory', 'tcp://129.114.90.205:37510', 47267737278208, [('compute', 1495737866.9746919, 1495737873.1371598)]]
['block_rmsd-d1be60eafb86974c1974e5fc2bfb668a', 'processing', 'memory', 'tcp://129.114.90.205:54201', 47267737278208, [('compute', 1495737866.970258, 1495737873.1491911)]]
['getitem-724b23ab1d59cd486216a6efeb93c815', 'processing', 'memory', 'tcp://129.114.90.154:46684', 47744891332352, [('compute', 1495737873.149733, 1495737873.1497412)]]
['getitem-bb000a6ce6f1fb60a5a412c2ff1a225c', 'processing', 'memory', 'tcp://129.114.90.154:46684', 47744891332352, [('compute', 1495737873.1503682, 1495737873.150372)]]
['getitem-b5e775e045bfe839afbe8ab261a6a9b3', 'processing', 'memory', 'tcp://129.114.90.154:46684', 47744891332352, [('compute', 1495737873.150823, 1495737873.1508281)]]
['getitem-0577ca7976be43c91e5503c0de974170', 'processing', 'memory', 'tcp://129.114.90.154:46684', 47744891332352, [('compute', 1495737873.1512551, 1495737873.1512592)]]
['getitem-e5d3e0d759f0158c0d9147c9fed1983c', 'processing', 'memory', 'tcp://129.114.90.154:46684', 47744891332352, [('compute', 1495737873.151714, 1495737873.151719)]]
['getitem-7e71759cbf4d100ed38e2486f82ac387', 'processing', 'memory', 'tcp://129.114.90.206:55169', 47053804279552, [('compute', 1495737873.159724, 1495737873.1597319)]]
['getitem-f1541e6a62400a8339b1632f15c38073', 'processing', 'memory', 'tcp://129.114.90.206:55169', 47053804279552, [('compute', 1495737873.160395, 1495737873.1604)]]
['getitem-fd3663a591573d2fdc9c2dd1aef4ff3c', 'processing', 'memory', 'tcp://129.114.90.206:55169', 47053804279552, [('compute', 1495737873.160788, 1495737873.160793)]]
['getitem-bb179c612d5ef532e99af51137c7cb43', 'processing', 'memory', 'tcp://129.114.90.206:55169', 47053804279552, [('compute', 1495737873.161187, 1495737873.161191)]]
['getitem-c7c9bc6ea3c81ab8f4448e9a0d45522a', 'processing', 'memory', 'tcp://129.114.90.206:55169', 47053804279552, [('compute', 1495737873.1615999, 1495737873.161605)]]
['getitem-85fe2c042f8b202ab3dc0dc6da7be7bc', 'processing', 'memory', 'tcp://129.114.90.154:37880', 47744891332352, [('compute', 1495737873.158716, 1495737873.158726)]]
['getitem-758580592067aed718dddce391d283a0', 'processing', 'memory', 'tcp://129.114.90.154:37880', 47744891332352, [('compute', 1495737873.159252, 1495737873.1592588)]]
['getitem-a34ba2e619d0dfe33e6acd2d0f94c44e', 'processing', 'memory', 'tcp://129.114.90.154:37880', 47744891332352, [('compute', 1495737873.1597679, 1495737873.159776)]]
['getitem-30a58f5e68227fd35dd44f263140c64e', 'processing', 'memory', 'tcp://129.114.90.154:37880', 47744891332352, [('compute', 1495737873.160661, 1495737873.1606688)]]
['getitem-bdc79d831ada2b22fd6a5a7fd25bb587', 'processing', 'memory', 'tcp://129.114.90.154:37880', 47744891332352, [('compute', 1495737873.1613688, 1495737873.161377)]]
['block_rmsd-cf0620cc30966ed84e2c84bf9a129bba', 'processing', 'memory', 'tcp://129.114.90.205:42362', 47267737278208, [('compute', 1495737866.985983, 1495737873.156842)]]
['getitem-62526c2ad0ce117b347e5fe29ae9fc84', 'processing', 'memory', 'tcp://129.114.90.205:39452', 47267737278208, [('compute', 1495737873.15719, 1495737873.157197)]]
['getitem-6921bdcd72f4e654ad39cf566aeee421', 'processing', 'memory', 'tcp://129.114.90.205:39452', 47267737278208, [('compute', 1495737873.157785, 1495737873.15779)]]
['getitem-e15471378eb2858f619c37d23e51f9f0', 'processing', 'memory', 'tcp://129.114.90.205:39452', 47267737278208, [('compute', 1495737873.158196, 1495737873.158201)]]
['getitem-273b5307ddc3236bdb2b68dad9d0fadb', 'processing', 'memory', 'tcp://129.114.90.205:39452', 47267737278208, [('compute', 1495737873.1587, 1495737873.158704)]]
['getitem-f482265aedba3c6e5a39f27a5fd18623', 'processing', 'memory', 'tcp://129.114.90.205:39452', 47267737278208, [('compute', 1495737873.159146, 1495737873.15915)]]
['getitem-e2bef1ce79563b6adcfb2d1c4f4ce509', 'processing', 'memory', 'tcp://129.114.90.205:37510', 47267737278208, [('compute', 1495737873.1568038, 1495737873.1568108)]]
['getitem-eecbc5593df2b93403d3438966df12dc', 'processing', 'memory', 'tcp://129.114.90.205:37510', 47267737278208, [('compute', 1495737873.1574159, 1495737873.1574209)]]
['getitem-7e24fd199b55ac01a467cff9f2f0e82d', 'processing', 'memory', 'tcp://129.114.90.205:37510', 47267737278208, [('compute', 1495737873.1578188, 1495737873.1578248)]]
['getitem-446c6f44815bfe95d8279fea455561b6', 'processing', 'memory', 'tcp://129.114.90.205:37510', 47267737278208, [('compute', 1495737873.158228, 1495737873.158233)]]
['getitem-f0b7ea0e6eb5184ed90f64a7a489845b', 'processing', 'memory', 'tcp://129.114.90.205:37510', 47267737278208, [('compute', 1495737873.1586528, 1495737873.1586568)]]
['block_rmsd-1b156cf19add78f468a6432db8ef9227', 'processing', 'memory', 'tcp://129.114.90.205:37678', 47267737278208, [('compute', 1495737866.9689362, 1495737873.1587732)]]
['getitem-b3aadf9e6868d31acef806d4abfeec9a', 'processing', 'memory', 'tcp://129.114.90.205:54201', 47267737278208, [('compute', 1495737873.164406, 1495737873.1644132)]]
['getitem-67741ca7fd5925fdc7a7208295598c65', 'processing', 'memory', 'tcp://129.114.90.205:54201', 47267737278208, [('compute', 1495737873.164993, 1495737873.164997)]]
['getitem-68413daec39eb2e29dbb39a8d52cc6ce', 'processing', 'memory', 'tcp://129.114.90.205:54201', 47267737278208, [('compute', 1495737873.1653812, 1495737873.1653862)]]
['getitem-07d37645ca4a19d62c3dce6b92f71548', 'processing', 'memory', 'tcp://129.114.90.205:54201', 47267737278208, [('compute', 1495737873.165745, 1495737873.165749)]]
['getitem-72abc30ea27768bbe0ce65fdb8586eae', 'processing', 'memory', 'tcp://129.114.90.205:54201', 47267737278208, [('compute', 1495737873.1662672, 1495737873.1662722)]]
['getitem-781069d02b9fa26b6706c4a25c242d85', 'processing', 'memory', 'tcp://129.114.90.205:42362', 47267737278208, [('compute', 1495737873.176158, 1495737873.1761649)]]
['getitem-a08ab0321a9c56bdfeefca80bf0ed875', 'processing', 'memory', 'tcp://129.114.90.205:42362', 47267737278208, [('compute', 1495737873.1767569, 1495737873.1767619)]]
['getitem-bb93b142a13a78a6d1843168245cb312', 'processing', 'memory', 'tcp://129.114.90.205:42362', 47267737278208, [('compute', 1495737873.177155, 1495737873.17716)]]
['getitem-758e7075d92bf5bb7262b1378581c14c', 'processing', 'memory', 'tcp://129.114.90.205:42362', 47267737278208, [('compute', 1495737873.177542, 1495737873.177546)]]
['getitem-91698bd99c19ff035a8689509cde168f', 'processing', 'memory', 'tcp://129.114.90.205:42362', 47267737278208, [('compute', 1495737873.177968, 1495737873.177972)]]
['block_rmsd-f988d0e5cc841f3c18026eb9cd918c00', 'processing', 'memory', 'tcp://129.114.90.205:55760', 47267737278208, [('compute', 1495737866.9833872, 1495737873.178718)]]
['block_rmsd-9418bb9dedfb83059b6ead783f5d6a75', 'processing', 'memory', 'tcp://129.114.90.206:42366', 47053804279552, [('compute', 1495737866.984578, 1495737873.1758778)]]
['getitem-c194f27d80d69534e1b9d52b0ec90f8a', 'processing', 'memory', 'tcp://129.114.90.205:37678', 47267737278208, [('compute', 1495737873.1860533, 1495737873.1860611)]]
['getitem-7193a009d3f3459c0739ba039f35a8ce', 'processing', 'memory', 'tcp://129.114.90.205:37678', 47267737278208, [('compute', 1495737873.1866472, 1495737873.1866512)]]
['getitem-6e97a65660e3ab39189c5279b7423421', 'processing', 'memory', 'tcp://129.114.90.205:37678', 47267737278208, [('compute', 1495737873.18704, 1495737873.187045)]]
['getitem-0a5e2d91f7fdc3c906cc85f5c230c53c', 'processing', 'memory', 'tcp://129.114.90.205:37678', 47267737278208, [('compute', 1495737873.1873872, 1495737873.1873913)]]
