['getitem-3b83da6c41eeefc7c7c6167783e1e695', 'processing', 'memory', 'tcp://129.114.90.154:47575', 47744891332352, [('compute', 1495737678.187638, 1495737678.1876442)]]
['getitem-2f32233dab7a6a07a3f462fb05ecb162', 'processing', 'memory', 'tcp://129.114.90.154:47575', 47744891332352, [('compute', 1495737678.1887271, 1495737678.1887782)]]
['getitem-0be07ec0dfebe9df5d3ac92c532b6862', 'processing', 'memory', 'tcp://129.114.90.154:47575', 47744891332352, [('compute', 1495737678.1892452, 1495737678.189249)]]
['getitem-b40f8de6c3f46fe24427453eb95ba2af', 'processing', 'memory', 'tcp://129.114.90.154:47575', 47744891332352, [('compute', 1495737678.1897461, 1495737678.1897502)]]
['block_rmsd-d796d8dc85949721ef943bef3534bf42', 'processing', 'memory', 'tcp://129.114.90.205:60029', 47267737278208, [('compute', 1495737670.255921, 1495737678.185549)]]
['block_rmsd-8a57b44585ef8278f1411281cea1866a', 'processing', 'memory', 'tcp://129.114.90.205:49984', 47267737278208, [('compute', 1495737670.272202, 1495737678.1902812)]]
['block_rmsd-da6d62df2fb62e1f499a218e95f962f2', 'processing', 'memory', 'tcp://129.114.90.205:59432', 47267737278208, [('compute', 1495737670.2635999, 1495737678.205653)]]
['block_rmsd-09adaf1232dea8ea0e638eda6eebc6cd', 'processing', 'memory', 'tcp://129.114.90.206:51771', 47053804279552, [('compute', 1495737670.259194, 1495737678.207741)]]
['block_rmsd-f9845d7b1ac156dc3b27f640a179d37a', 'processing', 'memory', 'tcp://129.114.90.206:52451', 47053804279552, [('compute', 1495737670.250598, 1495737678.19396)]]
['block_rmsd-899d20eb4dd48722f5097e490952b6a9', 'processing', 'memory', 'tcp://129.114.90.153:33587', 47879174719232, [('compute', 1495737670.244851, 1495737678.195519)]]
['getitem-d6be50c6562a633b5c44e1f6881b8af2', 'processing', 'memory', 'tcp://129.114.90.153:53659', 47879174719232, [('compute', 1495737678.190438, 1495737678.190448)]]
['getitem-bb49dcf9c2afc0eaea338b08bace93b8', 'processing', 'memory', 'tcp://129.114.90.153:53659', 47879174719232, [('compute', 1495737678.191175, 1495737678.191183)]]
['getitem-caeaf268e633b5c28a49a7cfc99aa307', 'processing', 'memory', 'tcp://129.114.90.153:53659', 47879174719232, [('compute', 1495737678.191641, 1495737678.191649)]]
['getitem-63fc9954a4379d8a3766aeb70c92afed', 'processing', 'memory', 'tcp://129.114.90.153:53659', 47879174719232, [('compute', 1495737678.192118, 1495737678.192127)]]
['getitem-b88d18a11c3ff086ec9b5a63ed1e544b', 'processing', 'memory', 'tcp://129.114.90.153:53659', 47879174719232, [('compute', 1495737678.19268, 1495737678.192689)]]
['block_rmsd-edef39a8f1ee898abd20bd960dc75271', 'processing', 'memory', 'tcp://129.114.90.205:55760', 47267737278208, [('compute', 1495737670.263429, 1495737678.207597)]]
