['block_rmsd-8a55d233db77f40eacc531ede08c8a60', 'processing', 'memory', 'tcp://129.114.90.206:33560', 47053804279552, [('compute', 1495737613.516643, 1495737623.483551)]]
['block_rmsd-a73e647abb200b31a03c0ac9bbe78883', 'processing', 'memory', 'tcp://129.114.90.154:47575', 47744891332352, [('compute', 1495737613.5161219, 1495737623.487575)]]
['block_rmsd-1bb40a54061573cfad99f1adace2bf60', 'processing', 'memory', 'tcp://129.114.90.206:49117', 47053804279552, [('compute', 1495737613.5237608, 1495737623.5012228)]]
['getitem-0b091ed733f915dca7acc067d976bd94', 'processing', 'memory', 'tcp://129.114.90.206:55169', 47053804279552, [('compute', 1495737623.491619, 1495737623.491628)]]
['getitem-aadf947d20ffcec67b9befdb957e5c47', 'processing', 'memory', 'tcp://129.114.90.206:55169', 47053804279552, [('compute', 1495737623.492304, 1495737623.492322)]]
['getitem-de58b7fbce52f50ad4229e4f271672dc', 'processing', 'memory', 'tcp://129.114.90.206:55169', 47053804279552, [('compute', 1495737623.492788, 1495737623.492795)]]
['getitem-4bd0d7a27b1b3c9268c037f4fd8165c1', 'processing', 'memory', 'tcp://129.114.90.206:55169', 47053804279552, [('compute', 1495737623.4933, 1495737623.4933069)]]
['getitem-8fba352196c2f45682e88250077055bb', 'processing', 'memory', 'tcp://129.114.90.206:55169', 47053804279552, [('compute', 1495737623.493882, 1495737623.493888)]]
['getitem-f3be256abef4678d293d5873520ae769', 'processing', 'memory', 'tcp://129.114.90.154:39508', 47744891332352, [('compute', 1495737623.4893079, 1495737623.489315)]]
['getitem-d4e2fa03ab21afff37b3615ca5e3c481', 'processing', 'memory', 'tcp://129.114.90.154:39508', 47744891332352, [('compute', 1495737623.489928, 1495737623.489935)]]
['getitem-fa98b6bf63e775d50e28660dfe8d570d', 'processing', 'memory', 'tcp://129.114.90.154:39508', 47744891332352, [('compute', 1495737623.49033, 1495737623.490336)]]
['getitem-c3a7b95bd66415a3b6ccbeb839c7d132', 'processing', 'memory', 'tcp://129.114.90.154:39508', 47744891332352, [('compute', 1495737623.490736, 1495737623.4907398)]]
['getitem-ee417e4e35c846cd9bbffb7559b223ef', 'processing', 'memory', 'tcp://129.114.90.154:39508', 47744891332352, [('compute', 1495737623.49138, 1495737623.491384)]]
['block_rmsd-e4bc11558c50d9385e31b1a461eaf5d8', 'processing', 'memory', 'tcp://129.114.90.154:53824', 47744891332352, [('compute', 1495737613.5203068, 1495737623.4931238)]]
['getitem-0f5ef7f2dc7be03f35f04e4216df7876', 'processing', 'memory', 'tcp://129.114.90.206:33560', 47053804279552, [('compute', 1495737623.493062, 1495737623.493071)]]
['getitem-223c1bc68d3d7e99110d8d7f3a0f50a6', 'processing', 'memory', 'tcp://129.114.90.206:33560', 47053804279552, [('compute', 1495737623.493683, 1495737623.493691)]]
['getitem-d4ce308c875506a3007f0b675ec15098', 'processing', 'memory', 'tcp://129.114.90.206:33560', 47053804279552, [('compute', 1495737623.494167, 1495737623.494174)]]
['getitem-501b38095376b6aa90640b883225b064', 'processing', 'memory', 'tcp://129.114.90.206:33560', 47053804279552, [('compute', 1495737623.49475, 1495737623.494755)]]
['getitem-614aaa396dd0de04e529308c69e923ff', 'processing', 'memory', 'tcp://129.114.90.206:33560', 47053804279552, [('compute', 1495737623.4953141, 1495737623.4953191)]]
['getitem-22f82136d8cde8779aacefb7f14f10a1', 'processing', 'memory', 'tcp://129.114.90.154:47575', 47744891332352, [('compute', 1495737623.4960248, 1495737623.4960299)]]
['getitem-eb79b80823e9efa38026cd4f28cb16a4', 'processing', 'memory', 'tcp://129.114.90.154:47575', 47744891332352, [('compute', 1495737623.496758, 1495737623.496764)]]
['getitem-f37c83b1c6dbeaf73111def5e07aefa2', 'processing', 'memory', 'tcp://129.114.90.154:47575', 47744891332352, [('compute', 1495737623.4971569, 1495737623.497161)]]
['getitem-a3094c72fa7e3f8fd07fe13f297b583b', 'processing', 'memory', 'tcp://129.114.90.154:47575', 47744891332352, [('compute', 1495737623.497653, 1495737623.497658)]]
['getitem-aa501857ab2556b2d2012cbb85a249d5', 'processing', 'memory', 'tcp://129.114.90.154:47575', 47744891332352, [('compute', 1495737623.498151, 1495737623.4981549)]]
['block_rmsd-350f334445f5322b609e6f9cfccccd9a', 'processing', 'memory', 'tcp://129.114.90.154:58341', 47744891332352, [('compute', 1495737613.5205667, 1495737623.503651)]]
['block_rmsd-f0e882f9da1b9eeee9d93926737f1ade', 'processing', 'memory', 'tcp://129.114.90.206:58568', 47053804279552, [('compute', 1495737613.515552, 1495737623.503537)]]
['getitem-6011ff1651518f4b8d00ca2b3551bff6', 'processing', 'memory', 'tcp://129.114.90.206:49117', 47053804279552, [('compute', 1495737623.5095289, 1495737623.5095358)]]
['getitem-5d781b11ce3be0e203c9f47b8a8d9532', 'processing', 'memory', 'tcp://129.114.90.206:49117', 47053804279552, [('compute', 1495737623.510172, 1495737623.5101807)]]
['getitem-ca4cc77d87b6fc60f4088696bc990e89', 'processing', 'memory', 'tcp://129.114.90.206:49117', 47053804279552, [('compute', 1495737623.510635, 1495737623.5106428)]]
['getitem-07964b648619cd4b08f8d001485a09b1', 'processing', 'memory', 'tcp://129.114.90.206:49117', 47053804279552, [('compute', 1495737623.5113187, 1495737623.5113258)]]
['getitem-9369e25a57eb63dd6924c277e940ec29', 'processing', 'memory', 'tcp://129.114.90.206:49117', 47053804279552, [('compute', 1495737623.5119827, 1495737623.5119898)]]
['block_rmsd-11d93bcdc548173d62d06feca457dbd6', 'processing', 'memory', 'tcp://129.114.90.154:33946', 47744891332352, [('compute', 1495737613.5182629, 1495737623.5023248)]]
['getitem-20109341c0343b41f40e4acd4fa34476', 'processing', 'memory', 'tcp://129.114.90.154:53824', 47744891332352, [('compute', 1495737623.5126748, 1495737623.512682)]]
['getitem-b663ec51cd4f9ed391c775256ce28e5b', 'processing', 'memory', 'tcp://129.114.90.154:53824', 47744891332352, [('compute', 1495737623.513409, 1495737623.513418)]]
['getitem-822805f882872863cf306e74a4029e1e', 'processing', 'memory', 'tcp://129.114.90.154:53824', 47744891332352, [('compute', 1495737623.513865, 1495737623.5138729)]]
['getitem-7c3620929f17480156a6a5660257f72d', 'processing', 'memory', 'tcp://129.114.90.154:53824', 47744891332352, [('compute', 1495737623.5144138, 1495737623.514421)]]
['getitem-dbde6990edd001f4324e8962c3adfb10', 'processing', 'memory', 'tcp://129.114.90.154:53824', 47744891332352, [('compute', 1495737623.5148928, 1495737623.5149)]]
