['getitem-55ddd08576c51d42be21a804c7155d07', 'processing', 'memory', 'tcp://129.114.90.153:33997', 47879174719232, [('compute', 1495737523.09566, 1495737523.095665)]]
['getitem-ba0a18dd7478ab85168af1601ffb4526', 'processing', 'memory', 'tcp://129.114.90.153:33997', 47879174719232, [('compute', 1495737523.096241, 1495737523.096246)]]
['getitem-cb939b9b02d6370b108b27fd4a70afa7', 'processing', 'memory', 'tcp://129.114.90.153:33997', 47879174719232, [('compute', 1495737523.096745, 1495737523.096749)]]
['getitem-501f4524cd99d1612e25235ad3fc0007', 'processing', 'memory', 'tcp://129.114.90.153:57404', 47879174719232, [('compute', 1495737523.0936322, 1495737523.0936391)]]
['getitem-e6c63968514fe1dcdc0f598421c48bdf', 'processing', 'memory', 'tcp://129.114.90.153:57404', 47879174719232, [('compute', 1495737523.0943391, 1495737523.0943472)]]
['getitem-ab6770c330d0e48f396aab090fc4f174', 'processing', 'memory', 'tcp://129.114.90.153:57404', 47879174719232, [('compute', 1495737523.094803, 1495737523.0948102)]]
['getitem-94fafeef30bb80017b97c3977d6113a0', 'processing', 'memory', 'tcp://129.114.90.153:57404', 47879174719232, [('compute', 1495737523.095262, 1495737523.0952682)]]
['getitem-a48de57e76ec30f9b8a8ef047df92341', 'processing', 'memory', 'tcp://129.114.90.153:57404', 47879174719232, [('compute', 1495737523.0958521, 1495737523.095859)]]
['getitem-88688ba794c1d6752374c1441689ffc2', 'processing', 'memory', 'tcp://129.114.90.153:59262', 47879174719232, [('compute', 1495737523.093853, 1495737523.093861)]]
['getitem-4dec77444f8151c4fb4cba7e3923101c', 'processing', 'memory', 'tcp://129.114.90.153:59262', 47879174719232, [('compute', 1495737523.094529, 1495737523.094537)]]
['getitem-d042a548822f2360e3bbd4abca0bdb21', 'processing', 'memory', 'tcp://129.114.90.153:59262', 47879174719232, [('compute', 1495737523.0949929, 1495737523.095)]]
['getitem-6f7adcafdacf1cbbf05aaeebfd9c7a5d', 'processing', 'memory', 'tcp://129.114.90.153:59262', 47879174719232, [('compute', 1495737523.09553, 1495737523.095537)]]
['getitem-85e1d3de4eea245e39640c5d28c4f858', 'processing', 'memory', 'tcp://129.114.90.153:59262', 47879174719232, [('compute', 1495737523.096024, 1495737523.096031)]]
