['getitem-35f8f50c8f15ddd00966f668358f7a2f', 'processing', 'memory', 'tcp://129.114.90.154:37880', 47744891332352, [('compute', 1495742280.044021, 1495742280.0440269)]]
['getitem-f0d7e9567642d7b73209f6b39320aef6', 'processing', 'memory', 'tcp://129.114.90.154:37880', 47744891332352, [('compute', 1495742280.044571, 1495742280.044577)]]
['getitem-a54006f5d10656004e0174d81e17bbc7', 'processing', 'memory', 'tcp://129.114.90.154:37880', 47744891332352, [('compute', 1495742280.045004, 1495742280.045009)]]
['getitem-ef95d7d0b0c13609ffe58cf2fe25ac0a', 'processing', 'memory', 'tcp://129.114.90.154:37880', 47744891332352, [('compute', 1495742280.0454779, 1495742280.0454829)]]
['getitem-f2de6aff1c6324cf0e1f881c31d828b7', 'processing', 'memory', 'tcp://129.114.90.154:37880', 47744891332352, [('compute', 1495742280.0459127, 1495742280.0459168)]]
['block_rmsd-6afaa726d754bc19c38dc2c9328f813b', 'processing', 'memory', 'tcp://129.114.90.154:33946', 47744891332352, [('compute', 1495742263.2376149, 1495742280.054449)]]
['getitem-9998d830bd966744f766d4eda16cbe2c', 'processing', 'memory', 'tcp://129.114.90.154:33946', 47744891332352, [('compute', 1495742280.0587099, 1495742280.058716)]]
['getitem-a273c2a2760603b57c397355c4489fb2', 'processing', 'memory', 'tcp://129.114.90.154:33946', 47744891332352, [('compute', 1495742280.059639, 1495742280.059647)]]
['getitem-f29d104b45a649f34bdc8ed217034e1e', 'processing', 'memory', 'tcp://129.114.90.154:33946', 47744891332352, [('compute', 1495742280.060226, 1495742280.0602329)]]
['getitem-2a692eba85c2e6850311f62b7b4d94dd', 'processing', 'memory', 'tcp://129.114.90.154:33946', 47744891332352, [('compute', 1495742280.060755, 1495742280.060762)]]
['getitem-e77addded650afbcc907a5e958bf964f', 'processing', 'memory', 'tcp://129.114.90.154:33946', 47744891332352, [('compute', 1495742280.061444, 1495742280.061454)]]
['block_rmsd-e7694e28deef60893be265fe011bf0db', 'processing', 'memory', 'tcp://129.114.90.154:47575', 47744891332352, [('compute', 1495742263.252862, 1495742280.189058)]]
['getitem-fdeaaeecb0592b49e0902ccd2be5ec77', 'processing', 'memory', 'tcp://129.114.90.154:47575', 47744891332352, [('compute', 1495742280.193311, 1495742280.193316)]]
['getitem-24ff6dd269cfd9deaa74e12af2823fb5', 'processing', 'memory', 'tcp://129.114.90.154:47575', 47744891332352, [('compute', 1495742280.193891, 1495742280.193897)]]
['getitem-6d0137925a323b9fd31ff76fb1c0aa48', 'processing', 'memory', 'tcp://129.114.90.154:47575', 47744891332352, [('compute', 1495742280.1943, 1495742280.194304)]]
['getitem-39a0c0a63f5022c5fb046031a73a1e82', 'processing', 'memory', 'tcp://129.114.90.154:47575', 47744891332352, [('compute', 1495742280.194732, 1495742280.194736)]]
['getitem-39b61ecf86ef5961f50ef5cc310481c8', 'processing', 'memory', 'tcp://129.114.90.154:47575', 47744891332352, [('compute', 1495742280.195137, 1495742280.195143)]]
['block_rmsd-9d97e7d1af011c36cb2b2fc49b63b827', 'processing', 'memory', 'tcp://129.114.90.154:56589', 47744891332352, [('compute', 1495742263.2485402, 1495742280.510682)]]
['getitem-1130194c9379dac302ed0e8dd1cf7648', 'processing', 'memory', 'tcp://129.114.90.154:56589', 47744891332352, [('compute', 1495742280.514585, 1495742280.51459)]]
['getitem-2142ef02d392cde39d983f62d8dd9b47', 'processing', 'memory', 'tcp://129.114.90.154:56589', 47744891332352, [('compute', 1495742280.5151842, 1495742280.5151901)]]
['getitem-16f35e1bd3343aa90819eea22c998e59', 'processing', 'memory', 'tcp://129.114.90.154:56589', 47744891332352, [('compute', 1495742280.515624, 1495742280.515629)]]
['getitem-3131029737bcd6016d09afdcade61fb0', 'processing', 'memory', 'tcp://129.114.90.154:56589', 47744891332352, [('compute', 1495742280.516228, 1495742280.516232)]]
['getitem-d89f8baaad47e728394627ba7b9a9c1d', 'processing', 'memory', 'tcp://129.114.90.154:56589', 47744891332352, [('compute', 1495742280.5166771, 1495742280.516681)]]
['block_rmsd-906ce19e9b385908c549a039b8d0a11c', 'processing', 'memory', 'tcp://129.114.90.154:58341', 47744891332352, [('compute', 1495742263.2297702, 1495742280.5589232)]]
['getitem-0fa51aefd67465e4f2a7bb60170936c9', 'processing', 'memory', 'tcp://129.114.90.154:58341', 47744891332352, [('compute', 1495742280.562931, 1495742280.5629373)]]
['getitem-dda9045deb405276c37e29cf8a536f5b', 'processing', 'memory', 'tcp://129.114.90.154:58341', 47744891332352, [('compute', 1495742280.5635393, 1495742280.5635452)]]
['getitem-487439f9ab16ac8081a7ea32ccdc8d80', 'processing', 'memory', 'tcp://129.114.90.154:58341', 47744891332352, [('compute', 1495742280.5639472, 1495742280.5639522)]]
['getitem-6db2e432063af545d1d981d2b2a9edad', 'processing', 'memory', 'tcp://129.114.90.154:58341', 47744891332352, [('compute', 1495742280.5644002, 1495742280.5644042)]]
['getitem-c4accb3b44f70acbcd22465ad46485cc', 'processing', 'memory', 'tcp://129.114.90.154:58341', 47744891332352, [('compute', 1495742280.5649402, 1495742280.5649452)]]
