['block_rmsd-fb5bf6350508e6ae3302de9fbe9c2c58', 'processing', 'memory', 'tcp://129.114.90.205:41648', 47267737278208, [('compute', 1495741424.36693, 1495741450.234068)]]
['getitem-066a64ef856a2a07943a15711cf997c4', 'processing', 'memory', 'tcp://129.114.90.205:41648', 47267737278208, [('compute', 1495741450.240393, 1495741450.240401)]]
['block_rmsd-8f5383e36a4f9790e27e8a546def7be6', 'processing', 'memory', 'tcp://129.114.90.205:34389', 47267737278208, [('compute', 1495741424.3661208, 1495741450.240433)]]
['getitem-2d1a845caf15abfb0e74406d441343e5', 'processing', 'memory', 'tcp://129.114.90.205:41648', 47267737278208, [('compute', 1495741450.241103, 1495741450.241112)]]
['getitem-fa3aba4e640337fe56149a4d25480530', 'processing', 'memory', 'tcp://129.114.90.205:41648', 47267737278208, [('compute', 1495741450.2415621, 1495741450.24157)]]
['getitem-59e48a6407fe470e28f5730120845693', 'processing', 'memory', 'tcp://129.114.90.205:41648', 47267737278208, [('compute', 1495741450.242144, 1495741450.242151)]]
['getitem-a86e46a8ac0e071b5cc02d6650f50a72', 'processing', 'memory', 'tcp://129.114.90.205:41648', 47267737278208, [('compute', 1495741450.242879, 1495741450.242887)]]
['getitem-94e945cab253c27477708f76f620f019', 'processing', 'memory', 'tcp://129.114.90.205:34389', 47267737278208, [('compute', 1495741450.2452128, 1495741450.245219)]]
['getitem-6390fdb3bd139d715dd9defc4ad0c574', 'processing', 'memory', 'tcp://129.114.90.205:34389', 47267737278208, [('compute', 1495741450.245796, 1495741450.245802)]]
['getitem-4d6c771d2ffe45b46dd82e23d7959eb8', 'processing', 'memory', 'tcp://129.114.90.205:34389', 47267737278208, [('compute', 1495741450.2462008, 1495741450.2462058)]]
['getitem-5dc4eceebf71607e3833ebd67a2aa18f', 'processing', 'memory', 'tcp://129.114.90.205:34389', 47267737278208, [('compute', 1495741450.246629, 1495741450.2466328)]]
['getitem-9da41f56842809c83a95e927d2b744a4', 'processing', 'memory', 'tcp://129.114.90.205:34389', 47267737278208, [('compute', 1495741450.247097, 1495741450.2471008)]]
