['getitem-1b4a4648053d5a67232df079d0473bbf', 'processing', 'memory', 'tcp://129.114.90.206:40227', 47053804279552, [('compute', 1495741731.413922, 1495741731.413926)]]
['getitem-c1943852fe17fcb1b3f9a1cbfb458865', 'processing', 'memory', 'tcp://129.114.90.206:40227', 47053804279552, [('compute', 1495741731.414537, 1495741731.414541)]]
['getitem-fe60f609f657946b542aa9647906a35a', 'processing', 'memory', 'tcp://129.114.90.206:40227', 47053804279552, [('compute', 1495741731.414998, 1495741731.415002)]]
['block_rmsd-6c7c994c732ad1431fa3a0f013debe06', 'processing', 'memory', 'tcp://129.114.90.154:46684', 47744891332352, [('compute', 1495741710.334234, 1495741731.455599)]]
['getitem-4bb8255ec540473a9ad6a7eafb999502', 'processing', 'memory', 'tcp://129.114.90.154:46684', 47744891332352, [('compute', 1495741731.459439, 1495741731.45945)]]
['getitem-9e1480a143638a0a2269873e1b704ea5', 'processing', 'memory', 'tcp://129.114.90.154:46684', 47744891332352, [('compute', 1495741731.460144, 1495741731.460152)]]
['getitem-c47d12fa9ad00b4b9ef08330446c72df', 'processing', 'memory', 'tcp://129.114.90.154:46684', 47744891332352, [('compute', 1495741731.460626, 1495741731.460634)]]
['getitem-7aa265ef95481a76d0ebb306bb0ab035', 'processing', 'memory', 'tcp://129.114.90.154:46684', 47744891332352, [('compute', 1495741731.4610689, 1495741731.461076)]]
['getitem-98b51c9a06fcc49c9cb0d639d06841dc', 'processing', 'memory', 'tcp://129.114.90.154:46684', 47744891332352, [('compute', 1495741731.46175, 1495741731.461757)]]
['block_rmsd-68f813e15d93bbad19f09ec3e91daf8e', 'processing', 'memory', 'tcp://129.114.90.154:39508', 47744891332352, [('compute', 1495741710.320473, 1495741731.6227388)]]
['getitem-f50ad8fa864dd5aca97fc0155172de1e', 'processing', 'memory', 'tcp://129.114.90.154:39508', 47744891332352, [('compute', 1495741731.627071, 1495741731.6270819)]]
['getitem-425fe1d7dc11dffc9d46fa8f82b86aea', 'processing', 'memory', 'tcp://129.114.90.154:39508', 47744891332352, [('compute', 1495741731.627734, 1495741731.6277418)]]
['getitem-4d3e1f415a8d2c749a9e4dc101a311e1', 'processing', 'memory', 'tcp://129.114.90.154:39508', 47744891332352, [('compute', 1495741731.6281898, 1495741731.628198)]]
['getitem-2abdd81d95c799cd754711e46b225fa2', 'processing', 'memory', 'tcp://129.114.90.154:39508', 47744891332352, [('compute', 1495741731.6287098, 1495741731.6287189)]]
['getitem-ca2c37d893e432c21aa960e03a6f4c6e', 'processing', 'memory', 'tcp://129.114.90.154:39508', 47744891332352, [('compute', 1495741731.62916, 1495741731.6291678)]]
['block_rmsd-2fb0204b1a0384224cf1bbc6b57dcf2c', 'processing', 'memory', 'tcp://129.114.90.205:59432', 47267737278208, [('compute', 1495741710.331561, 1495741732.268551)]]
['getitem-a5100191228ca8d6e8bb2739030d8f4f', 'processing', 'memory', 'tcp://129.114.90.205:59432', 47267737278208, [('compute', 1495741732.272619, 1495741732.272629)]]
['getitem-64b4dd95669525657069018a2e22c297', 'processing', 'memory', 'tcp://129.114.90.205:59432', 47267737278208, [('compute', 1495741732.273282, 1495741732.273289)]]
['getitem-251e0d9e95359fccb1b793bf15bf0da3', 'processing', 'memory', 'tcp://129.114.90.205:59432', 47267737278208, [('compute', 1495741732.273731, 1495741732.2737381)]]
['getitem-4d89297e2c9ce29068a9b0b288216ed2', 'processing', 'memory', 'tcp://129.114.90.205:59432', 47267737278208, [('compute', 1495741732.274193, 1495741732.2742)]]
['getitem-4f378ffcc03d85421ea94fe2b0a3b4ef', 'processing', 'memory', 'tcp://129.114.90.205:59432', 47267737278208, [('compute', 1495741732.27462, 1495741732.2746282)]]
['block_rmsd-5926d2a52d643a38b3fc460053a5648e', 'processing', 'memory', 'tcp://129.114.90.154:53824', 47744891332352, [('compute', 1495741710.3375952, 1495741732.4189541)]]
['getitem-472084b211d23ee80639e1f8a3133e3e', 'processing', 'memory', 'tcp://129.114.90.154:53824', 47744891332352, [('compute', 1495741732.4231822, 1495741732.4231932)]]
['getitem-990271c76ecc5f0337cc72263e7c5d13', 'processing', 'memory', 'tcp://129.114.90.154:53824', 47744891332352, [('compute', 1495741732.4238732, 1495741732.42388)]]
['getitem-d4e368c1b2b890fa763ddaefaf52b009', 'processing', 'memory', 'tcp://129.114.90.154:53824', 47744891332352, [('compute', 1495741732.4243202, 1495741732.424328)]]
['getitem-3ace9b1dafdefa5282e8c20c85cfdaef', 'processing', 'memory', 'tcp://129.114.90.154:53824', 47744891332352, [('compute', 1495741732.425003, 1495741732.425013)]]
['getitem-e081a0b930baa6bd49e4a2b74f2dae3e', 'processing', 'memory', 'tcp://129.114.90.154:53824', 47744891332352, [('compute', 1495741732.4256961, 1495741732.4257061)]]
['block_rmsd-448cc5b5b7690d06ebf3e20f8df4303d', 'processing', 'memory', 'tcp://129.114.90.206:43226', 47053804279552, [('compute', 1495741710.320755, 1495741732.4665282)]]
['getitem-b9de39cd248d7ca55b1ff6e8bc006d5f', 'processing', 'memory', 'tcp://129.114.90.206:43226', 47053804279552, [('compute', 1495741732.4706702, 1495741732.4706771)]]
['getitem-18fa9b546476157014b95ef97a9d5645', 'processing', 'memory', 'tcp://129.114.90.206:43226', 47053804279552, [('compute', 1495741732.4712782, 1495741732.4712832)]]
['getitem-1f5a6e24989691cab6540ea052d7f266', 'processing', 'memory', 'tcp://129.114.90.206:43226', 47053804279552, [('compute', 1495741732.471673, 1495741732.471678)]]
['getitem-7a9a2ba86c5c3eab0ae7a940110051ba', 'processing', 'memory', 'tcp://129.114.90.206:43226', 47053804279552, [('compute', 1495741732.4720242, 1495741732.472028)]]
['getitem-eb0c591d5dcf25c398aeda55bdc66f27', 'processing', 'memory', 'tcp://129.114.90.206:43226', 47053804279552, [('compute', 1495741732.472702, 1495741732.472706)]]
