['block_rmsd-af71253c4902e51f8dc5453a07806643', 'processing', 'memory', 'tcp://129.114.90.205:39452', 47267737278208, [('compute', 1495740381.481116, 1495740427.694159)]]
['getitem-276053e5047d789524c6cda0138ebdfb', 'processing', 'memory', 'tcp://129.114.90.205:39452', 47267737278208, [('compute', 1495740427.697724, 1495740427.6977332)]]
['getitem-d79ee5c39a4a7fcccf69f02d95e68fd1', 'processing', 'memory', 'tcp://129.114.90.205:39452', 47267737278208, [('compute', 1495740427.698458, 1495740427.698468)]]
['getitem-32d9dcadb7c650804a68caaf45e91b04', 'processing', 'memory', 'tcp://129.114.90.205:39452', 47267737278208, [('compute', 1495740427.698966, 1495740427.698975)]]
['getitem-21505f2326673c9003b06d2ed0283fc2', 'processing', 'memory', 'tcp://129.114.90.205:39452', 47267737278208, [('compute', 1495740427.699505, 1495740427.6995142)]]
['getitem-8859753860ee4ba0f7927a6a6b25eba7', 'processing', 'memory', 'tcp://129.114.90.205:39452', 47267737278208, [('compute', 1495740427.700079, 1495740427.700088)]]
['amax-7fb941a1-1ca6-4c33-83b8-f9a7c11b9f21', 'processing', 'memory', 'tcp://129.114.90.206:42366', 47053804279552, [('transfer', 1495740427.7107053, 1495740427.7186131), ('transfer', 1495740427.7113402, 1495740427.7188263), ('transfer', 1495740427.7084482, 1495740427.7188942), ('transfer', 1495740427.7103922, 1495740427.7189603), ('transfer', 1495740427.7116342, 1495740427.7190232), ('transfer', 1495740427.7122982, 1495740427.7190943), ('transfer', 1495740427.7128723, 1495740427.719999), ('transfer', 1495740427.7131581, 1495740427.7200923), ('transfer', 1495740427.7097142, 1495740427.7201602), ('transfer', 1495740427.7090943, 1495740427.7202213), ('transfer', 1495740427.7125902, 1495740427.7202811), ('transfer', 1495740427.7134452, 1495740427.720359), ('transfer', 1495740427.711924, 1495740427.7206943), ('transfer', 1495740427.7094193, 1495740427.7207613), ('transfer', 1495740427.711023, 1495740427.7214983), ('compute', 1495740427.7223432, 1495740427.7239351)]]
['sum-36531bc7-961a-4e9a-a949-39ebea0a74c4', 'processing', 'memory', 'tcp://129.114.90.205:51903', 47267737278208, [('transfer', 1495740427.705584, 1495740427.715315), ('transfer', 1495740427.7035391, 1495740427.715459), ('transfer', 1495740427.7101762, 1495740427.7186122), ('transfer', 1495740427.7062922, 1495740427.718683), ('transfer', 1495740427.710488, 1495740427.718744), ('transfer', 1495740427.7074032, 1495740427.7192242), ('transfer', 1495740427.7052872, 1495740427.7193081), ('transfer', 1495740427.708537, 1495740427.7214992), ('transfer', 1495740427.704391, 1495740427.721569), ('transfer', 1495740427.706602, 1495740427.7216291), ('transfer', 1495740427.708153, 1495740427.721687), ('transfer', 1495740427.7097702, 1495740427.721743), ('transfer', 1495740427.707787, 1495740427.7218902), ('transfer', 1495740427.708826, 1495740427.72195), ('transfer', 1495740427.7070062, 1495740427.7222142), ('compute', 1495740427.722866, 1495740427.7239392)]]
['truediv-43fb5124796df84790ac0506affff2a3', 'processing', 'memory', 'tcp://129.114.90.205:51903', 47267737278208, [('compute', 1495740427.7286012, 1495740427.728743)]]
['sum-5af4ab02-2579-4402-9808-bf2acc8a716c', 'processing', 'memory', 'tcp://129.114.90.206:54162', 47053804279552, [('transfer', 1495740427.71291, 1495740427.724526), ('transfer', 1495740427.713777, 1495740427.724728), ('transfer', 1495740427.712248, 1495740427.724797), ('transfer', 1495740427.713194, 1495740427.724863), ('transfer', 1495740427.708988, 1495740427.724927), ('transfer', 1495740427.713477, 1495740427.724991), ('transfer', 1495740427.711935, 1495740427.725055), ('transfer', 1495740427.710717, 1495740427.729341), ('transfer', 1495740427.711629, 1495740427.729421), ('transfer', 1495740427.714355, 1495740427.729486), ('transfer', 1495740427.711022, 1495740427.729548), ('transfer', 1495740427.714684, 1495740427.729617), ('transfer', 1495740427.714067, 1495740427.729679), ('transfer', 1495740427.71131, 1495740427.729868), ('transfer', 1495740427.712528, 1495740427.729935), ('compute', 1495740427.730598, 1495740427.73168)]]
['amax-8cfa1a8a-565b-4c30-bd88-8522002aae96', 'processing', 'memory', 'tcp://129.114.90.205:55760', 47267737278208, [('transfer', 1495740427.7075691, 1495740427.7242413), ('transfer', 1495740427.7086422, 1495740427.7244081), ('transfer', 1495740427.7094393, 1495740427.724471), ('transfer', 1495740427.7098982, 1495740427.7245312), ('transfer', 1495740427.7102883, 1495740427.7245882), ('transfer', 1495740427.71197, 1495740427.7246442), ('transfer', 1495740427.7128153, 1495740427.725552), ('transfer', 1495740427.7131922, 1495740427.725619), ('transfer', 1495740427.7135732, 1495740427.7256773), ('transfer', 1495740427.7140303, 1495740427.7257462), ('transfer', 1495740427.7061093, 1495740427.7258031), ('transfer', 1495740427.7115753, 1495740427.7259762), ('transfer', 1495740427.7106602, 1495740427.7261972), ('transfer', 1495740427.709052, 1495740427.726663), ('transfer', 1495740427.712356, 1495740427.7282941), ('compute', 1495740427.7289352, 1495740427.7300513)]]
['truediv-9546770e3fc6637efd769f54f2bb3a83', 'processing', 'memory', 'tcp://129.114.90.206:54162', 47053804279552, [('compute', 1495740427.938594, 1495740427.938778)]]
['vstack-5e35253a-826a-4a71-9b24-e95b5b0a0a0d', 'processing', 'memory', 'tcp://129.114.90.206:47759', 47053804279552, [('transfer', 1495740427.714692, 1495740427.732114), ('transfer', 1495740427.715804, 1495740427.732736), ('transfer', 1495740427.712737, 1495740427.739896), ('transfer', 1495740427.709009, 1495740427.740411), ('transfer', 1495740427.716131, 1495740427.76885), ('transfer', 1495740427.711199, 1495740427.773438), ('transfer', 1495740427.715315, 1495740427.792826), ('transfer', 1495740427.710781, 1495740427.793139), ('transfer', 1495740427.712239, 1495740427.793209), ('transfer', 1495740427.713836, 1495740427.958097), ('transfer', 1495740427.713123, 1495740427.960435), ('transfer', 1495740427.711615, 1495740428.359625), ('transfer', 1495740427.714307, 1495740428.362756), ('transfer', 1495740427.713509, 1495740429.160472), ('transfer', 1495740427.715018, 1495740429.169071), ('compute', 1495740429.169958, 1495740429.202255)]]
['tuple-bfbf93c8-d512-45c2-a439-cb91b48e8772', 'processing', 'memory', 'tcp://129.114.90.206:47759', 47053804279552, [('transfer', 1495740429.2114701, 1495740429.217349), ('transfer', 1495740429.208946, 1495740429.21749), ('transfer', 1495740429.211198, 1495740429.217642), ('transfer', 1495740429.212009, 1495740429.217748), ('transfer', 1495740429.209824, 1495740429.217823), ('transfer', 1495740429.209263, 1495740429.2178981), ('transfer', 1495740429.2128441, 1495740429.217992), ('transfer', 1495740429.210397, 1495740429.218065), ('transfer', 1495740429.212275, 1495740429.218139), ('transfer', 1495740429.209543, 1495740429.218231), ('transfer', 1495740429.210685, 1495740429.218303), ('transfer', 1495740429.211742, 1495740429.2183821), ('transfer', 1495740429.212554, 1495740429.218455), ('transfer', 1495740429.210119, 1495740429.218529), ('transfer', 1495740429.213111, 1495740429.218896), ('compute', 1495740429.22005, 1495740429.220139)]]
