['getitem-a3e37507adfa6b15a542aab0ebfe4630', 'processing', 'memory', 'tcp://129.114.90.205:55760', 47267737278208, [('compute', 1495741312.089734, 1495741312.089827)]]
['getitem-09ed980af8416a22d565d18bf55d1fa6', 'processing', 'memory', 'tcp://129.114.90.205:55760', 47267737278208, [('compute', 1495741312.090496, 1495741312.090605)]]
['getitem-d2221b0ec3f501417f6b7e65b744e55a', 'processing', 'memory', 'tcp://129.114.90.205:55760', 47267737278208, [('compute', 1495741312.091024, 1495741312.091065)]]
['getitem-47e3303d3d874d11ff4e25667d265617', 'processing', 'memory', 'tcp://129.114.90.205:55760', 47267737278208, [('compute', 1495741312.0914881, 1495741312.0914931)]]
['getitem-e24903b796b3e0ab9544fa95bf38e63b', 'processing', 'memory', 'tcp://129.114.90.205:55760', 47267737278208, [('compute', 1495741312.09207, 1495741312.0920742)]]
['block_rmsd-e7686b0c794759888aaf24d47c8d73b6', 'processing', 'memory', 'tcp://129.114.90.205:54201', 47267737278208, [('compute', 1495741286.9573348, 1495741312.1093848)]]
['getitem-9d063da829a878d0e6953e82e149e39c', 'processing', 'memory', 'tcp://129.114.90.205:54201', 47267737278208, [('compute', 1495741312.1135678, 1495741312.1135728)]]
['getitem-3895f7bc5ee51ecd0ad121fbc3e1afca', 'processing', 'memory', 'tcp://129.114.90.205:54201', 47267737278208, [('compute', 1495741312.1141617, 1495741312.1141677)]]
['getitem-04d48a65b0175c537123103975ac4294', 'processing', 'memory', 'tcp://129.114.90.205:54201', 47267737278208, [('compute', 1495741312.1145627, 1495741312.1145678)]]
['getitem-301531d8d0af8c95128b30fb4db9a652', 'processing', 'memory', 'tcp://129.114.90.205:54201', 47267737278208, [('compute', 1495741312.1149898, 1495741312.1149948)]]
['getitem-c4d1575f1a0593d1c3790fbac6741759', 'processing', 'memory', 'tcp://129.114.90.205:54201', 47267737278208, [('compute', 1495741312.1154199, 1495741312.115424)]]
['block_rmsd-168a3d8e9a097eca80c937a0e6741513', 'processing', 'memory', 'tcp://129.114.90.154:53988', 47744891332352, [('compute', 1495741286.9643068, 1495741312.126299)]]
['getitem-0d849e2bc4146fffeb0ca0d429737e09', 'processing', 'memory', 'tcp://129.114.90.154:53988', 47744891332352, [('compute', 1495741312.132567, 1495741312.132576)]]
['block_rmsd-cc660a5846d0ec45660a8caf64f73eac', 'processing', 'memory', 'tcp://129.114.90.154:50140', 47744891332352, [('compute', 1495741286.952894, 1495741312.1233711)]]
['getitem-2292d5803994ace6a639c64fef543b0a', 'processing', 'memory', 'tcp://129.114.90.154:53988', 47744891332352, [('compute', 1495741312.1333618, 1495741312.1333709)]]
['getitem-3cf4a32713a77c6397c41b3d54fc9b75', 'processing', 'memory', 'tcp://129.114.90.154:53988', 47744891332352, [('compute', 1495741312.1338198, 1495741312.133827)]]
['getitem-16b7d9fd4c6e59290e938f8795e11639', 'processing', 'memory', 'tcp://129.114.90.154:53988', 47744891332352, [('compute', 1495741312.1343188, 1495741312.134326)]]
['getitem-e3ca13c79ae8917c88aec5d5cf113820', 'processing', 'memory', 'tcp://129.114.90.154:53988', 47744891332352, [('compute', 1495741312.1349368, 1495741312.134944)]]
['getitem-c22b6ab998e7b713039fdc73633013b0', 'processing', 'memory', 'tcp://129.114.90.154:50140', 47744891332352, [('compute', 1495741312.1277092, 1495741312.127715)]]
['getitem-6d3f982f1d836246db92958f8c45751a', 'processing', 'memory', 'tcp://129.114.90.154:50140', 47744891332352, [('compute', 1495741312.128263, 1495741312.1282701)]]
['getitem-6886815d44c9f83304376276f7bc6196', 'processing', 'memory', 'tcp://129.114.90.154:50140', 47744891332352, [('compute', 1495741312.128734, 1495741312.128739)]]
['getitem-4988ce6c70d216b577630be1e3be2d3c', 'processing', 'memory', 'tcp://129.114.90.154:50140', 47744891332352, [('compute', 1495741312.1291611, 1495741312.129165)]]
['getitem-5b37d4a0cda71bcbff1cdd7e2ccec133', 'processing', 'memory', 'tcp://129.114.90.154:50140', 47744891332352, [('compute', 1495741312.129568, 1495741312.1295722)]]
['block_rmsd-ef97cc8571aa44f17ae2cd03e7d129d8', 'processing', 'memory', 'tcp://129.114.90.205:37510', 47267737278208, [('compute', 1495741286.957556, 1495741312.129828)]]
['getitem-24c16cfa189b02fb48d815a51d1a967a', 'processing', 'memory', 'tcp://129.114.90.205:37510', 47267737278208, [('compute', 1495741312.1370828, 1495741312.1370928)]]
['getitem-6f2505ad0a7fcb9d542aa67e9b5d41a8', 'processing', 'memory', 'tcp://129.114.90.205:37510', 47267737278208, [('compute', 1495741312.137781, 1495741312.1377928)]]
['getitem-e187399f19c3026d6621fb99d53e1f46', 'processing', 'memory', 'tcp://129.114.90.205:37510', 47267737278208, [('compute', 1495741312.1382499, 1495741312.138258)]]
['getitem-22470fdb5473743a55f8df8a981a5bac', 'processing', 'memory', 'tcp://129.114.90.205:37510', 47267737278208, [('compute', 1495741312.138733, 1495741312.1387408)]]
['getitem-cb51e925beea527238beaade6c658b39', 'processing', 'memory', 'tcp://129.114.90.205:37510', 47267737278208, [('compute', 1495741312.139247, 1495741312.1392539)]]
['block_rmsd-9abc371f0fd63f4610ad973862c848ac', 'processing', 'memory', 'tcp://129.114.90.206:52451', 47053804279552, [('compute', 1495741286.952747, 1495741312.154155)]]
['block_rmsd-4fb074762fb96e41b01ebcd20d57d7d6', 'processing', 'memory', 'tcp://129.114.90.206:42366', 47053804279552, [('compute', 1495741286.950184, 1495741312.1563253)]]
['getitem-83831df20474c8ebb799f761a92afaf3', 'processing', 'memory', 'tcp://129.114.90.206:52451', 47053804279552, [('compute', 1495741312.15814, 1495741312.158149)]]
['getitem-f99f733413e3bfcde46e490517175cdf', 'processing', 'memory', 'tcp://129.114.90.206:52451', 47053804279552, [('compute', 1495741312.158812, 1495741312.158822)]]
['getitem-8088a9b2b4ee310b56b7be0888cb287b', 'processing', 'memory', 'tcp://129.114.90.206:52451', 47053804279552, [('compute', 1495741312.1592991, 1495741312.159305)]]
['getitem-6b5718ad1ee20e5c1c25b93589b13c52', 'processing', 'memory', 'tcp://129.114.90.206:52451', 47053804279552, [('compute', 1495741312.159826, 1495741312.159833)]]
['getitem-93c893cc264c66afd75c33dde654d170', 'processing', 'memory', 'tcp://129.114.90.206:52451', 47053804279552, [('compute', 1495741312.16036, 1495741312.160367)]]
['getitem-932bb07b79a13d232b0e9f87aec14be9', 'processing', 'memory', 'tcp://129.114.90.206:42366', 47053804279552, [('compute', 1495741312.1601682, 1495741312.1601741)]]
['getitem-299eb116bcbe1d489c0a936434980edf', 'processing', 'memory', 'tcp://129.114.90.206:42366', 47053804279552, [('compute', 1495741312.1607702, 1495741312.1607761)]]
['getitem-117423ee929864fb5a65ee4510ff71c5', 'processing', 'memory', 'tcp://129.114.90.206:42366', 47053804279552, [('compute', 1495741312.1611683, 1495741312.161173)]]
['getitem-845354fad324af5d9edbfb143611bc9e', 'processing', 'memory', 'tcp://129.114.90.206:42366', 47053804279552, [('compute', 1495741312.1616743, 1495741312.1616793)]]
['getitem-faacf07cda822dc67741de840ffbd2c2', 'processing', 'memory', 'tcp://129.114.90.206:42366', 47053804279552, [('compute', 1495741312.1621072, 1495741312.1621113)]]
['block_rmsd-323eefc466af6402a3cc162ccd902c1c', 'processing', 'memory', 'tcp://129.114.90.205:60029', 47267737278208, [('compute', 1495741286.9591198, 1495741312.1649609)]]
['block_rmsd-6c22d21c60d47a5d7ce237e1efc4652b', 'processing', 'memory', 'tcp://129.114.90.205:34389', 47267737278208, [('compute', 1495741286.9594781, 1495741312.17116)]]
['getitem-db7cf885f9dcd35770adaa2ea1102408', 'processing', 'memory', 'tcp://129.114.90.205:60029', 47267737278208, [('compute', 1495741312.17271, 1495741312.172716)]]
['getitem-284f8444cbf7d86ed28aa2edea69b2fa', 'processing', 'memory', 'tcp://129.114.90.205:60029', 47267737278208, [('compute', 1495741312.1732998, 1495741312.173306)]]
['getitem-c9de97db85b02c4b11c3307571850f94', 'processing', 'memory', 'tcp://129.114.90.205:60029', 47267737278208, [('compute', 1495741312.1736958, 1495741312.1737008)]]
['getitem-13c81ee8cb50cf5915adeec48b05bc28', 'processing', 'memory', 'tcp://129.114.90.205:60029', 47267737278208, [('compute', 1495741312.174176, 1495741312.174181)]]
['getitem-35f8990dafc60dd4fc442ac9c4932710', 'processing', 'memory', 'tcp://129.114.90.205:60029', 47267737278208, [('compute', 1495741312.1746318, 1495741312.174636)]]
['getitem-4dabe69b3c29d81d9bb224d7a0963ae6', 'processing', 'memory', 'tcp://129.114.90.205:34389', 47267737278208, [('compute', 1495741312.1753771, 1495741312.1753821)]]
['getitem-a1db5fc02651a939ed1ee5d5fddf37fb', 'processing', 'memory', 'tcp://129.114.90.205:34389', 47267737278208, [('compute', 1495741312.1759472, 1495741312.1759531)]]
['getitem-abcd2e94be447273b609366ffca2ed6f', 'processing', 'memory', 'tcp://129.114.90.205:34389', 47267737278208, [('compute', 1495741312.176341, 1495741312.176346)]]
['getitem-8b6c70c9db8c18b8805e5b0598eb7f1e', 'processing', 'memory', 'tcp://129.114.90.205:34389', 47267737278208, [('compute', 1495741312.1768022, 1495741312.176806)]]
['getitem-bf71700a51b89f607a60bd08a82fc745', 'processing', 'memory', 'tcp://129.114.90.205:34389', 47267737278208, [('compute', 1495741312.177171, 1495741312.177175)]]
['block_rmsd-a40b78beda606ef082b46399fea40d6a', 'processing', 'memory', 'tcp://129.114.90.205:43919', 47267737278208, [('compute', 1495741286.95691, 1495741312.1823788)]]
['getitem-1d16c4e8716d0091d9670ce2032bf3a6', 'processing', 'memory', 'tcp://129.114.90.205:43919', 47267737278208, [('compute', 1495741312.186719, 1495741312.186724)]]
['getitem-f042a69f83c2851db7d34edb43658706', 'processing', 'memory', 'tcp://129.114.90.205:43919', 47267737278208, [('compute', 1495741312.1871908, 1495741312.187198)]]
['getitem-05e44c944b7cf5882f6586c4fe300328', 'processing', 'memory', 'tcp://129.114.90.205:43919', 47267737278208, [('compute', 1495741312.187635, 1495741312.1876388)]]
['getitem-4ac031525a6f6ad5a58c5a53fa1310f6', 'processing', 'memory', 'tcp://129.114.90.205:43919', 47267737278208, [('compute', 1495741312.188207, 1495741312.188211)]]
['getitem-cd10c1130c54a39f853717189d27c343', 'processing', 'memory', 'tcp://129.114.90.205:43919', 47267737278208, [('compute', 1495741312.188674, 1495741312.1886778)]]
['block_rmsd-082c422cce5b0c3147819da853cf8a42', 'processing', 'memory', 'tcp://129.114.90.205:59432', 47267737278208, [('compute', 1495741286.960388, 1495741312.203255)]]
['getitem-0c4c4908155f21772aae2e778d87c7ea', 'processing', 'memory', 'tcp://129.114.90.205:59432', 47267737278208, [('compute', 1495741312.207809, 1495741312.2078137)]]
['getitem-7d081c3883f21d1c00354bf8cec6d732', 'processing', 'memory', 'tcp://129.114.90.205:59432', 47267737278208, [('compute', 1495741312.208392, 1495741312.2083979)]]
['getitem-bc5cb17df6000d635b028de59042157a', 'processing', 'memory', 'tcp://129.114.90.205:59432', 47267737278208, [('compute', 1495741312.2087898, 1495741312.2087948)]]
['getitem-279ae293d990b51d4c1e2f74837c1c55', 'processing', 'memory', 'tcp://129.114.90.205:59432', 47267737278208, [('compute', 1495741312.209189, 1495741312.2091928)]]
['getitem-8d4dc9cf661b8fdda5ae2bdd87d19d95', 'processing', 'memory', 'tcp://129.114.90.205:59432', 47267737278208, [('compute', 1495741312.2095668, 1495741312.209571)]]
['block_rmsd-c49e3d4f49e5d2d54c076a832d508741', 'processing', 'memory', 'tcp://129.114.90.154:34496', 47744891332352, [('compute', 1495741286.9561932, 1495741312.2125552)]]
['getitem-3762fd4448e41adf4a64928bffecda1f', 'processing', 'memory', 'tcp://129.114.90.154:34496', 47744891332352, [('compute', 1495741312.217618, 1495741312.217623)]]
['getitem-2df0843adc89aa8878854467fa148234', 'processing', 'memory', 'tcp://129.114.90.154:34496', 47744891332352, [('compute', 1495741312.218208, 1495741312.218214)]]
['getitem-dd7de7cf6f1e0e6a2d5a1ca3983fcf80', 'processing', 'memory', 'tcp://129.114.90.154:34496', 47744891332352, [('compute', 1495741312.2186081, 1495741312.2186122)]]
['getitem-c13a98c4ccd4fabdbf38ea2b99226278', 'processing', 'memory', 'tcp://129.114.90.154:34496', 47744891332352, [('compute', 1495741312.219186, 1495741312.2191901)]]
['getitem-f1aacf07defa2c4ec90cd88c9f164223', 'processing', 'memory', 'tcp://129.114.90.154:34496', 47744891332352, [('compute', 1495741312.219685, 1495741312.2196891)]]
