t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1508428984,5397,6.172667,0.159859,0.000667,0.482539,0.003540,0.233781,0.309149,0.394843,3.138383,6.172667,7.817863,7.939953,7.439894,5.693115,calls/second,milliseconds
1508428994,5409,6.172667,0.164031,0.000667,0.476444,0.005972,0.245001,0.310918,0.394843,3.138383,6.172667,7.723345,6.864945,7.225737,5.640181,calls/second,milliseconds
1508429004,5740,9.477726,0.179723,0.000667,0.593639,0.082174,0.248504,0.303935,0.376810,3.280718,9.477726,8.080628,10.236790,7.914857,5.888890,calls/second,milliseconds
1508429014,5740,9.477726,0.179723,0.000667,0.593639,0.082174,0.248504,0.303935,0.376810,3.280718,9.477726,7.968439,9.445020,7.827684,5.882220,calls/second,milliseconds
1508429024,5753,9.477726,0.181125,0.000667,0.586604,0.094175,0.247850,0.303439,0.376810,3.280718,9.477726,7.877101,8.138957,7.600814,5.827196,calls/second,milliseconds
1508429034,5837,9.477726,0.175226,0.000667,0.584586,0.079829,0.232293,0.303439,0.396659,3.280718,9.477726,7.884182,8.253225,7.640674,5.860106,calls/second,milliseconds
1508429044,5886,9.477726,0.176525,0.000667,0.694127,0.004092,0.221726,0.300971,0.446852,3.334114,9.477726,7.844443,7.769769,7.552163,5.849648,calls/second,milliseconds
1508429054,5916,9.477726,0.182706,0.000667,0.667517,0.008720,0.243797,0.309149,0.376810,3.280718,9.477726,7.780688,7.039431,7.400384,5.817138,calls/second,milliseconds
1508429064,6171,9.477726,0.172973,0.000667,0.559463,0.114945,0.233052,0.300183,0.336687,3.260061,8.742646,8.010698,9.349604,7.887458,5.999111,calls/second,milliseconds
1508429074,6229,9.477726,0.175685,0.000667,0.578264,0.090400,0.229691,0.303439,0.446852,3.260061,8.742646,7.982370,9.253110,7.924724,6.033095,calls/second,milliseconds
1508429084,6240,9.477726,0.179303,0.000667,0.572933,0.098753,0.235292,0.311229,0.401381,3.260061,8.742646,7.895284,7.959238,7.691312,5.975290,calls/second,milliseconds
1508429094,6326,9.477726,0.182602,0.000667,0.611539,0.089754,0.232965,0.310335,0.449375,3.274603,8.742646,7.904087,8.119645,7.731620,6.007683,calls/second,milliseconds
1508429104,6375,8.742646,0.161506,0.000624,0.544498,0.004383,0.225137,0.303935,0.401381,3.148769,6.531533,7.867023,7.656696,7.640127,5.995594,calls/second,milliseconds
1508429114,6404,8.742646,0.169752,0.000624,0.526977,0.013000,0.239324,0.306845,0.396068,3.148769,6.531533,7.806486,6.927726,7.482160,5.960364,calls/second,milliseconds
1508429124,6718,9.751365,0.167873,0.000311,0.589145,0.068832,0.228725,0.299521,0.396068,3.057677,9.751365,8.090615,10.819566,8.274667,6.243141,calls/second,milliseconds
1508429134,6718,9.751365,0.167873,0.000311,0.589145,0.068832,0.228725,0.299521,0.396068,3.057677,9.751365,7.994344,9.158565,8.003391,6.174157,calls/second,milliseconds
1508429144,6815,9.751365,0.165406,0.000220,0.558667,0.065143,0.239812,0.301574,0.390889,3.057677,9.751365,8.014376,9.280682,8.060679,6.213303,calls/second,milliseconds
1508429154,6815,9.751365,0.165406,0.000220,0.558667,0.065143,0.239812,0.301574,0.390889,3.057677,9.751365,7.921271,7.855927,7.796418,6.144649,calls/second,milliseconds
1508429164,6911,9.751365,0.163372,0.000220,0.497013,0.066074,0.253246,0.303300,0.380230,3.057140,9.751365,7.940533,8.126844,7.847815,6.179750,calls/second,milliseconds
1508429174,7208,9.751365,0.160371,0.000220,0.481871,0.075281,0.242171,0.305733,0.389274,3.057140,8.742646,8.187734,11.294265,8.565909,6.442040,calls/second,milliseconds
1508429184,7308,9.751365,0.162068,0.000154,0.474612,0.087972,0.249087,0.303300,0.389274,3.053984,4.407194,8.208054,10.972793,8.597188,6.476640,calls/second,milliseconds
1508429194,7448,9.751365,0.161240,0.000154,0.473566,0.087476,0.242996,0.302400,0.380230,3.053984,4.537591,8.272381,11.406874,8.783493,6.563748,calls/second,milliseconds
1508429204,7448,9.751365,0.161240,0.000154,0.473566,0.087476,0.242996,0.302400,0.380230,3.053984,4.537591,8.181473,9.655710,8.495536,6.491221,calls/second,milliseconds
1508429214,7448,9.751365,0.161240,0.000154,0.473566,0.087476,0.242996,0.302400,0.380230,3.053984,4.537591,8.092610,8.173382,8.217019,6.419495,calls/second,milliseconds
1508429224,7613,9.751365,0.158055,0.000154,0.457813,0.068943,0.241250,0.308799,0.361086,3.053984,4.537591,8.182998,8.421784,8.258370,6.452717,calls/second,milliseconds
1508429234,7830,9.751365,0.163304,0.000154,0.427952,0.097551,0.249500,0.310089,0.371680,2.649916,4.537591,8.326725,11.326372,8.896015,6.688259,calls/second,milliseconds
1508429244,7937,5.029681,0.153832,0.000154,0.405845,0.080138,0.239248,0.308013,0.391983,2.649916,5.029681,8.351694,11.308934,8.984744,6.743278,calls/second,milliseconds
1508429254,7937,5.029681,0.153832,0.000154,0.405845,0.080138,0.239248,0.308013,0.391983,2.649916,5.029681,8.264727,9.572806,8.690190,6.668767,calls/second,milliseconds
1508429264,7937,5.029681,0.153832,0.000154,0.405845,0.080138,0.239248,0.308013,0.391983,2.649916,5.029681,8.179560,8.103205,8.405291,6.595080,calls/second,milliseconds
