BatchTime, SubmissionTime, SchedulingDelay, ProcessingDelay, TotalDelay, NumberRecords, Scenario
1529238300000 ms, 2018-06-17T07:25:00, 65772, 60764, 126536, 24,light-sirt-8-4-1-100
1529238360000 ms, 2018-06-17T07:26:00, 66532, 60623, 127155, 24,light-sirt-8-4-1-100
1529238600000 ms, 2018-06-17T07:30:00, 4, 120084, 120088, 48,light-sirt-8-4-2-100
1529238660000 ms, 2018-06-17T07:31:00, 60146, 60527, 120673, 24,light-sirt-8-4-2-100
1529238720000 ms, 2018-06-17T07:32:00, 60674, 61151, 121825, 24,light-sirt-8-4-2-100
1529238780000 ms, 2018-06-17T07:33:00, 61823, 118013, 179836, 48,light-sirt-8-4-2-100
1529239080000 ms, 2018-06-17T07:38:00, 4, 123940, 123944, 48,light-sirt-8-4-4-100
1529239140000 ms, 2018-06-17T07:39:00, 64000, 61531, 125531, 24,light-sirt-8-4-4-100
1529239200000 ms, 2018-06-17T07:40:00, 65534, 62444, 127978, 24,light-sirt-8-4-4-100
1529239260000 ms, 2018-06-17T07:41:00, 67975, 121226, 189201, 48,light-sirt-8-4-4-100
1529239560000 ms, 2018-06-17T07:46:00, 4, 63155, 63159, 24,light-sirt-8-4-8-100
1529239620000 ms, 2018-06-17T07:47:00, 3218, 119040, 122258, 48,light-sirt-8-4-8-100
1529239680000 ms, 2018-06-17T07:48:00, 62258, 62702, 124960, 24,light-sirt-8-4-8-100
1529239740000 ms, 2018-06-17T07:49:00, 64961, 62063, 127024, 24,light-sirt-8-4-8-100
1529269860000 ms, 2018-06-17T16:11:00, 4, 121688, 121692, 48,light-sirt-16-1-1-100
1529269920000 ms, 2018-06-17T16:12:00, 61744, 120037, 181781, 48,light-sirt-16-1-1-100
1529269980000 ms, 2018-06-17T16:13:00, 121783, 60789, 182572, 24,light-sirt-16-1-1-100
1529270040000 ms, 2018-06-17T16:14:00, 122574, 87821, 210395, 35,light-sirt-16-1-1-100
1529270100000 ms, 2018-06-17T16:15:00, 150393, 92669, 243062, 37,light-sirt-16-1-1-100
1529270160000 ms, 2018-06-17T16:16:00, 183065, 60688, 243753, 24,light-sirt-16-1-1-100
1529270460000 ms, 2018-06-17T16:21:00, 5, 62157, 62162, 24,light-sirt-16-1-2-100
1529270520000 ms, 2018-06-17T16:22:00, 2220, 119051, 121271, 48,light-sirt-16-1-2-100
1529270580000 ms, 2018-06-17T16:23:00, 61273, 60334, 121607, 24,light-sirt-16-1-2-100
1529270640000 ms, 2018-06-17T16:24:00, 61609, 120725, 182334, 48,light-sirt-16-1-2-100
1529270700000 ms, 2018-06-17T16:25:00, 122332, 60217, 182549, 24,light-sirt-16-1-2-100
1529270760000 ms, 2018-06-17T16:26:00, 122551, 120459, 243010, 48,light-sirt-16-1-2-100
1529271120000 ms, 2018-06-17T16:32:00, 4, 121974, 121978, 48,light-sirt-16-1-4-100
1529271180000 ms, 2018-06-17T16:33:00, 62030, 62514, 124544, 24,light-sirt-16-1-4-100
1529271240000 ms, 2018-06-17T16:34:00, 64546, 118763, 183309, 48,light-sirt-16-1-4-100
1529271300000 ms, 2018-06-17T16:35:00, 123309, 62686, 185995, 24,light-sirt-16-1-4-100
1529271360000 ms, 2018-06-17T16:36:00, 125997, 118675, 244672, 48,light-sirt-16-1-4-100
1529271420000 ms, 2018-06-17T16:37:00, 184673, 60408, 245081, 24,light-sirt-16-1-4-100
1529271720000 ms, 2018-06-17T16:42:00, 3, 62968, 62971, 24,light-sirt-16-1-8-100
1529271780000 ms, 2018-06-17T16:43:00, 3021, 62823, 65844, 24,light-sirt-16-1-8-100
1529271840000 ms, 2018-06-17T16:44:00, 5846, 122636, 128482, 48,light-sirt-16-1-8-100
1529271900000 ms, 2018-06-17T16:45:00, 68483, 62632, 131115, 24,light-sirt-16-1-8-100
1529271960000 ms, 2018-06-17T16:46:00, 71117, 123333, 194450, 48,light-sirt-16-1-8-100
1529272020000 ms, 2018-06-17T16:47:00, 134450, 62911, 197361, 24,light-sirt-16-1-8-100
1529272620000 ms, 2018-06-17T16:57:00, 4, 62767, 62771, 24,light-sirt-16-1-16-100
1529272680000 ms, 2018-06-17T16:58:00, 2821, 121851, 124672, 48,light-sirt-16-1-16-100
1529272740000 ms, 2018-06-17T16:59:00, 64673, 62402, 127075, 24,light-sirt-16-1-16-100
1529272800000 ms, 2018-06-17T17:00:00, 67078, 122232, 189310, 48,light-sirt-16-1-16-100
1529272860000 ms, 2018-06-17T17:01:00, 129309, 62192, 191501, 24,light-sirt-16-1-16-100
1529273340000 ms, 2018-06-17T17:09:00, 4, 62820, 62824, 24,light-sirt-16-2-1-100
1529273400000 ms, 2018-06-17T17:10:00, 2875, 60772, 63647, 24,light-sirt-16-2-1-100
1529273460000 ms, 2018-06-17T17:11:00, 3648, 119433, 123081, 48,light-sirt-16-2-1-100
1529273520000 ms, 2018-06-17T17:12:00, 63082, 61406, 124488, 24,light-sirt-16-2-1-100
1529273580000 ms, 2018-06-17T17:13:00, 64493, 119407, 183900, 48,light-sirt-16-2-1-100
1529274000000 ms, 2018-06-17T17:20:00, 4, 62460, 62464, 24,light-sirt-16-2-2-100
1529274060000 ms, 2018-06-17T17:21:00, 2519, 120994, 123513, 48,light-sirt-16-2-2-100
1529274120000 ms, 2018-06-17T17:22:00, 63514, 60484, 123998, 24,light-sirt-16-2-2-100
1529274180000 ms, 2018-06-17T17:23:00, 63997, 119650, 183647, 48,light-sirt-16-2-2-100
1529274240000 ms, 2018-06-17T17:24:00, 123650, 60698, 184348, 24,light-sirt-16-2-2-100
1529274300000 ms, 2018-06-17T17:25:00, 124348, 119014, 243362, 48,light-sirt-16-2-2-100
1529274660000 ms, 2018-06-17T17:31:00, 4, 122058, 122062, 48,light-sirt-16-2-4-100
1529274720000 ms, 2018-06-17T17:32:00, 62116, 60429, 122545, 24,light-sirt-16-2-4-100
1529274780000 ms, 2018-06-17T17:33:00, 62547, 121496, 184043, 48,light-sirt-16-2-4-100
1529274840000 ms, 2018-06-17T17:34:00, 124043, 60754, 184797, 24,light-sirt-16-2-4-100
1529274900000 ms, 2018-06-17T17:35:00, 124801, 119067, 243868, 48,light-sirt-16-2-4-100
1529274960000 ms, 2018-06-17T17:36:00, 183864, 60728, 244592, 24,light-sirt-16-2-4-100
1529275260000 ms, 2018-06-17T17:41:00, 4, 63167, 63171, 24,light-sirt-16-2-8-100
1529275320000 ms, 2018-06-17T17:42:00, 3220, 62689, 65909, 24,light-sirt-16-2-8-100
1529275380000 ms, 2018-06-17T17:43:00, 5912, 121529, 127441, 48,light-sirt-16-2-8-100
1529275440000 ms, 2018-06-17T17:44:00, 67442, 60489, 127931, 24,light-sirt-16-2-8-100
1529275500000 ms, 2018-06-17T17:45:00, 67933, 121456, 189389, 48,light-sirt-16-2-8-100
1529275560000 ms, 2018-06-17T17:46:00, 129389, 60786, 190175, 24,light-sirt-16-2-8-100
1529281920000 ms, 2018-06-17T19:32:00, 5, 121514, 121519, 48,light-sirt-16-4-1-100
1529281980000 ms, 2018-06-17T19:33:00, 61573, 119643, 181216, 48,light-sirt-16-4-1-100
1529282040000 ms, 2018-06-17T19:34:00, 121226, 60277, 181503, 24,light-sirt-16-4-1-100
1529282100000 ms, 2018-06-17T19:35:00, 121505, 118956, 240461, 48,light-sirt-16-4-1-100
1529282160000 ms, 2018-06-17T19:36:00, 180462, 60757, 241219, 24,light-sirt-16-4-1-100
1529282520000 ms, 2018-06-17T19:42:00, 5, 62810, 62815, 24,light-sirt-16-4-2-100
1529282580000 ms, 2018-06-17T19:43:00, 2874, 120916, 123790, 48,light-sirt-16-4-2-100
1529282640000 ms, 2018-06-17T19:44:00, 63788, 60238, 124026, 24,light-sirt-16-4-2-100
1529282700000 ms, 2018-06-17T19:45:00, 64027, 120348, 184375, 48,light-sirt-16-4-2-100
1529282760000 ms, 2018-06-17T19:46:00, 124378, 60495, 184873, 24,light-sirt-16-4-2-100
1529282820000 ms, 2018-06-17T19:47:00, 124871, 119852, 244723, 48,light-sirt-16-4-2-100
1529283180000 ms, 2018-06-17T19:53:00, 4, 120807, 120811, 48,light-sirt-16-4-4-100
1529283240000 ms, 2018-06-17T19:54:00, 60865, 62282, 123147, 24,light-sirt-16-4-4-100
1529283300000 ms, 2018-06-17T19:55:00, 63148, 120215, 183363, 48,light-sirt-16-4-4-100
1529283360000 ms, 2018-06-17T19:56:00, 123362, 62874, 186236, 24,light-sirt-16-4-4-100
1529283420000 ms, 2018-06-17T19:57:00, 126236, 120966, 247202, 48,light-sirt-16-4-4-100
1529283480000 ms, 2018-06-17T19:58:00, 187208, 60515, 247723, 24,light-sirt-16-4-4-100
1529283780000 ms, 2018-06-17T20:03:00, 5, 63224, 63229, 24,light-sirt-16-4-8-100
1529283840000 ms, 2018-06-17T20:04:00, 3283, 62327, 65610, 24,light-sirt-16-4-8-100
1529283900000 ms, 2018-06-17T20:05:00, 5610, 120844, 126454, 48,light-sirt-16-4-8-100
1529283960000 ms, 2018-06-17T20:06:00, 66456, 62975, 129431, 24,light-sirt-16-4-8-100
1529284020000 ms, 2018-06-17T20:07:00, 69432, 121779, 191211, 48,light-sirt-16-4-8-100
1529284080000 ms, 2018-06-17T20:08:00, 131209, 62107, 193316, 24,light-sirt-16-4-8-100
1529286420000 ms, 2018-06-17T20:47:00, 4, 61167, 61171, 24,light-sirt-16-2-16-100
1529286480000 ms, 2018-06-17T20:48:00, 1217, 59149, 60366, 24,light-sirt-16-2-16-100
1529286540000 ms, 2018-06-17T20:49:00, 374, 121760, 122134, 48,light-sirt-16-2-16-100
1529286600000 ms, 2018-06-17T20:50:00, 62135, 62651, 124786, 24,light-sirt-16-2-16-100
1529286660000 ms, 2018-06-17T20:51:00, 64787, 122629, 187416, 48,light-sirt-16-2-16-100
1529286720000 ms, 2018-06-17T20:52:00, 127411, 60871, 188282, 24,light-sirt-16-2-16-100
1529287200000 ms, 2018-06-17T21:00:00, 4, 120752, 120756, 48,light-sirt-8-4-16-100
1529287260000 ms, 2018-06-17T21:01:00, 60814, 62732, 123546, 24,light-sirt-8-4-16-100
1529287320000 ms, 2018-06-17T21:02:00, 63542, 119702, 183244, 48,light-sirt-8-4-16-100
1529287380000 ms, 2018-06-17T21:03:00, 123250, 61023, 184273, 24,light-sirt-8-4-16-100
1529287440000 ms, 2018-06-17T21:04:00, 124278, 120174, 244452, 48,light-sirt-8-4-16-100
1529287500000 ms, 2018-06-17T21:05:00, 184454, 60614, 245068, 24,light-sirt-8-4-16-100
