Executable,Number_Messages,Nodes,TTC,Throughput,System,parallel_tasks,Partitions,Dask-Config,Dask_Nodes
PeakFinder,500,1.0,40.6041650772,12.3140076652,Wrangler,5,24,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,35.334692955,14.1503988909,Wrangler,6,24,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,35.2122039795,14.1996223892,Wrangler,7,24,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,33.1965579987,15.0618024923,Wrangler,8,24,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,32.1324160099,15.5606101902,Wrangler,9,24,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,31.8883960247,15.6796848488,Wrangler,10,24,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,32.2843680382,15.4873714551,Wrangler,11,24,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,45.2632842064,11.0464808015,Wrangler,12,24,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,39.9504041672,12.5155179384,Wrangler,13,24,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,34.0379621983,14.6894810297,Wrangler,14,24,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,48.5189869404,10.3052440195,Wrangler,15,24,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,43.9322710037,11.3811553233,Wrangler,16,24,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,29.4889400005,16.9555094212,Wrangler,17,24,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,52.5339810848,9.51764914204,Wrangler,18,24,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,33.9929871559,14.7089162158,Wrangler,19,24,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,33.2434909344,15.0405383414,Wrangler,20,24,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,76.6731991768,6.52118348221,Wrangler,21,24,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,43.2054300308,11.5726194518,Wrangler,22,24,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,62.9674429893,7.9406114694,Wrangler,23,24,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,47.2614340782,10.5794504494,Wrangler,24,24,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,96.4444720745,5.18433031199,Wrangler,1,12,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,56.9366629124,8.78168783389,Wrangler,2,12,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,46.7116520405,10.7039673863,Wrangler,3,12,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,40.8468539715,12.2408447992,Wrangler,4,12,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,37.2447218895,13.4247209976,Wrangler,5,12,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,35.9969558716,13.8900634205,Wrangler,6,12,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,34.5924761295,14.4540101185,Wrangler,7,12,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,32.6936759949,15.2934775544,Wrangler,8,12,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,36.54798913,13.6806432283,Wrangler,9,12,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,32.292383194,15.4835274002,Wrangler,10,12,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,36.3598790169,13.7514208936,Wrangler,11,12,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,31.8372089863,15.7048942392,Wrangler,12,12,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,39.7594490051,12.5756269896,Wrangler,13,12,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,48.6330659389,10.2810709205,Wrangler,14,12,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,33.1412570477,15.0869352747,Wrangler,15,12,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,63.7525541782,7.84282302795,Wrangler,16,12,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,59.9040150642,8.34668593522,Wrangler,17,12,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,61.8467841148,8.08449472606,Wrangler,18,12,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,54.4363400936,9.18504071251,Wrangler,19,12,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,64.2501039505,7.78208857662,Wrangler,20,12,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,38.1846139431,13.0942793017,Wrangler,21,12,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,38.6653602123,12.9314714063,Wrangler,22,12,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,63.5292930603,7.87038507615,Wrangler,23,12,dask-distributed-kafka-gpfs,1.0
