,Atoms,Cores,Duration,Type
0,131072,32,0.00192189216614,setup
1,131072,32,23.0049500465,comp
2,131072,32,0.587610006332,comm
3,131072,32,0.68066906929,conn
4,131072,32,23.594481945,total
5,131072,32,0.00212907791138,setup
6,131072,32,23.1575038433,comp
7,131072,32,0.617181062698,comm
8,131072,32,0.68555188179,conn
9,131072,32,23.7768139839,total
10,131072,32,0.00188398361206,setup
11,131072,32,22.8278131485,comp
12,131072,32,0.854017019272,comm
13,131072,32,0.682092905045,conn
14,131072,32,23.6837141514,total
15,131072,32,0.00179886817932,setup
16,131072,32,23.3397710323,comp
17,131072,32,0.227984905243,comm
18,131072,32,0.682924985886,conn
19,131072,32,23.5695548058,total
20,131072,32,0.00281000137329,setup
21,131072,32,22.1453819275,comp
22,131072,32,1.37862801552,comm
23,131072,32,0.6795129776,conn
24,131072,32,23.5268199444,total
25,131072,32,0.00917506217957,setup
26,131072,32,22.9995038509,comp
27,131072,32,0.786667108536,comm
28,131072,32,0.683044910431,conn
29,131072,32,23.7953460217,total
30,131072,32,0.00746703147888,setup
31,131072,32,22.5351099968,comp
32,131072,32,1.33022499084,comm
33,131072,32,0.675101041794,conn
34,131072,32,23.8728020191,total
35,131072,32,0.0017421245575,setup
36,131072,32,23.0531930923,comp
37,131072,32,0.757964849472,comm
38,131072,32,0.683849096298,conn
39,131072,32,23.8129000664,total
40,131072,32,0.00210189819336,setup
41,131072,32,22.6576969624,comp
42,131072,32,1.20230007172,comm
43,131072,32,0.68406701088,conn
44,131072,32,23.8620989323,total
45,131072,32,0.00227880477905,setup
46,131072,32,23.3728291988,comp
47,131072,32,0.233636856079,comm
48,131072,32,0.676995038986,conn
49,131072,32,23.6087448597,total
50,262144,32,0.00230479240417,setup
51,262144,32,47.3146460056,comp
52,262144,32,1.13195014,comm
53,262144,32,1.78990793228,conn
54,262144,32,48.448900938,total
55,262144,32,0.00424003601074,setup
56,262144,32,46.7541730404,comp
57,262144,32,2.82282495499,comm
58,262144,32,1.80624985695,conn
59,262144,32,49.5812380314,total
60,262144,32,0.00176477432251,setup
61,262144,32,47.0398800373,comp
62,262144,32,1.65197300911,comm
63,262144,32,1.79260706902,conn
64,262144,32,48.6936178207,total
65,262144,32,0.0017991065979,setup
66,262144,32,47.5536298752,comp
67,262144,32,1.79163694382,comm
68,262144,32,1.8152961731,conn
69,262144,32,49.3470659256,total
70,262144,32,0.00668096542358,setup
71,262144,32,46.7707328796,comp
72,262144,32,2.06258821487,comm
73,262144,32,1.78467392921,conn
74,262144,32,48.8400020599,total
75,262144,32,0.00243997573853,setup
76,262144,32,48.0204479694,comp
77,262144,32,1.50339794159,comm
78,262144,32,1.81231212616,conn
79,262144,32,49.5262858868,total
80,262144,32,0.00232100486755,setup
81,262144,32,47.8225188255,comp
82,262144,32,1.67670607567,comm
83,262144,32,1.79557609558,conn
84,262144,32,49.5015459061,total
85,262144,32,0.00305104255676,setup
86,262144,32,47.5917098522,comp
87,262144,32,1.01396918297,comm
88,262144,32,1.81944894791,conn
89,262144,32,48.6087300777,total
90,262144,32,0.00160884857178,setup
91,262144,32,46.5739140511,comp
92,262144,32,2.44004702568,comm
93,262144,32,1.82707309723,conn
94,262144,32,49.0155699253,total
95,262144,32,0.00236892700195,setup
96,262144,32,47.4154410362,comp
97,262144,32,2.45149898529,comm
98,262144,32,1.82016897202,conn
99,262144,32,49.8693089485,total
100,524288,32,0.00388813018799,setup
101,524288,32,49.4488618374,comp
102,524288,32,6.25872612,comm
103,524288,32,0.815938949585,conn
104,524288,32,55.7114760876,total
105,524288,32,0.00372791290283,setup
106,524288,32,49.1989059448,comp
107,524288,32,7.02905607224,comm
108,524288,32,0.802665948868,conn
109,524288,32,56.23168993,total
110,524288,32,0.00442600250244,setup
111,524288,32,49.1329162121,comp
112,524288,32,6.66578197479,comm
113,524288,32,0.814924001694,conn
114,524288,32,55.8031241894,total
115,524288,32,0.00361800193787,setup
116,524288,32,49.5694410801,comp
117,524288,32,6.82713079453,comm
