CU,Name,StageIn,Allocate,Exec,StageOut,Done
unit.000137,Euclidean_dist_26991_91767,N/A,19.2801690102,19.8209061623,22.0355041027,269.734755039,268.777546167
unit.000138,Euclidean_dist_26991_97165,N/A,19.8616349697,19.8879361153,22.0417661667,293.112532139,290.761422157
unit.000139,Euclidean_dist_26991_102563,N/A,19.9221611023,19.9486560822,22.0480220318,252.525578976,254.417915106
unit.000140,Euclidean_dist_26991_107961,N/A,13.7070469856,13.716850996,18.9909329414,252.05777812,254.150983095
unit.000141,Euclidean_dist_26991_113359,N/A,13.7199971676,13.7362630367,19.0396490097,258.162213087,255.585705042
unit.000142,Euclidean_dist_26991_118757,N/A,13.7484300137,13.7605540752,19.1308529377,262.797394037,263.288581133
unit.000143,Euclidean_dist_26991_124155,N/A,13.796257019,13.8166520596,19.265100956,245.335417032,248.232609987
unit.000144,Euclidean_dist_26991_129553,N/A,13.8318750858,13.8470079899,19.9082491398,262.87053895,263.322530031
unit.000145,Euclidean_dist_26991_134951,N/A,13.8591351509,13.8683011532,20.0021049976,269.603292942,268.706809044
unit.000146,Euclidean_dist_26991_140349,N/A,13.899148941,13.9083111286,20.1438510418,263.809414148,263.355940104
unit.000147,Euclidean_dist_32389_32389,N/A,13.9515581131,13.9644720554,20.2816979885,138.929481983,136.762881041
unit.000148,Euclidean_dist_32389_37787,N/A,13.9899330139,14.0025100708,20.5938839912,268.301259041,265.401278019
unit.000149,Euclidean_dist_32389_43185,N/A,14.0672869682,14.0794930458,20.8395380974,262.813183069,263.379465103
unit.000150,Euclidean_dist_32389_48583,N/A,14.0978820324,14.1074271202,20.9475190639,267.114804983,265.186323166
unit.000151,Euclidean_dist_32389_53981,N/A,14.1442871094,14.1584441662,21.0251791477,288.79826808,286.703815937
unit.000152,Euclidean_dist_32389_59379,N/A,14.1954619884,14.2108960152,21.0557820797,267.089246988,265.207383156
unit.000153,Euclidean_dist_32389_64777,N/A,14.2264859676,14.2357130051,21.0620720387,258.000245094,255.613234043
unit.000154,Euclidean_dist_32389_70175,N/A,14.2509200573,14.2631509304,21.0683450699,251.887412071,254.190919161
unit.000155,Euclidean_dist_32389_75573,N/A,14.305986166,14.318114996,21.0808930397,246.824980974,248.28719306
unit.000156,Euclidean_dist_32389_80971,N/A,14.327244997,14.3424129486,21.0871670246,267.834207058,265.416546106
unit.000157,Euclidean_dist_32389_86369,N/A,14.3668160439,14.3820710182,21.0965709686,311.743160963,308.943969011
unit.000158,Euclidean_dist_32389_91767,N/A,14.4077570438,14.4200060368,21.1059949398,258.07131815,255.63342905
unit.000159,Euclidean_dist_32389_97165,N/A,14.4351420403,14.4505729675,21.1122779846,245.739182949,248.339614153
unit.000160,Euclidean_dist_32389_102563,N/A,14.4596641064,14.4722239971,21.1185541153,301.368942976,299.831403971
unit.000161,Euclidean_dist_32389_107961,N/A,14.527575016,14.539910078,21.1525461674,264.242447138,263.401195049
unit.000162,Euclidean_dist_32389_113359,N/A,14.5521111488,14.5643789768,21.15883708,275.325684071,278.601922035
unit.000163,Euclidean_dist_32389_118757,N/A,14.5949790478,14.6042261124,21.1682441235,258.032866001,255.655493975
unit.000164,Euclidean_dist_32389_124155,N/A,15.1350440979,15.1442580223,21.1776349545,249.474918127,248.395308971
unit.000165,Euclidean_dist_32389_129553,N/A,15.1593670845,15.1746921539,21.1839039326,268.841766119,265.437109947
unit.000166,Euclidean_dist_32389_134951,N/A,15.1838231087,15.196169138,21.1901819706,257.930454016,255.677677155
unit.000167,Euclidean_dist_32389_140349,N/A,15.2278380394,15.2379231453,21.1995830536,262.876935959,263.419227123
unit.000168,Euclidean_dist_37787_37787,N/A,15.2698481083,15.2792971134,21.2089841366,138.503719091,135.29033494
unit.000169,Euclidean_dist_37787_43185,N/A,15.3097500801,15.3192901611,21.2183980942,262.897308111,263.421715975
unit.000170,Euclidean_dist_37787_48583,N/A,15.3450109959,15.3571741581,21.2252459526,250.295618057,248.417753935
unit.000171,Euclidean_dist_37787_53981,N/A,15.3849880695,15.3942890167,21.234691143,263.879368067,263.443678141
unit.000172,Euclidean_dist_37787_59379,N/A,12.4655480385,12.4778921604,16.3613581657,247.367089033,248.183315992
unit.000173,Euclidean_dist_37787_64777,N/A,13.7332010269,13.7454919815,19.0822930336,258.279833078,255.594969034
unit.000174,Euclidean_dist_37787_70175,N/A,13.757527113,13.7759010792,19.1734490395,274.197685003,271.744929075
unit.000175,Euclidean_dist_37787_75573,N/A,13.8196201324,13.8349070549,19.8647799492,282.300701141,280.382452011
unit.000176,Euclidean_dist_37787_80971,N/A,13.8439919949,13.8562049866,19.9426929951,282.418498039,280.403882027
unit.000177,Euclidean_dist_37787_86369,N/A,13.8712580204,13.8839020729,20.0487141609,245.192780972,248.232980013
unit.000178,Euclidean_dist_37787_91767,N/A,13.9112370014,13.9264791012,20.1683850288,282.38667202,280.426433086
unit.000179,Euclidean_dist_37787_97165,N/A,13.977216959,13.9930210114,20.5342271328,267.152670145,265.183359146
unit.000180,Euclidean_dist_37787_102563,N/A,14.0181980133,14.0540831089,20.736784935,282.440809965,280.46943903
unit.000181,Euclidean_dist_37787_107961,N/A,14.0824260712,14.0949270725,20.8988540173,288.766431093,286.702798128
unit.000182,Euclidean_dist_37787_113359,N/A,14.1103579998,14.1303169727,21.001085043,267.418101072,265.206619024
unit.000183,Euclidean_dist_37787_118757,N/A,14.1553690434,14.170869112,21.028316021,252.670232058,254.166228056
unit.000184,Euclidean_dist_37787_124155,N/A,14.2139339447,14.2235469818,21.0589230061,247.494246006,248.259082079
unit.000185,Euclidean_dist_37787_129553,N/A,14.2386701107,14.2539310455,21.0652120113,247.103368044,248.286196947
unit.000186,Euclidean_dist_37787_134951,N/A,14.2782680988,14.2906019688,21.0746209621,258.168571949,255.614196062
unit.000187,Euclidean_dist_37787_140349,N/A,14.3150839806,14.3302681446,21.0840361118,247.637645006,248.309174061
unit.000188,Euclidean_dist_43185_43185,N/A,14.3393781185,14.3547730446,21.0903041363,132.671281099,134.117710114
unit.000189,Euclidean_dist_43185_48583,N/A,14.3789811134,14.3985610008,21.0997071266,253.470564127,254.214864969
unit.000190,Euclidean_dist_43185_53981,N/A,14.4229271412,14.4321930408,21.1091380119,245.946761131,248.308266163
unit.000191,Euclidean_dist_43185_59379,N/A,14.447535038,14.462706089,21.1154119968,246.090739965,248.338992119
unit.000192,Euclidean_dist_43185_64777,N/A,14.4910480976,14.5003609657,21.1350970268,258.592586994,255.634060144
unit.000193,Euclidean_dist_43185_70175,N/A,14.5428359509,14.5551359653,21.1557011604,311.568765163,308.976709127
unit.000194,Euclidean_dist_43185_75573,N/A,14.582638979,14.5918250084,21.1651129723,273.85223794,271.745569944
unit.000195,Euclidean_dist_43185_80971,N/A,14.60718894,14.6231441498,21.171391964,247.815732002,248.364751101
unit.000196,Euclidean_dist_43185_86369,N/A,15.1472120285,15.1564290524,21.1807720661,253.627887011,254.240322113
unit.000197,Euclidean_dist_43185_91767,N/A,15.1716520786,15.1869671345,21.1870419979,251.978283167,254.23991394
unit.000198,Euclidean_dist_43185_97165,N/A,15.1991150379,15.2156801224,21.1933190823,251.930197001,254.261949062
unit.000199,Euclidean_dist_43185_102563,N/A,15.2534689903,15.2666909695,21.2058501244,250.166018963,248.397249937
unit.000200,Euclidean_dist_43185_107961,N/A,15.2822370529,15.2914161682,21.2121231556,276.326672077,278.664288998
unit.000201,Euclidean_dist_43185_113359,N/A,15.3321909904,15.3420710564,21.2215340137,252.162007093,254.262701035
unit.000202,Euclidean_dist_43185_118757,N/A,15.3541419506,15.3725321293,21.2284190655,273.384592056,271.777969122
unit.000203,Euclidean_dist_43185_124155,N/A,20.7872619629,20.8026499748,22.1890790462,283.739464998,285.28612113
unit.000204,Euclidean_dist_43185_129553,N/A,15.555341959,15.5676250458,21.2754609585,272.685146093,270.479120016
unit.000205,Euclidean_dist_43185_134951,N/A,18.8508341312,18.8600070477,21.9321141243,292.943586111,290.671622992
unit.000206,Euclidean_dist_43185_140349,N/A,15.6231820583,15.6324310303,21.5580971241,258.699640036,259.138550043
unit.000207,Euclidean_dist_48583_48583,N/A,19.1641440392,19.1794240475,22.0073800087,137.838037014,135.604884148
unit.000208,Euclidean_dist_48583_53981,N/A,19.9456391335,19.9716320038,22.0511500835,267.044882059,265.329210997
unit.000209,Euclidean_dist_48583_59379,N/A,15.9790201187,15.9975161552,21.5953471661,258.950322151,259.152246952
unit.000210,Euclidean_dist_48583_64777,N/A,20.2259230614,20.2381000519,22.113754034,267.003673077,265.341068029
unit.000211,Euclidean_dist_48583_70175,N/A,16.0494201183,16.0617251396,21.6330490112,272.347057104,270.499233007
unit.000212,Euclidean_dist_48583_75573,N/A,20.753770113,20.7659039497,22.1796741486,267.101990938,265.351253033
unit.000213,Euclidean_dist_48583_80971,N/A,16.1164619923,16.1256279945,21.6691031456,257.978009939,255.773406029
unit.000214,Euclidean_dist_48583_86369,N/A,16.1562099457,16.1683111191,21.6895439625,246.358878136,248.507439137
unit.000215,Euclidean_dist_48583_91767,N/A,16.1804671288,16.1927990913,21.6958091259,258.302021027,255.886115074
unit.000216,Euclidean_dist_48583_97165,N/A,16.2080500126,16.2173359394,21.7020909786,258.133793116,255.908805132
unit.000217,Euclidean_dist_48583_102563,N/A,11.8423860073,11.8546669483,12.4072711468,267.108371019,265.097078085
unit.000218,Euclidean_dist_48583_107961,N/A,16.2602860928,16.2726631165,21.7146091461,257.939939976,255.908411026
unit.000219,Euclidean_dist_48583_113359,N/A,16.2877290249,16.2969300747,21.7208850384,253.035412073,254.317119122
unit.000220,Euclidean_dist_48583_118757,N/A,16.3094420433,16.3277289867,21.7271440029,284.084078074,280.797203064
unit.000221,Euclidean_dist_48583_124155,N/A,16.3368330002,16.3520240784,21.7334120274,262.781497955,263.81300211
unit.000222,Euclidean_dist_48583_129553,N/A,16.3769500256,16.3921070099,21.7428090572,269.005543947,268.755167961
unit.000223,Euclidean_dist_48583_134951,N/A,16.401209116,16.4166929722,21.7494859695,258.05202508,255.949706078
unit.000224,Euclidean_dist_48583_140349,N/A,16.4317960739,16.4410200119,21.7557480335,288.785604954,286.740376949
unit.000225,Euclidean_dist_53981_53981,N/A,16.4592630863,16.4684791565,21.7626340389,137.89074111,135.351365089
unit.000226,Euclidean_dist_53981_59379,N/A,16.4835641384,16.4988620281,21.768912077,282.399407148,280.530650139
unit.000227,Euclidean_dist_53981_64777,N/A,16.5874140263,16.6029009819,21.7940001488,282.361021996,280.636026144
unit.000228,Euclidean_dist_53981_70175,N/A,12.6100981236,12.6193079948,18.5987291336,262.791012049,263.287333965
unit.000229,Euclidean_dist_53981_75573,N/A,13.6007061005,13.612942934,18.8297350407,294.389526129,294.575750113
unit.000230,Euclidean_dist_53981_80971,N/A,16.6192109585,16.6284430027,21.8002719879,272.394531012,270.543660164
unit.000231,Euclidean_dist_53981_86369,N/A,18.335875988,18.3450930119,21.8065590858,260.563224077,259.174071074
unit.000232,Euclidean_dist_53981_91767,N/A,18.3754751682,18.3877410889,21.8159689903,267.03224802,265.254586935
unit.000233,Euclidean_dist_53981_97165,N/A,14.5033171177,14.5125110149,21.1382360458,258.116847992,255.65478611
unit.000234,Euclidean_dist_53981_102563,N/A,18.4243171215,18.4395890236,21.8285131454,257.870305061,255.97428298
unit.000235,Euclidean_dist_53981_107961,N/A,12.560970068,12.5700399876,18.3511900902,304.476362944,302.876558065
unit.000236,Euclidean_dist_53981_113359,N/A,14.2661211491,14.2753231525,21.0714781284,267.602926016,265.231456041
unit.000237,Euclidean_dist_53981_118757,N/A,15.5919749737,15.6106159687,21.2848689556,260.448259115,259.120238066
unit.000238,Euclidean_dist_53981_124155,N/A,16.1285660267,16.14103508,21.6722481251,290.298787117,289.359890938
unit.000239,Euclidean_dist_53981_129553,N/A,12.1699380875,12.1852340698,14.6168961525,288.734665155,286.680545092
unit.000240,Euclidean_dist_53981_134951,N/A,20.0201821327,20.0364830494,22.0668070316,290.480880022,289.401106119
