CU,Name,New,StageIn,Allocate,Exec,StageOut,Done,Read,Exec,Write
unit.000133,Mapper-1-37,N/A,36.341,N/A,36.355,42.505,42.514,0.006131,3.991023,0.003664

unit.000134,Mapper-1-38,N/A,50.068,N/A,50.084,56.89,56.893,0.007172,3.93321,0.004118

unit.000135,Mapper-1-39,N/A,44.123,N/A,44.137,49.794,49.796,0.007613,3.96584,0.003715

unit.000136,Mapper-1-40,N/A,29.991,N/A,30.005,35.163,35.165,0.007124,3.857332,0.003801

unit.000137,Mapper-1-41,N/A,27.051,N/A,27.066,33.114,33.122,0.007024,3.894858,0.003788

unit.000138,Mapper-1-42,N/A,45.446,N/A,45.461,52.817,52.819,0.006134,3.837989,0.00399

unit.000139,Mapper-1-43,N/A,48.088,N/A,48.103,55.872,55.876,0.007808,3.801262,0.003995

unit.000140,Mapper-1-44,N/A,39.278,N/A,39.295,45.751,45.753,0.01154,3.957279,0.004434

unit.000141,Mapper-1-45,N/A,46.1,N/A,46.134,52.82,52.824,0.006564,3.990861,0.003803

unit.000142,Mapper-1-46,N/A,55.733,N/A,55.747,63.969,63.972,0.006785,3.879148,0.003744

unit.000143,Mapper-1-47,N/A,49.742,N/A,49.756,55.887,55.889,0.007087,3.797837,0.004128

unit.000144,Mapper-1-48,N/A,53.049,N/A,53.063,60.95,60.953,0.007023,3.996283,0.003777

unit.000145,Mapper-1-49,N/A,43.79,N/A,43.803,49.793,49.795,0.006891,3.95776,0.003777

unit.000146,Mapper-1-50,N/A,37.317,N/A,37.332,43.665,43.667,0.007005,3.999333,0.003848

unit.000147,Mapper-1-51,N/A,36.992,N/A,37.005,42.573,42.617,0.007066,3.863453,0.003773

unit.000148,Mapper-1-52,N/A,28.36,N/A,28.375,34.148,34.149,0.006634,3.972785,0.003789

unit.000149,Mapper-1-53,N/A,35.365,N/A,35.382,42.336,42.344,0.006843,4.093305,0.003704

unit.000150,Mapper-1-54,N/A,35.692,N/A,35.705,42.36,42.363,0.006825,3.88201,0.004106

unit.000151,Mapper-1-55,N/A,31.298,N/A,31.316,37.176,37.178,0.006814,3.945181,0.003835

unit.000152,Mapper-1-56,N/A,37.971,N/A,37.993,45.705,45.709,0.01191,4.116848,0.003799

unit.000153,Mapper-1-57,N/A,33.401,N/A,33.415,40.745,40.747,0.006903,3.910323,0.003925

unit.000154,Mapper-1-58,N/A,44.642,N/A,44.658,49.797,49.799,0.006783,3.976631,0.003792

unit.000155,Mapper-1-59,N/A,57.398,N/A,57.412,63.978,63.98,0.007032,3.953623,0.00377

unit.000156,Mapper-1-60,N/A,43.156,N/A,43.17,49.791,49.793,0.007458,3.952869,0.003687

unit.000157,Mapper-1-61,N/A,39.604,N/A,39.618,45.754,45.764,0.008029,3.954418,0.004076

unit.000158,Mapper-1-62,N/A,38.953,N/A,38.97,45.748,45.75,0.012269,3.977555,0.003895

unit.000159,Mapper-1-63,N/A,54.068,N/A,54.082,60.956,60.958,0.007172,4.11205,0.003999

unit.000160,Mapper-1-64,N/A,35.039,N/A,35.055,42.318,42.335,0.007544,3.971033,0.003738

unit.000161,Mapper-1-65,N/A,31.117,N/A,31.14,37.174,37.176,0.007225,3.832012,0.003939

unit.000162,Mapper-1-66,N/A,56.076,N/A,56.09,63.972,63.974,0.007193,3.817541,0.010088

unit.000163,Mapper-1-67,N/A,55.395,N/A,55.411,63.968,63.971,0.006335,3.817363,0.003829

unit.000164,Mapper-1-68,N/A,36.667,N/A,36.681,42.529,42.54,0.007956,3.895813,0.00372

unit.000165,Mapper-1-69,N/A,45.773,N/A,45.795,52.82,52.833,0.007185,3.853986,0.003811

unit.000166,Mapper-1-70,N/A,42.684,N/A,42.699,49.79,49.792,0.008516,3.901081,0.004513

unit.000167,Mapper-1-71,N/A,44.458,N/A,44.472,49.797,49.798,0.006397,3.846705,0.004199

unit.000168,Mapper-1-72,N/A,28.031,N/A,28.045,34.145,34.147,0.007191,3.944792,0.007188

unit.000169,Mapper-1-73,N/A,41.561,N/A,41.574,47.781,47.783,0.007239,3.926423,0.016865

unit.000170,Mapper-1-74,N/A,45.12,N/A,45.136,52.816,52.818,0.006676,3.909304,0.003837

unit.000171,Mapper-1-75,N/A,30.646,N/A,30.659,36.17,36.172,0.007565,3.973855,0.003729

unit.000172,Mapper-1-76,N/A,25.746,N/A,25.761,31.049,31.051,0.007424,3.904578,0.003923

unit.000173,Mapper-1-77,N/A,37.644,N/A,37.673,44.691,44.702,0.007743,3.731486,0.004185

unit.000174,Mapper-1-78,N/A,52.393,N/A,52.408,58.924,58.927,0.007398,3.765909,0.004059

unit.000175,Mapper-1-79,N/A,56.415,N/A,56.429,63.972,63.975,0.006954,3.934186,0.003716

unit.000176,Mapper-1-80,N/A,38.627,N/A,38.645,45.745,45.747,0.012169,4.104974,0.00393

unit.000177,Mapper-1-81,N/A,39.929,N/A,39.944,45.765,45.767,0.007825,3.816144,0.003692

unit.000178,Mapper-1-82,N/A,26.398,N/A,26.413,32.06,32.062,0.007463,3.842088,0.003844

unit.000179,Mapper-1-83,N/A,46.435,N/A,46.469,52.832,52.838,0.008212,4.032174,0.004128

unit.000180,Mapper-1-84,N/A,26.072,N/A,26.087,32.054,32.056,0.007309,3.998475,0.004423

unit.000181,Mapper-1-85,N/A,47.431,N/A,47.445,52.851,52.856,0.007688,3.915591,0.00384

unit.000182,Mapper-1-86,N/A,49.076,N/A,49.09,55.881,55.884,0.007624,4.001089,0.004706

unit.000183,Mapper-1-87,N/A,47.097,N/A,47.11,52.841,52.842,0.007417,3.900517,0.009414

unit.000184,Mapper-1-88,N/A,49.408,N/A,49.422,55.883,55.885,0.007555,3.817738,0.003801

unit.000185,Mapper-1-89,N/A,48.423,N/A,48.436,55.877,55.881,0.007389,3.87897,0.004589

unit.000186,Mapper-1-90,N/A,54.736,N/A,54.75,60.959,60.961,0.008493,4.010933,0.003815

unit.000187,Mapper-1-91,N/A,51.731,N/A,51.745,58.922,58.923,0.007759,4.096271,0.003918

unit.000188,Mapper-1-92,N/A,33.728,N/A,33.749,40.748,40.75,0.006927,3.955927,0.003733

unit.000189,Mapper-1-93,N/A,41.235,N/A,41.248,47.781,47.782,0.007953,3.919894,0.003888

unit.000190,Mapper-1-94,N/A,46.769,N/A,46.782,52.839,52.842,0.006855,3.812094,0.003706

unit.000191,Mapper-1-95,N/A,34.055,N/A,34.068,40.75,40.752,0.004484,3.960957,0.004236

unit.000192,Mapper-1-96,N/A,57.066,N/A,57.08,63.976,63.978,0.004698,4.152281,0.003848

unit.000193,Reducer-1,N/A,65.795,N/A,65.966,70.046,70.945,0.675443,0.012347,0.009386

unit.000194,Mapper-2-1,N/A,88.078,N/A,88.095,96.202,96.204,0.007959,3.826175,0.004307

unit.000195,Mapper-2-2,N/A,93.585,N/A,93.609,101.241,101.244,0.007292,4.007746,0.003706

unit.000196,Mapper-2-3,N/A,78.071,N/A,78.087,86.092,86.094,0.014133,3.967239,0.00372

unit.000197,Mapper-2-4,N/A,89.501,N/A,89.552,96.209,96.211,0.007857,3.961592,0.003733

unit.000198,Mapper-2-5,N/A,77.417,N/A,77.431,83.079,83.081,0.008457,4.184913,0.003685

unit.000199,Mapper-2-6,N/A,96.963,N/A,96.994,104.275,104.278,0.008161,4.145524,0.003985

unit.000200,Mapper-2-7,N/A,91.504,N/A,91.52,99.226,99.228,0.00741,3.92666,0.00356

unit.000201,Mapper-2-8,N/A,77.889,N/A,77.904,84.084,84.086,0.007707,4.04278,0.003921

unit.000202,Mapper-2-9,N/A,76.764,N/A,76.778,83.075,83.076,0.007474,3.863413,0.00381

unit.000203,Mapper-2-10,N/A,81.93,N/A,81.96,88.127,88.129,0.0125,4.145262,0.003976

unit.000204,Mapper-2-11,N/A,87.279,N/A,87.293,93.191,93.193,0.007786,3.977634,0.004036

unit.000205,Mapper-2-12,N/A,103.596,N/A,103.638,111.339,111.342,0.006978,3.944175,0.004183

unit.000206,Mapper-2-13,N/A,79.382,N/A,79.396,86.107,86.109,0.025641,3.820382,0.003747

unit.000207,Mapper-2-14,N/A,90.122,N/A,90.137,96.212,96.213,0.007877,3.904365,0.003823

unit.000208,Mapper-2-15,N/A,88.882,N/A,88.916,96.206,96.208,0.006862,3.912581,0.004277

unit.000209,Mapper-2-16,N/A,89.502,N/A,89.575,96.209,96.211,0.007507,4.056123,0.003832

unit.000210,Mapper-2-17,N/A,90.887,N/A,90.912,99.224,99.226,0.020583,3.951105,0.003703

unit.000211,Mapper-2-18,N/A,91.504,N/A,91.529,99.227,99.229,0.010035,4.157799,0.003557

unit.000212,Mapper-2-19,N/A,95.693,N/A,95.711,103.263,103.266,0.00676,3.890205,0.003627

unit.000213,Mapper-2-20,N/A,88.699,N/A,88.72,96.205,96.207,0.007646,4.121158,0.003878

unit.000214,Mapper-2-21,N/A,87.46,N/A,87.474,93.193,93.195,0.007138,3.953584,0.003971

unit.000215,Mapper-2-22,N/A,88.079,N/A,88.105,96.202,96.205,0.007713,3.906695,0.003794

unit.000216,Mapper-2-23,N/A,86.808,N/A,86.822,93.19,93.193,0.00709,3.830247,0.00384

unit.000217,Mapper-2-24,N/A,86.627,N/A,86.641,93.188,93.19,0.006234,3.959726,0.004106

unit.000218,Mapper-2-25,N/A,86.154,N/A,86.168,93.187,93.189,0.007276,3.887638,0.003882

unit.000219,Mapper-2-26,N/A,85.972,N/A,85.987,93.185,93.187,0.007022,3.913867,0.004147

unit.000220,Mapper-2-27,N/A,90.887,N/A,90.903,99.223,99.225,0.00895,3.903111,0.003663

unit.000221,Mapper-2-28,N/A,84.845,N/A,84.869,90.172,90.174,0.007436,3.922505,0.003798

unit.000222,Mapper-2-29,N/A,82.111,N/A,82.143,88.129,88.131,0.012292,3.942265,0.00447

unit.000223,Mapper-2-30,N/A,84.661,N/A,84.676,90.17,90.172,0.006794,3.904049,0.005315

unit.000224,Mapper-2-31,N/A,84.042,N/A,84.059,90.169,90.171,0.007292,3.779886,0.003602

unit.000225,Mapper-2-32,N/A,82.583,N/A,82.597,88.132,88.133,0.007465,3.898892,0.004013

unit.000226,Mapper-2-33,N/A,81.311,N/A,81.375,88.124,88.126,0.010988,4.095851,0.003797

unit.000227,Mapper-2-34,N/A,81.31,N/A,81.345,88.122,88.124,0.011603,4.15137,0.003721

unit.000228,Mapper-2-35,N/A,80.508,N/A,80.544,88.119,88.121,0.00713,3.852213,0.004004

unit.000229,Mapper-2-36,N/A,75.454,N/A,75.476,83.064,83.066,0.006695,3.97774,0.003688

unit.000230,Mapper-2-37,N/A,75.273,N/A,75.289,81.042,81.044,0.007635,3.821319,0.004114

