['block_rmsd-f771b82417195636e662cc97f961a7ba', 'processing', 'memory', 'tcp://129.114.90.254:36920', 47520476657408, [('compute', 1496176364.60396, 1496176372.800703)]]
['getitem-42f630530dfdbf89a5df77c589d1564d', 'processing', 'memory', 'tcp://129.114.90.254:36920', 47520476657408, [('compute', 1496176372.802104, 1496176372.80211)]]
['block_rmsd-d1c024f3545f23357819d14bf9a57a2a', 'processing', 'memory', 'tcp://129.114.90.254:52203', 47520476657408, [('compute', 1496176365.825223, 1496176373.2394881)]]
['getitem-3a6a249b96ef334d99fe5ff901cb2961', 'processing', 'memory', 'tcp://129.114.90.254:52203', 47520476657408, [('compute', 1496176373.240518, 1496176373.240523)]]
['block_rmsd-a2f9cd16a88cfdc6870ac11170fb5b9f', 'processing', 'memory', 'tcp://129.114.91.3:38857', 47363083609856, [('compute', 1496176360.9891322, 1496176373.475274)]]
['getitem-07e3f7ead03f33e6032fc9c5bac3e9b9', 'processing', 'memory', 'tcp://129.114.91.3:38857', 47363083609856, [('compute', 1496176373.4764261, 1496176373.476433)]]
['block_rmsd-8ef22f0b6b6cb18bd67fe9e2620dcfd9', 'processing', 'memory', 'tcp://129.114.90.254:54208', 47520476657408, [('compute', 1496176363.8790212, 1496176373.513641)]]
['getitem-36d578157fd045eacb3db39bff333cf1', 'processing', 'memory', 'tcp://129.114.90.254:54208', 47520476657408, [('compute', 1496176373.5146022, 1496176373.5146072)]]
['block_rmsd-4b9e9da6e6c7885d4f40c54d86917ea7', 'processing', 'memory', 'tcp://129.114.91.2:54951', 46941277345536, [('compute', 1496176364.393074, 1496176373.551038)]]
['getitem-137bb3cb65ee999fa12059fe1667bf21', 'processing', 'memory', 'tcp://129.114.91.2:54951', 46941277345536, [('compute', 1496176373.555197, 1496176373.555206)]]
['block_rmsd-0c826df5752c9340562c5147b71dd17b', 'processing', 'memory', 'tcp://129.114.90.254:40862', 47520476657408, [('compute', 1496176362.845961, 1496176373.575795)]]
['getitem-41989f68625b7fe010cf96c1491ca51e', 'processing', 'memory', 'tcp://129.114.90.254:40862', 47520476657408, [('compute', 1496176373.576795, 1496176373.576801)]]
['block_rmsd-25df3c08f040edb4ce3d8b95f65edb3d', 'processing', 'memory', 'tcp://129.114.91.2:43661', 46941277345536, [('compute', 1496176363.791984, 1496176373.7684782)]]
['getitem-1ea2a6e1139aa1d278116fdcb05195f5', 'processing', 'memory', 'tcp://129.114.91.2:43661', 46941277345536, [('compute', 1496176373.769731, 1496176373.769736)]]
['block_rmsd-018a3d56df2c8f47e10e45c4edd249c4', 'processing', 'memory', 'tcp://129.114.91.2:36017', 46941277345536, [('compute', 1496176363.4512641, 1496176373.8356721)]]
['getitem-281ca1cc2865f859835d8993fc4676dd', 'processing', 'memory', 'tcp://129.114.91.2:36017', 46941277345536, [('compute', 1496176373.8378131, 1496176373.837821)]]
['block_rmsd-f87e51f933dad40789dad14c009c48d7', 'processing', 'memory', 'tcp://129.114.91.1:46953', 47891426555648, [('compute', 1496176362.2698212, 1496176373.9571443)]]
['getitem-300ba22fd3c4e67c7bdc67bdb5228555', 'processing', 'memory', 'tcp://129.114.91.1:46953', 47891426555648, [('compute', 1496176373.9580262, 1496176373.9580321)]]
['block_rmsd-ead6d025335346b8f831f19820c9b8c1', 'processing', 'memory', 'tcp://129.114.90.254:52844', 47520476657408, [('compute', 1496176366.946056, 1496176374.0532029)]]
['getitem-981c51721884f50e6f159783c914f3f2', 'processing', 'memory', 'tcp://129.114.90.254:52844', 47520476657408, [('compute', 1496176374.054307, 1496176374.0543149)]]
['block_rmsd-df7d244108386254dbe373a92faaa5c8', 'processing', 'memory', 'tcp://129.114.90.254:54043', 47520476657408, [('compute', 1496176366.6046212, 1496176374.2669852)]]
['getitem-3726f717d13fe2fce599417ecc787a5e', 'processing', 'memory', 'tcp://129.114.90.254:54043', 47520476657408, [('compute', 1496176374.269179, 1496176374.269185)]]
['block_rmsd-286e7b24f75fd6dd22ce18e46a91324a', 'processing', 'memory', 'tcp://129.114.91.2:36225', 46941277345536, [('compute', 1496176363.4769359, 1496176374.6515439)]]
['getitem-2717c7b37ee6ed4a1436a36d5048860e', 'processing', 'memory', 'tcp://129.114.91.2:36225', 46941277345536, [('compute', 1496176374.6529398, 1496176374.652946)]]
['block_rmsd-0bd6c80a735b310e1323e71066bc4cb6', 'processing', 'memory', 'tcp://129.114.91.3:46233', 47363083609856, [('compute', 1496176364.668223, 1496176374.711197)]]
