['getitem-4531c65ca5f5b79c6077919ce3daf37d', 'processing', 'memory', 'tcp://129.114.91.3:41561', 47363083609856, [('compute', 1496176045.617973, 1496176045.61798)]]
['block_rmsd-dfaacde98271569ada15a24b13911761', 'processing', 'memory', 'tcp://129.114.90.254:40862', 47520476657408, [('compute', 1496176037.885814, 1496176045.811879)]]
['getitem-31903e9663a30ac0ba54a080397b4495', 'processing', 'memory', 'tcp://129.114.90.254:40862', 47520476657408, [('compute', 1496176045.813463, 1496176045.813469)]]
['block_rmsd-5db677a31b3d73eb25e420a7284bc9c1', 'processing', 'memory', 'tcp://129.114.90.254:44884', 47520476657408, [('compute', 1496176038.881799, 1496176046.097905)]]
['getitem-2f7882e831fb8d42e0f55292adff734d', 'processing', 'memory', 'tcp://129.114.90.254:44884', 47520476657408, [('compute', 1496176046.099366, 1496176046.099371)]]
['block_rmsd-aeec48b393b6e861302fb13d808ab3dd', 'processing', 'memory', 'tcp://129.114.90.254:52203', 47520476657408, [('compute', 1496176038.326157, 1496176046.180972)]]
['getitem-28e409307e5722fa640cf60589003f9e', 'processing', 'memory', 'tcp://129.114.90.254:52203', 47520476657408, [('compute', 1496176046.182478, 1496176046.1824841)]]
['block_rmsd-441a9a9cf33e59602594cf541830fa6e', 'processing', 'memory', 'tcp://129.114.91.3:53066', 47363083609856, [('compute', 1496176039.6562908, 1496176046.1830537)]]
['getitem-38ac9025054f8d6f66f7d249ec573441', 'processing', 'memory', 'tcp://129.114.91.3:53066', 47363083609856, [('compute', 1496176046.1845138, 1496176046.1845198)]]
['block_rmsd-e7aded103007061cdc656ac59e575ad3', 'processing', 'memory', 'tcp://129.114.90.254:43574', 47520476657408, [('compute', 1496176040.1380072, 1496176046.4039512)]]
['getitem-30b375f2f5050ced3dd2e29db4bc2727', 'processing', 'memory', 'tcp://129.114.90.254:43574', 47520476657408, [('compute', 1496176046.4054322, 1496176046.4054382)]]
['block_rmsd-1ad65c37048a4bc57ff7c22fcc07f252', 'processing', 'memory', 'tcp://129.114.90.254:52844', 47520476657408, [('compute', 1496176039.115664, 1496176046.5241342)]]
['getitem-28bc9ee77212f3dac478fd10041fc6c1', 'processing', 'memory', 'tcp://129.114.90.254:52844', 47520476657408, [('compute', 1496176046.5256162, 1496176046.525623)]]
['block_rmsd-eb798a6fb342d9083b07710fb3f426dd', 'processing', 'memory', 'tcp://129.114.91.3:41946', 47363083609856, [('compute', 1496176040.405231, 1496176046.6443932)]]
['getitem-44514f661ca9e07add8a9e14c129db25', 'processing', 'memory', 'tcp://129.114.91.3:41946', 47363083609856, [('compute', 1496176046.6458702, 1496176046.6458762)]]
['block_rmsd-5e2bc6df723459496da4f906770de291', 'processing', 'memory', 'tcp://129.114.90.254:45877', 47520476657408, [('compute', 1496176038.627692, 1496176046.7316241)]]
['getitem-2d99db9908ef3c3f5f7c1b71df7e8a9d', 'processing', 'memory', 'tcp://129.114.90.254:45877', 47520476657408, [('compute', 1496176046.7331412, 1496176046.7331471)]]
['block_rmsd-124e26f0c44f601f1c59aa1f2c16a459', 'processing', 'memory', 'tcp://129.114.91.3:38439', 47363083609856, [('compute', 1496176039.392238, 1496176046.747965)]]
['getitem-4a8d60f6f8bacd84933fc4942cc3b65d', 'processing', 'memory', 'tcp://129.114.91.3:38439', 47363083609856, [('compute', 1496176046.749523, 1496176046.749529)]]
['block_rmsd-2058f1bbd807bb7e0a12360cc92234ff', 'processing', 'memory', 'tcp://129.114.90.254:34051', 47520476657408, [('compute', 1496176039.488276, 1496176046.794058)]]
['getitem-365b09d0365bb7e4a404cb913f68a769', 'processing', 'memory', 'tcp://129.114.90.254:34051', 47520476657408, [('compute', 1496176046.795508, 1496176046.795513)]]
['block_rmsd-6f370d949159537780d6ce64776210b7', 'processing', 'memory', 'tcp://129.114.90.254:33736', 47520476657408, [('compute', 1496176039.0072088, 1496176047.07365)]]
['getitem-36ec0b13072597174797976fa7f43d09', 'processing', 'memory', 'tcp://129.114.90.254:33736', 47520476657408, [('compute', 1496176047.075134, 1496176047.0751429)]]
['block_rmsd-b6140d5eb51a41fd292f8d2790829bb1', 'processing', 'memory', 'tcp://129.114.91.1:36358', 47891426555648, [('compute', 1496176040.662549, 1496176047.126713)]]
['getitem-1ea71487d63c05ddb1f1013e80ae69fa', 'processing', 'memory', 'tcp://129.114.91.1:36358', 47891426555648, [('compute', 1496176047.127981, 1496176047.127989)]]
['block_rmsd-aa07083c418ca14fcce75a632abd0c3a', 'processing', 'memory', 'tcp://129.114.90.254:46904', 47520476657408, [('compute', 1496176040.3727248, 1496176047.252384)]]
['getitem-2d37785aab792e8e599af6838a263fb8', 'processing', 'memory', 'tcp://129.114.90.254:46904', 47520476657408, [('compute', 1496176047.2538388, 1496176047.253846)]]
['block_rmsd-03164406aaeb3a0bb07ea81f0966028d', 'processing', 'memory', 'tcp://129.114.91.2:43001', 46941277345536, [('compute', 1496176039.201312, 1496176047.254348)]]
['getitem-008d1debc081b3be28dc2f8766622f79', 'processing', 'memory', 'tcp://129.114.91.2:43001', 46941277345536, [('compute', 1496176047.255706, 1496176047.255711)]]
['block_rmsd-b1c005faa306834ca912aefaa3d77976', 'processing', 'memory', 'tcp://129.114.91.3:46233', 47363083609856, [('compute', 1496176039.04316, 1496176047.378814)]]
['getitem-40365843df037b8df82b90d6dff0953a', 'processing', 'memory', 'tcp://129.114.91.3:46233', 47363083609856, [('compute', 1496176047.380237, 1496176047.380243)]]
['block_rmsd-dda70bfc1d91fb53040b8921ab89f6c0', 'processing', 'memory', 'tcp://129.114.91.3:47287', 47363083609856, [('compute', 1496176038.708487, 1496176047.526136)]]
['getitem-3c7583101c4ca0f1e8d99c504e25a743', 'processing', 'memory', 'tcp://129.114.91.3:47287', 47363083609856, [('compute', 1496176047.527683, 1496176047.527691)]]
['block_rmsd-91bc2968f257def606d8c5a178d43155', 'processing', 'memory', 'tcp://129.114.91.3:43393', 47363083609856, [('compute', 1496176040.445319, 1496176047.560598)]]
