['getitem-46fa5787991dff26327687452cae5998', 'processing', 'memory', 'tcp://129.114.91.3:37065', 47363083609856, [('compute', 1496176210.832442, 1496176210.8324482)]]
['block_rmsd-f85a1a159a941204f0aff3ae809f1694', 'processing', 'memory', 'tcp://129.114.91.3:38439', 47363083609856, [('compute', 1496176204.3762279, 1496176210.8738868)]]
['getitem-456d9189a10de0457f9f858c713dc8cd', 'processing', 'memory', 'tcp://129.114.91.3:38439', 47363083609856, [('compute', 1496176210.8747578, 1496176210.8747628)]]
['block_rmsd-9754c6b53c1d1cdefb3025148ce9eea8', 'processing', 'memory', 'tcp://129.114.91.2:49790', 46941277345536, [('compute', 1496176203.945674, 1496176211.232719)]]
['getitem-0564e2242b05596d9f5c1bcf4f709d9a', 'processing', 'memory', 'tcp://129.114.91.2:49790', 46941277345536, [('compute', 1496176211.233635, 1496176211.233641)]]
['block_rmsd-ac0d96e547e6a268e7496b5d820e3e6c', 'processing', 'memory', 'tcp://129.114.91.1:58919', 47891426555648, [('compute', 1496176204.210808, 1496176211.281518)]]
['getitem-15c271fa8970852f6a74bb2509d0cd24', 'processing', 'memory', 'tcp://129.114.91.1:58919', 47891426555648, [('compute', 1496176211.28235, 1496176211.282356)]]
['block_rmsd-cfa57f961694ff13d0df923922ddd4db', 'processing', 'memory', 'tcp://129.114.91.3:41561', 47363083609856, [('compute', 1496176194.004014, 1496176211.4370492)]]
['block_rmsd-054b3e568f894a37ec26b8e9b1bf5cc8', 'processing', 'memory', 'tcp://129.114.90.254:52844', 47520476657408, [('compute', 1496176205.233268, 1496176211.767545)]]
['getitem-21de40500dff4d2c9a5f41b85945355a', 'processing', 'memory', 'tcp://129.114.90.254:52844', 47520476657408, [('compute', 1496176211.769748, 1496176211.769754)]]
['block_rmsd-b2c22ea0483a365855c1c2698f25bb34', 'processing', 'memory', 'tcp://129.114.91.3:48036', 47363083609856, [('compute', 1496176204.116631, 1496176211.8369331)]]
['getitem-3a6ee172cb779820d1ec7f84a625a09d', 'processing', 'memory', 'tcp://129.114.91.3:48036', 47363083609856, [('compute', 1496176211.837922, 1496176211.837929)]]
['block_rmsd-64b69e34b3c066021be72077bc4f5e23', 'processing', 'memory', 'tcp://129.114.91.3:40168', 47363083609856, [('compute', 1496176204.007846, 1496176211.909729)]]
['getitem-4076ff92f3cc0cc20b17d58b5ceeb803', 'processing', 'memory', 'tcp://129.114.91.3:40168', 47363083609856, [('compute', 1496176211.910674, 1496176211.9106822)]]
['block_rmsd-1b85ca2521a5ac5f12fa08775331781a', 'processing', 'memory', 'tcp://129.114.90.254:39375', 47520476657408, [('compute', 1496176204.7188532, 1496176212.0077581)]]
['getitem-31bdbf53b4d005150fe8f57ea48ce7b2', 'processing', 'memory', 'tcp://129.114.90.254:39375', 47520476657408, [('compute', 1496176212.009273, 1496176212.0092793)]]
['block_rmsd-7eae215db51ca1ca7e490f8e275a2bc7', 'processing', 'memory', 'tcp://129.114.91.2:49843', 46941277345536, [('compute', 1496176194.063653, 1496176212.200545)]]
['block_rmsd-af71cd1a144079cf9dd46e32acca2887', 'processing', 'memory', 'tcp://129.114.90.254:45877', 47520476657408, [('compute', 1496176206.27127, 1496176212.2556632)]]
['getitem-2e1c5edcee7aed20995b69eedae90527', 'processing', 'memory', 'tcp://129.114.90.254:45877', 47520476657408, [('compute', 1496176212.257065, 1496176212.25707)]]
['block_rmsd-1a7b16268670e8ccef0b81b95ad0184f', 'processing', 'memory', 'tcp://129.114.90.254:34051', 47520476657408, [('compute', 1496176205.624306, 1496176212.3230171)]]
['getitem-367b31b74a3bee31389c325ca5bcc5e9', 'processing', 'memory', 'tcp://129.114.90.254:34051', 47520476657408, [('compute', 1496176212.324522, 1496176212.324528)]]
['block_rmsd-0f0fc3c9162c6a9e461691ff110b4b74', 'processing', 'memory', 'tcp://129.114.91.1:48595', 47891426555648, [('compute', 1496176205.1605191, 1496176212.525988)]]
['getitem-17cd74ba52991fd4ad632b1585b174e8', 'processing', 'memory', 'tcp://129.114.91.1:48595', 47891426555648, [('compute', 1496176212.5280502, 1496176212.528058)]]
['block_rmsd-7a8495a0d7e527237ded00f0c4f51340', 'processing', 'memory', 'tcp://129.114.90.254:34406', 47520476657408, [('compute', 1496176205.01052, 1496176212.579592)]]
['getitem-3363b4603f0b8a88ab5fca3b3b4201b3', 'processing', 'memory', 'tcp://129.114.90.254:34406', 47520476657408, [('compute', 1496176212.581008, 1496176212.581013)]]
['block_rmsd-2615630b9ec6e6c004c1a08d814a7efb', 'processing', 'memory', 'tcp://129.114.91.3:46233', 47363083609856, [('compute', 1496176205.6944518, 1496176212.595254)]]
['getitem-3ae1b0f28e86041f055404219c261515', 'processing', 'memory', 'tcp://129.114.91.3:46233', 47363083609856, [('compute', 1496176212.597041, 1496176212.5970469)]]
['block_rmsd-5d7b6147dfb4c666b4095136b6d0d813', 'processing', 'memory', 'tcp://129.114.91.3:38515', 47363083609856, [('compute', 1496176205.295125, 1496176212.750284)]]
['getitem-4502e51e5123946469e25ed59e7a2570', 'processing', 'memory', 'tcp://129.114.91.3:38515', 47363083609856, [('compute', 1496176212.75181, 1496176212.751817)]]
['block_rmsd-5b8ea4ef826b225a84ece70000b34322', 'processing', 'memory', 'tcp://129.114.91.3:43393', 47363083609856, [('compute', 1496176203.4544249, 1496176212.797242)]]
['getitem-3b88043cd92f59cb609c6651e4f4572f', 'processing', 'memory', 'tcp://129.114.91.3:43393', 47363083609856, [('compute', 1496176212.798709, 1496176212.7987158)]]
['block_rmsd-8047390295172a8cabaf0b8ee94fafe5', 'processing', 'memory', 'tcp://129.114.91.1:43459', 47891426555648, [('compute', 1496176206.154012, 1496176213.200424)]]
['getitem-1d42dc6696a75c972564d6e60e9ba6dc', 'processing', 'memory', 'tcp://129.114.91.1:43459', 47891426555648, [('compute', 1496176213.201539, 1496176213.201547)]]
['block_rmsd-9f70e57ac1bc02b68b0c6a91528b7ec2', 'processing', 'memory', 'tcp://129.114.90.254:36920', 47520476657408, [('compute', 1496176204.644614, 1496176213.253927)]]
['getitem-32772e432f3b702aeabd60994c1c254d', 'processing', 'memory', 'tcp://129.114.90.254:36920', 47520476657408, [('compute', 1496176213.2549078, 1496176213.2549138)]]
['block_rmsd-edefc9c2a2fdf1f689cc3f1ffa49e85f', 'processing', 'memory', 'tcp://129.114.91.3:38199', 47363083609856, [('compute', 1496176204.650459, 1496176213.284911)]]
['getitem-4667e18be6f110af3f8781eec28592c8', 'processing', 'memory', 'tcp://129.114.91.3:38199', 47363083609856, [('compute', 1496176213.285856, 1496176213.285863)]]
['block_rmsd-90c528756848d5b00365347a0dfe7d78', 'processing', 'memory', 'tcp://129.114.91.1:52071', 47891426555648, [('compute', 1496176204.268297, 1496176213.643884)]]
['getitem-15f8dbb65935f8f3bab7a8fbf16abc51', 'processing', 'memory', 'tcp://129.114.91.1:52071', 47891426555648, [('compute', 1496176213.644826, 1496176213.644832)]]
['block_rmsd-4c079a957384d85798cdc63c8516189a', 'processing', 'memory', 'tcp://129.114.90.254:54208', 47520476657408, [('compute', 1496176205.4559813, 1496176213.64737)]]
['getitem-200effb53d58dbb946a86727e1e20490', 'processing', 'memory', 'tcp://129.114.90.254:54208', 47520476657408, [('compute', 1496176213.648426, 1496176213.6484323)]]
['block_rmsd-ae2b385f76a906d6c2a859eed15707a3', 'processing', 'memory', 'tcp://129.114.91.1:46953', 47891426555648, [('compute', 1496176206.011016, 1496176213.718807)]]
['getitem-17dfa294a2a387785834e2a77f6d674b', 'processing', 'memory', 'tcp://129.114.91.1:46953', 47891426555648, [('compute', 1496176213.719766, 1496176213.719771)]]
['block_rmsd-2382ed9d44b210321a7f899391119d21', 'processing', 'memory', 'tcp://129.114.90.254:48117', 47520476657408, [('compute', 1496176207.4021308, 1496176213.7486298)]]
['getitem-28674ca36aa6f7770203e9d5c9b7d68a', 'processing', 'memory', 'tcp://129.114.90.254:48117', 47520476657408, [('compute', 1496176213.749682, 1496176213.7496898)]]
['block_rmsd-3903c8cd9e532db844fa2e0a35a2f00f', 'processing', 'memory', 'tcp://129.114.91.3:47287', 47363083609856, [('compute', 1496176205.788929, 1496176213.9875069)]]
['getitem-3aad0e1652408bc42decdd1d4feb4b01', 'processing', 'memory', 'tcp://129.114.91.3:47287', 47363083609856, [('compute', 1496176213.988484, 1496176213.988489)]]
['block_rmsd-69f0233c5d0d7a0f3ea0658942b2bfe5', 'processing', 'memory', 'tcp://129.114.91.2:35456', 46941277345536, [('compute', 1496176206.071421, 1496176214.305089)]]
['getitem-142f287dad9b717092b5c6b91fff699a', 'processing', 'memory', 'tcp://129.114.91.2:35456', 46941277345536, [('compute', 1496176214.306483, 1496176214.306488)]]
['block_rmsd-8ae5047f831c3f2f0b810093c9c8206d', 'processing', 'memory', 'tcp://129.114.91.1:60980', 47891426555648, [('compute', 1496176203.6842911, 1496176214.5157943)]]
['getitem-155540bbd9177a97543cf593e1880d15', 'processing', 'memory', 'tcp://129.114.91.1:60980', 47891426555648, [('compute', 1496176214.5168812, 1496176214.5168881)]]
['block_rmsd-04d65edc342b2a99bd503796365abf54', 'processing', 'memory', 'tcp://129.114.90.254:33736', 47520476657408, [('compute', 1496176205.537465, 1496176214.917439)]]
['getitem-37b41936104682bdf423d82ee0cb533f', 'processing', 'memory', 'tcp://129.114.90.254:33736', 47520476657408, [('compute', 1496176214.91843, 1496176214.918438)]]
['block_rmsd-0d5963953cbe17cdca03b0a3d85fe157', 'processing', 'memory', 'tcp://129.114.91.1:42108', 47891426555648, [('compute', 1496176204.184266, 1496176215.066499)]]
['getitem-1e02a51b50fedc9e66a6f3f837baf859', 'processing', 'memory', 'tcp://129.114.91.1:42108', 47891426555648, [('compute', 1496176215.068623, 1496176215.068629)]]
['block_rmsd-67cd6c903a7cbc539422be3af4bf7a2a', 'processing', 'memory', 'tcp://129.114.91.2:36017', 46941277345536, [('compute', 1496176204.9837062, 1496176215.107141)]]
['getitem-117e0f763c8a0906cb312081860fed11', 'processing', 'memory', 'tcp://129.114.91.2:36017', 46941277345536, [('compute', 1496176215.1085212, 1496176215.1085272)]]
['block_rmsd-0b820f97c81adb5d99edb08f6073927c', 'processing', 'memory', 'tcp://129.114.90.254:43574', 47520476657408, [('compute', 1496176207.901948, 1496176215.6776109)]]
['getitem-2fdb74f5101fb0ea88248ff51d964fc3', 'processing', 'memory', 'tcp://129.114.90.254:43574', 47520476657408, [('compute', 1496176215.6786098, 1496176215.6786158)]]
['block_rmsd-e69b41acc9f4cb667d0e95bfdfb6a49b', 'processing', 'memory', 'tcp://129.114.91.2:43661', 46941277345536, [('compute', 1496176206.844681, 1496176215.72184)]]
['getitem-0a92d3795cc5202a6366f35d2eb70a38', 'processing', 'memory', 'tcp://129.114.91.2:43661', 46941277345536, [('compute', 1496176215.723354, 1496176215.723363)]]
['block_rmsd-ec1b919c1554121b43de037b1d0ddd49', 'processing', 'memory', 'tcp://129.114.91.2:39149', 46941277345536, [('compute', 1496176205.8407183, 1496176215.7590702)]]
['getitem-0b0ca5932b07645906d28803ca4348a9', 'processing', 'memory', 'tcp://129.114.91.2:39149', 46941277345536, [('compute', 1496176215.7607071, 1496176215.7607152)]]
['block_rmsd-3136b4d20a4659ad671ee1fdb513915a', 'processing', 'memory', 'tcp://129.114.91.1:39753', 47891426555648, [('compute', 1496176205.23947, 1496176215.773674)]]
['getitem-1f0f149a0caca7be757dd5e513acafbf', 'processing', 'memory', 'tcp://129.114.91.1:39753', 47891426555648, [('compute', 1496176215.775017, 1496176215.775023)]]
['block_rmsd-6aefee1c86155b9197d6d6799483df6f', 'processing', 'memory', 'tcp://129.114.91.3:48044', 47363083609856, [('compute', 1496176204.654264, 1496176215.772689)]]
['getitem-3a204946ca70e1ff8976a4c20c45df4d', 'processing', 'memory', 'tcp://129.114.91.3:48044', 47363083609856, [('compute', 1496176215.781732, 1496176215.781822)]]
['block_rmsd-cde4c08ffac1fa76b477d465cea5fb17', 'processing', 'memory', 'tcp://129.114.91.1:36873', 47891426555648, [('compute', 1496176203.521526, 1496176215.8132472)]]
['getitem-1f56832fc15ff6c2a32c10ef5b1069aa', 'processing', 'memory', 'tcp://129.114.91.1:36873', 47891426555648, [('compute', 1496176215.8147402, 1496176215.8147461)]]
['block_rmsd-fbb1db3f635ccac16c86c0eba9a88341', 'processing', 'memory', 'tcp://129.114.91.2:59547', 46941277345536, [('compute', 1496176207.457365, 1496176215.815183)]]
['getitem-00ebb3783dcff7fb47139a2a9afd7322', 'processing', 'memory', 'tcp://129.114.91.2:59547', 46941277345536, [('compute', 1496176215.816565, 1496176215.81657)]]
