Produce_batch_Start,Produce_batch_Stop,Num_Messages,Number_APoints/Msg,KB_Transfered,KB/sec
1600000,1608000,338,8000,168005.0,4590.01761329
1608000,1616000,339,8000,168527.0,4590.65889642
1616000,1624000,340,8000,169049.0,4588.69157549
1624000,1632000,341,8000,169571.0,4590.77341008
1632000,1640000,342,8000,170092.0,4584.65282734
1640000,1648000,343,8000,170615.0,4582.84220514
1648000,1656000,344,8000,171136.0,4584.92318806
1656000,1664000,345,8000,171658.0,4586.87305542
1664000,1672000,346,8000,172180.0,4588.92818353
1672000,1680000,347,8000,172702.0,4590.98784455
1680000,1688000,348,8000,173223.0,4593.00091567
1688000,1696000,349,8000,173745.0,4595.10631321
1696000,1704000,350,8000,174267.0,4597.22648507
1704000,1712000,351,8000,174773.0,4598.92106036
1712000,1720000,352,8000,175264.0,4600.30046433
1720000,1728000,353,8000,175754.0,4601.60787744
1728000,1736000,354,8000,176245.0,4595.52100052
1736000,1744000,355,8000,176735.0,4596.85059835
1744000,1752000,356,8000,177225.0,4596.68113964
1752000,1760000,357,8000,177716.0,4597.9466461
1760000,1768000,358,8000,178206.0,4599.23162433
1768000,1776000,359,8000,178697.0,4600.51940883
1776000,1784000,360,8000,179187.0,4601.86296906
1784000,1792000,361,8000,179677.0,4603.19927686
1792000,1800000,362,8000,180167.0,4607.43157569
1800000,1808000,363,8000,180657.0,4610.60147158
1808000,1816000,364,8000,181144.0,4611.84846957
1816000,1824000,365,8000,181630.0,4609.2953869
1824000,1832000,366,8000,182117.0,4602.29217073
1832000,1840000,367,8000,182603.0,4606.62245436
1840000,1848000,368,8000,183090.0,4610.49603835
1848000,1856000,369,8000,183576.0,4611.63371463
1856000,1864000,370,8000,184063.0,4612.78659131
1864000,1872000,371,8000,184549.0,4614.01992825
1872000,1880000,372,8000,185036.0,4611.59815509
1880000,1888000,373,8000,185522.0,4612.81363991
1888000,1896000,374,8000,186009.0,4614.05541854
1896000,1904000,375,8000,186495.0,4615.24331816
1904000,1912000,376,8000,186988.0,4616.49249429
1912000,1920000,377,8000,187488.0,4617.83936038
1920000,1928000,378,8000,187987.0,4616.07204231
1928000,1936000,379,8000,188487.0,4617.39624286
1936000,1944000,380,8000,188987.0,4620.11733802
1944000,1952000,381,8000,189486.0,4623.16346884
1952000,1960000,382,8000,189986.0,4624.64309877
1960000,1968000,383,8000,190486.0,4622.41653565
1968000,1976000,384,8000,190985.0,4623.7436884
1976000,1984000,385,8000,191485.0,4621.48729278
1984000,1992000,386,8000,191985.0,4622.8257261
1992000,2000000,387,8000,192484.0,4626.96127278
2000000,2008000,388,8000,192984.0,4630.02314021
2008000,2016000,389,8000,193481.0,4634.20650982
2016000,2024000,390,8000,193978.0,4633.62012331
2024000,2032000,391,8000,194475.0,4636.5322104
2032000,2040000,392,8000,194971.0,4637.64692876
2040000,2048000,393,8000,195468.0,4638.88329982
2048000,2056000,394,8000,195965.0,4640.11701401
2056000,2064000,395,8000,196462.0,4641.31585808
2064000,2072000,396,8000,196959.0,4642.49243902
2072000,2080000,397,8000,197455.0,4643.6308766
2080000,2088000,398,8000,197952.0,4647.70919602
2088000,2096000,399,8000,198449.0,4651.38409498
2096000,2104000,400,8000,198946.0,4654.24781816
2104000,2112000,401,8000,199437.0,4655.3611795
2112000,2120000,402,8000,199924.0,4656.43782257
2120000,2128000,403,8000,200410.0,4657.51311998
2128000,2136000,404,8000,200896.0,4655.22516718
2136000,2144000,405,8000,201382.0,4647.57585437
2144000,2152000,406,8000,201867.0,4651.48966975
2152000,2160000,407,8000,202354.0,4654.43402293
2160000,2168000,408,8000,202840.0,4655.58719473
2168000,2176000,409,8000,203325.0,4659.45751162
2176000,2184000,410,8000,203811.0,4662.28443446
2184000,2192000,411,8000,204297.0,4663.38120688
2192000,2200000,412,8000,204783.0,4664.46160841
2200000,2208000,413,8000,205270.0,4665.5416638
2208000,2216000,414,8000,205787.0,4660.93949521
2216000,2224000,415,8000,206304.0,4662.56191254
